"download_key","class","user","email","format","status","created","downloadLink","doi","citation"
"0012679-240626123714530","occ_download","ajhelmstetter","andrew.j.helmstetter@gmail.com","SIMPLE_CSV","PREPARING","2024-07-05T08:52:07.239+00:00","https://api.gbif.org/v1/occurrence/download/request/0012679-240626123714530.zip","10.15468/dl.jp42sm","GBIF Occurrence Download https://doi.org/10.15468/dl.jp42sm Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2024-07-05"
"0012680-240626123714530","occ_download","ajhelmstetter","andrew.j.helmstetter@gmail.com","SIMPLE_CSV","PREPARING","2024-07-05T08:52:09.317+00:00","https://api.gbif.org/v1/occurrence/download/request/0012680-240626123714530.zip","10.15468/dl.n5n9z7","GBIF Occurrence Download https://doi.org/10.15468/dl.n5n9z7 Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2024-07-05"
"0012681-240626123714530","occ_download","ajhelmstetter","andrew.j.helmstetter@gmail.com","SIMPLE_CSV","PREPARING","2024-07-05T08:52:11.617+00:00","https://api.gbif.org/v1/occurrence/download/request/0012681-240626123714530.zip","10.15468/dl.qhhps8","GBIF Occurrence Download https://doi.org/10.15468/dl.qhhps8 Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2024-07-05"
"0012699-240626123714530","occ_download","ajhelmstetter","andrew.j.helmstetter@gmail.com","SIMPLE_CSV","PREPARING","2024-07-05T09:02:19.574+00:00","https://api.gbif.org/v1/occurrence/download/request/0012699-240626123714530.zip","10.15468/dl.4vjbju","GBIF Occurrence Download https://doi.org/10.15468/dl.4vjbju Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2024-07-05"
"0012700-240626123714530","occ_download","ajhelmstetter","andrew.j.helmstetter@gmail.com","SIMPLE_CSV","PREPARING","2024-07-05T09:02:21.905+00:00","https://api.gbif.org/v1/occurrence/download/request/0012700-240626123714530.zip","10.15468/dl.2kvptv","GBIF Occurrence Download https://doi.org/10.15468/dl.2kvptv Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2024-07-05"
"0012701-240626123714530","occ_download","ajhelmstetter","andrew.j.helmstetter@gmail.com","SIMPLE_CSV","PREPARING","2024-07-05T09:02:24.116+00:00","https://api.gbif.org/v1/occurrence/download/request/0012701-240626123714530.zip","10.15468/dl.6qktmp","GBIF Occurrence Download https://doi.org/10.15468/dl.6qktmp Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2024-07-05"
"0012725-240626123714530","occ_download","ajhelmstetter","andrew.j.helmstetter@gmail.com","SIMPLE_CSV","PREPARING","2024-07-05T09:13:33.916+00:00","https://api.gbif.org/v1/occurrence/download/request/0012725-240626123714530.zip","10.15468/dl.sz4zr6","GBIF Occurrence Download https://doi.org/10.15468/dl.sz4zr6 Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2024-07-05"
"0012726-240626123714530","occ_download","ajhelmstetter","andrew.j.helmstetter@gmail.com","SIMPLE_CSV","PREPARING","2024-07-05T09:13:37.071+00:00","https://api.gbif.org/v1/occurrence/download/request/0012726-240626123714530.zip","10.15468/dl.g7hevk","GBIF Occurrence Download https://doi.org/10.15468/dl.g7hevk Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2024-07-05"
"0012728-240626123714530","occ_download","ajhelmstetter","andrew.j.helmstetter@gmail.com","SIMPLE_CSV","PREPARING","2024-07-05T09:13:41.739+00:00","https://api.gbif.org/v1/occurrence/download/request/0012728-240626123714530.zip","10.15468/dl.atj59j","GBIF Occurrence Download https://doi.org/10.15468/dl.atj59j Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2024-07-05"
"0012748-240626123714530","occ_download","ajhelmstetter","andrew.j.helmstetter@gmail.com","SIMPLE_CSV","PREPARING","2024-07-05T09:27:35.683+00:00","https://api.gbif.org/v1/occurrence/download/request/0012748-240626123714530.zip","10.15468/dl.f2ejsr","GBIF Occurrence Download https://doi.org/10.15468/dl.f2ejsr Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2024-07-05"
"0012749-240626123714530","occ_download","ajhelmstetter","andrew.j.helmstetter@gmail.com","SIMPLE_CSV","PREPARING","2024-07-05T09:27:37.860+00:00","https://api.gbif.org/v1/occurrence/download/request/0012749-240626123714530.zip","10.15468/dl.p5wj8u","GBIF Occurrence Download https://doi.org/10.15468/dl.p5wj8u Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2024-07-05"
"0012750-240626123714530","occ_download","ajhelmstetter","andrew.j.helmstetter@gmail.com","SIMPLE_CSV","PREPARING","2024-07-05T09:27:40.341+00:00","https://api.gbif.org/v1/occurrence/download/request/0012750-240626123714530.zip","10.15468/dl.z7supc","GBIF Occurrence Download https://doi.org/10.15468/dl.z7supc Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2024-07-05"
"0012768-240626123714530","occ_download","ajhelmstetter","andrew.j.helmstetter@gmail.com","SIMPLE_CSV","PREPARING","2024-07-05T09:38:50.415+00:00","https://api.gbif.org/v1/occurrence/download/request/0012768-240626123714530.zip","10.15468/dl.hguprq","GBIF Occurrence Download https://doi.org/10.15468/dl.hguprq Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2024-07-05"
