"","species_name"
"1","Allium_aaseae"
"2","Allium_simillimum"
"3","Allium_brandegeei"
"4","Allium_columbianum"
"5","Allium_fibrillum"
"6","Allium_madidum"
"7","Allium_tolmiei"
"8","Allium_douglasii"
"9","Allium_macrum"
"10","Allium_nevii"
"11","Allium_crenulatum"
"12","Allium_falcifolium"
"13","Allium_siskiyouense"
"14","Allium_robinsonii"
"15","Allium_scilloides"
"16","Allium_anceps"
"17","Allium_parvum"
"18","Allium_cratericola"
"19","Allium_hoffmanii"
"20","Allium_obtusum"
"21","Allium_yosemitense"
"22","Allium_tribracteatum"
"23","Allium_platycaule"
"24","Allium_lemmonii"
"25","Allium_burlewii"
"26","Allium_punctum"
"27","Allium_abramsii"
"28","Allium_jepsonii"
"29","Allium_sanbornii"
"30","Allium_parryi"
"31","Allium_fimbriatum"
"32","Allium_diabolense"
"33","Allium_howellii"
"34","Allium_munzii"
"35","Allium_tuolumnense"
"36","Allium_parishii"
"37","Allium_sharsmithiae"
"38","Allium_bisceptrum"
"39","Allium_membranaceum"
"40","Allium_campanulatum"
"41","Allium_bigelovii"
"42","Allium_nevadense"
"43","Allium_atrorubens"
"44","Allium_shevockii"
"45","Allium_monticola"
"46","Allium_haematochiton"
"47","Allium_cernuum"
"48","Allium_stellatum"
"49","Allium_acuminatum"
"50","Allium_dictuon"
"51","Allium_bolanderi"
"52","Allium_amplectens"
"53","Allium_hickmanii"
"54","Allium_hyalinum"
"55","Allium_unifolium"
"56","Allium_praecox"
"57","Allium_crispum"
"58","Allium_dichlamydeum"
"59","Allium_serra"
"60","Allium_peninsulare"
"61","Allium_lacunosum"
"62","Allium_brevistylum"
"63","Allium_gooddingii"
"64","Allium_eurotophilum"
"65","Allium_plummerae"
"66","Allium_canadense"
"67","Allium_validum"
"68","Allium_cuthbertii"
"69","Allium_macropetalum"
"70","Allium_perdulce"
"71","Allium_passeyi"
"72","Allium_textile"
"73","Allium_coryi"
"74","Allium_drummondii"
"75","Allium_speculae"
"76","Allium_elmendorfii"
"77","Allium_runyonii"
"78","Allium_geyeri"
"79","Allium_glandulosum"
"80","Allium_kingdonii"
"81","Allium_phthioticum"
"82","Allium_candolleanum"
"83","Allium_circassicum"
"84","Allium_roseum"
"85","Allium_carmeli"
"86","Allium_longisepalum"
"87","Allium_papillare"
"88","Allium_gasyunense"
"89","Allium_negevense"
"90","Allium_cassium"
"91","Allium_trifoliatum"
"92","Allium_zebdanense"
"93","Allium_subhirsutum"
"94","Allium_neapolitanum"
"95","Allium_circinnatum"
"96","Allium_erdelii"
"97","Allium_canariense"
"98","Allium_subvillosum"
"99","Allium_massaessylum"
"100","Allium_chamaemoly"
"101","Allium_moly"
