"","species_name"
"1","Beiselia mexicana Forman"
"2","Protium macgregorii (F.M.Bailey) Leenh."
"3","Protium serratum (Wall. ex Colebr.) Engl."
"4","Protium madagascariense Engl."
"5","Protium javanicum Burm.fil."
"6","Protium gallosum Daly"
"7","Protium pecuniosum Daly"
"8","Protium amazonicum (Cuatrec.) Daly"
"9","Protium calendulinum Daly"
"10","Protium sessiliflorum (Rose) Standl."
"11","Protium fragrans (Rose) Urb."
"12","Protium rhynchophyllum (Rusby) Daly"
"13","Protium sagotianum Marchand"
"14","Protium warmingianum Marchand"
"15","Crepidospermum atlanticum Daly"
"16","Crepidospermum rhoifolium (Benth.) Triana & Planch."
"17","Protium pilosum (Cuatrec.) Daly"
"18","Protium plagiocarpium Benoist"
"19","Protium polybotryum (Turcz.) Engl."
"20","Protium crassipetalum Cuatrec."
"21","Tetragastris catuaba Soares da Cunha"
"22","Tetragastris hostmannii (Engl.) Kuntze"
"23","Tetragastris balsamifera (Sw.) Oken"
"24","Tetragastris varians Little"
"25","Protium icicariba (DC.) Marchand"
"26","Protium brasiliense (Spreng.) Engl."
"27","Protium unifoliolatum Engl."
"28","Protium cranipyrenum Cuatrec."
"29","Protium aidanianum Daly"
"30","Protium cubense (Rose) Urb."
"31","Protium guianense (Aubl.) Marchand"
"32","Protium panamense (Rose) I.M.Johnst."
"33","Protium confusum (Rose) Pittier"
"34","Protium pittieri (Rose) Engl."
"35","Protium copal (Schltdl. & Cham.) Engl."
"36","Protium puncticulatum J.F.Macbr."
"37","Protium glabrescens Swart"
"38","Protium subacuminatum Swart"
"39","Protium heptaphyllum subsp. heptaphyllum"
"40","Protium costaricense (Rose) Engl."
"41","Protium paniculatum var. paniculatum"
"42","Protium altsonii Sandwith"
"43","Protium laxiflorum Engl."
"44","Protium ovatum Engl."
"45","Protium nervosum Cuatrec."
"46","Protium aracouchini (Aubl.) Marchand"
"47","Protium calanense Cuatrec."
"48","Protium colombianum Cuatrec."
"49","Protium divaricatum subsp. divaricatum"
"50","Protium attenuatum (Rose) Urb."
"51","Protium spruceanum (Benth.) Engl."
"52","Protium klugii J.F.Macbr."
"53","Protium giganteum Engl."
"54","Protium nodulosum Swart"
"55","Protium demerarense Swart"
"56","Protium opacum Swart"
"57","Protium pallidum Cuatrec."
"58","Protium decandrum (Aubl.) Marchand"
"59","Aucoumea klaineana Pierre"
"60","Bursera spinescens Urb. & Ekman"
"61","Bursera longipes (Rose) Standl."
"62","Bursera simaruba (L.) Sarg."
"63","Bursera discolor Rzed."
"64","Bursera microphylla A.Gray"
"65","Bursera fagaroides (Kunth) Engl."
"66","Bursera lancifolia (Schltdl.) Engl."
"67","Bursera tecomaca Standl."
"68","Bursera cuneata (Schltdl.) Engl."
"69","Bursera sarukhanii Guevara & Rzed."
"70","Bursera biflora (Rose) Standl."
"71","Bursera copallifera (Sessé & Moc. ex DC.) Bullock"
"72","Bursera hindsiana Brandegee"
"73","Bursera penicillata (Sessé & Moc.) Engl."
"74","Bursera steyermarkii Standl."
"75","Bursera infernidialis Guevara & Rzed."
"76","Bursera coyucensis Bullock"
"77","Commiphora angolensis Engl."
"78","Commiphora capensis (Sond.) Engl."
"79","Commiphora monstruosa (H.Perrier) Capuron"
"80","Commiphora franciscana Capuron"
"81","Commiphora saxicola Engl."
"82","Commiphora edulis (Klotzsch) Engl."
"83","Commiphora aprevalii Guillaumin"
"84","Commiphora falcata Capuron"
"85","Commiphora rostrata Engl."
"86","Commiphora wildii Merxm."
"87","Commiphora leptophloeos (Mart.) J.B.Gillett"
"88","Commiphora wightii (Arn.) Bhandari"
"89","Commiphora ugogensis Engl."
"90","Commiphora eminii Engl."
"91","Commiphora kua (R.Br. ex Royle) Vollesen"
"92","Commiphora schimperi (O.Berg) Engl."
"93","Garuga floribunda Decne."
"94","Garuga pinnata Roxb."
"95","Boswellia neglecta S.Moore"
"96","Boswellia frereana Birdw."
"97","Boswellia carteri Birdw."
"98","Canarium oleiferum Baill."
"99","Santiria trimera (Oliv.) Aubrév."
"100","Dacryodes klaineana (Pierre) H.J.Lam"
"101","Dacryodes edulis (G.Don) H.J.Lam"
"102","Dacryodes buettneri (Engl.) H.J.Lam"
"103","Santiria griffithii (Hook.fil.) Engl."
"104","Santiria apiculata A.W.Benn."
"105","Canarium balansae Engl."
"106","Canarium muelleri F.M.Bailey"
"107","Dacryodes hopkinsii Daly"
"108","Dacryodes peruviana (Loes.) H.J.Lam"
"109","Dacryodes excelsa Vahl"
"110","Dacryodes chimantensis Steyerm. & Maguire"
"111","Dacryodes nitens Cuatrec."
"112","Dacryodes cuspidata (Cuatrec.) Daly"
"113","Trattinnickia glaziovii Swart"
"114","Trattinnickia demerarae Sandwith"
"115","Trattinnickia burserifolia Mart."
"116","Trattinnickia lancifolia (Cuatrec.) Daly"
"117","Ambilobea madagascariensis (Capuron) Thulin, Beier & Razafim."
"118","Canarium decumanum Gaertn."
"119","Scutinanthe brunnea Thwaites"
"120","Canarium whitei Guillaumin"
"121","Canarium pilosum A.W.Benn."
"122","Canarium bengalense Roxb."
"123","Canarium tramdenum C.D.Dai & Yakovlev"
"124","Canarium strictum Roxb."
"125","Canarium album Blanco"
"126","Triomma malaccensis Hook.fil."
"127","Canarium ovatum Engl."
"128","Canarium vulgare Leenh."
"129","Canarium indicum L."
"130","Canarium zeylanicum (Retz.) Blume"
"131","Canarium harveyi Seem."
"132","Canarium subtilis Daly, Raharim. & Federman"
"133","Canarium obtusifolium Elliott"
"134","Canarium bullatum (Leenh.) Daly, Raharim. & Federman"
"135","Canarium madagascariense Engl."
"136","Canarium globosum Daly, Raharim. & Federman"
"137","Pentaspadon poilanei (Evrard & Tardieu) P.H.Hô"
"138","Pentaspadon annamense (Evrard & Tardieu) P.H.Hô"
"139","Pseudospondias microcarpa (A.Rich.) Engl."
"140","Dracontomelon duperreanum Pierre"
"141","Dracontomelon dao (Blanco) Merr. & Rolfe"
"142","Dracontomelon vitiense K.Schum."
"143","Pegia nitida Colebr."
"144","Pegia sarmentosa (Lecomte) Hand.-Mazz."
"145","Allospondias lakonensis (Pierre) Stapf"
"146","Spondias malayana Kosterm."
"147","Spondias pinnata (L.fil.) Kurz"
"148","Spondias mombin L."
"149","Spondias tuberosa Arruda ex Kost."
"150","Campnosperma gummifera (Benth.) Marchand"
"151","Campnosperma schatzii Randrian. & J.S.Mill."
"152","Campnosperma micranteium Marchand"
"153","Buchanania glabra Wall."
"154","Buchanania reticulata Elmer"
"155","Buchanania siamensis Miq."
"156","Choerospondias axillaris (Roxb.) B.L.Burtt & A.W.Hill"
"157","Pleiogynium timoriense (DC.) Leenh."
"158","Pleiogynium hapalum A.C.Sm."
"159","Tapirira guianensis Aubl."
"160","Tapirira obtusa (Benth.) J.D.Mitch."
"161","Tapirira bethanniana J.D.Mitch."
"162","Cyrtocarpa procera Kunth"
"163","Cyrtocarpa edulis (Brandegee) Standl."
"164","Sclerocarya birrea (A.Rich.) Hochst."
"165","Lannea coromandelica (Houtt.) Merr."
"166","Lannea schweinfurthii (Engl.) Engl."
"167","Lannea welwitschii (Hiern) Engl."
"168","Lannea rivae (Chiov.) Sacleux"
"169","Poupartiopsis spondiocarpus Capuron ex J.D.Mitch. & Daly"
"170","Antrocaryon amazonicum (Ducke) B.L.Burtt & A.W.Hill"
"171","Harpephyllum caffrum Bernh. ex C.Krauss"
"172","Poupartia minor (Bojer) Marchand"
"173","Operculicarya pachypus Eggli"
"174","Operculicarya decaryi H.Perrier"
"175","Campylopetalum siamense Forman"
"176","Dobinea vulgaris Buch.-Ham. ex D.Don"
"177","Fegimanra africana Engl."
"178","Fegimanra afzelii Engl."
"179","Anacardium excelsum (Bertero & Balb.) Skeels"
"180","Anacardium spruceanum Benth. ex Engl."
"181","Anacardium parvifolium Ducke"
"182","Anacardium occidentale L."
"183","Mangifera foetida Lour."
"184","Mangifera minor Blume"
"185","Bouea oppositifolia (Roxb.) Meisn."
"186","Bouea macrophylla Griff."
"187","Swintonia schwenckii (Teijsm. & Binn.) Teijsm. & Binn."
"188","Gluta wallichii (Hook.f.) DingHou"
"189","Gluta tourtour Marchand"
"190","Gluta tavoyana Hook.fil."
"191","Gluta renghas L."
"192","Faguetia falcata Marchand"
"193","Trichoscypha ulugurensis Mildbr."
"194","Trichoscypha acuminata Engl."
"195","Drimycarpus Hook.fil."
"196","Drimycarpus racemosus (Roxb.) Hook.f. ex Marchand"
"197","Melanochyla castaneifolia Ding Hou"
"198","Melanochyla bracteata King"
"199","Melanochyla angustifolia Hook.fil."
"200","Semecarpus obscura Thwaites"
"201","Semecarpus anacardium Blume"
"202","Semecarpus schlechteri Lauterb."
"203","Semecarpus forstenii Blume"
"204","Semecarpus reticulata Lecomte"
"205","Semecarpus tonkinensis Lecomte"
"206","Semecarpus neocaledonica Engl."
"207","Semecarpus magnificus K.Schum."
"208","Blepharocarya involucrigera F.Muell."
"209","Blepharocarya depauperata Specht"
"210","Searsia lancea (L.fil.) F.A.Barkley"
"211","Searsia lucida (L.) F.A.Barkley"
"212","Searsia undulata (Jacq.) T.S.Yi, A.J.Mill. & J.Wen"
"213","Searsia longipes (Engl.) Moffett"
"214","Searsia pendulina (Jacq.) Moffett"
"215","Searsia erosa (Thunb.) Moffett"
"216","Laurophyllus capensis Thunb."
"217","Loxostylis alata Spreng. ex Rchb."
"218","Smodingium argutum E.Mey. ex Sond."
"219","Sorindeia juglandifolia Engl., 1892"
"220","Protorhus longifolia (Bernh.) Engl."
"221","Ozoroa dispar (C.Presl) R.Fern. & A.Fern."
"222","Ozoroa obovata (Oliv.) R.Fern. & A.Fern."
"223","Ozoroa mucronata (Bernh. ex Krauss) R.Fern. & A.Fern."
"224","Ozoroa pulcherrima (Schweinf.) R.Fern. & A.Fern."
"225","Ozoroa insignis Delile"
"226","Rhus taratana (Baker) H.Perrier"
"227","Micronychia tsiramiramy H.Perrier"
"228","Protorhus Engl."
"229","Protorhus viguieri H.Perrier"
"230","Protorhus grandidieri Engl."
"231","Protorhus sericea Engl."
"232","Heeria argentea (Thunb.) Meisn."
"233","Rhus thouarsii (Engl.) H.Perrier"
"234","Rhus perrieri (Courchet) H.Perrier"
"235","Micronychia macrophylla H.Perrier"
"236","Micronychia bemangidiensis Randrian. & Lowry"
"237","Apterokarpos gardneri (Engl.) Rizzini"
"238","Cardenasiodendron brachypterum (Loes.) F.A.Barkley"
"239","Loxopterygium grisebachii Hieron. & Lorentz"
"240","Loxopterygium sagotii Hook.fil."
"241","Astronium fraxinifolium Schott"
"242","Astronium lecointei Ducke"
"243","Schinopsis marginata Engl."
"244","Schinopsis brasiliensis Engl."
"245","Myracrodruon balansae (Engl.) Santin"
"246","Myracrodruon urundeuva Allemão"
"247","Ochoterenaea colombiana F.A.Barkley"
"248","Thyrsodium spruceanum Benth."
"249","Orthopterygium huaucui (A.Gray) Hemsl."
"250","Amphipterygium adstringens (Schltdl.) Schiede ex Standl."
"251","Schinus areira L."
"252","Schinus terebinthifolia Raddi"
"253","Schinus myrtifolia (Griseb.) Cabrera"
"254","Schinus fasciculatus (Griseb.) I.M.Johnst."
"255","Schinus gracilipes I.M.Johnst."
"256","Lithrea molleoides (Vell.) Engl."
"257","Mauria simplicifolia Kunth"
"258","Mauria heterophylla Kunth"
"259","Mauria thaumatophylla Loes."
"260","Euroschinus papuanus Merr. & Perry"
"261","Euroschinus falcatus Hook.fil."
"262","Euroschinus jaffrei Hoff"
"263","Euroschinus elegans Engl."
"264","Euroschinus verrucosus Engl."
"265","Euroschinus aoupiniensis Hoff"
"266","Euroschinus Hook.fil."
"267","Toxicodendron borneense (Stapf) Gillis"
"268","Toxicodendron rhetsoides (Craib) Tardieu"
"269","Toxicodendron succedaneum (L.) Kuntze"
"270","Toxicodendron pubescens Mill."
"271","Toxicodendron radicans (L.) Kuntze"
"272","Toxicodendron vernix Shafer"
"273","Toxicodendron vernicifluum (Stokes) F.A.Barkley"
"274","Toxicodendron griffithii (Hook.fil.) Kuntze"
"275","Bonetiella anomala (I.M.Johnst.) Rzed."
"276","Pseudosmodingium andrieuxii (Baill.) Engl."
"277","Pseudosmodingium multifolium Rose"
"278","Metopium P.Browne"
"279","Metopium brownei (Jacq.) Urb."
"280","Comocladia dodonaea Britton"
"281","Comocladia mayana Atha, J.D.Mitch. & Pell"
"282","Comocladia mollissima Kunth"
"283","Comocladia engleriana Loesen"
"284","Cotinus coggygria Scop."
"285","Cotinus obovatus Raf."
"286","Haplorhus peruviana Engl."
"287","Pistacia weinmannifolia J.Poiss. ex Franch."
"288","Pistacia mexicana Kunth"
"289","Pistacia vera L."
"290","Pistacia atlantica Desf."
"291","Pistacia chinensis Bunge"
"292","Rhus ovata S.Watson"
"293","Rhus virens Lindh."
"294","Rhus ciliolata Turcz."
"295","Rhus aromatica Aiton"
"296","Rhus lanceolata A.Gray ex Engl."
"297","Rhus copallina L."
"298","Rhus michauxii Sarg."
"299","Rhus glabra L."
"300","Rhus typhina L."
"301","Rhus coriaria L."
"302","Rhus chinensis Mill."
"303","Rhus sandwicensis A.Gray"
