"","species_name"
"1","Polyalthia glabra (Hook.f. & Thomson) J.Sinclair"
"2","Polyalthia sclerophylla Hook.f. & Thomson"
"3","Polyalthia lateriflora (Blume) Kurz"
"4","Polyalthia viridis Craib"
"5","Enicosanthum fuscum (King) Airy Shaw"
"6","Polyalthia longifolia (Sonn.) Thwaites"
"7","Enicosanthum membranifolium J.Sinclair"
"8","Polyalthia rumphii (Blume ex Hensch.) Merr."
"9","Polyalthia congesta (Ridl.) J.Sinclair"
"10","Polyalthia xanthopetala Merr."
"11","Enicosanthum paradoxum Becc."
"12","Neo-uvaria acuminatissima (Miq.) Airy Shaw"
"13","Fitzalania heteropetala (F.Muell.) F.Muell."
"14","Meiogyne stenopetala (F.Muell.) Heusden"
"15","Meiogyne virgata (Blume) Miq."
"16","Meiogyne cylindrocarpa (Burck) Heusden"
"17","Mitrephora alba Ridl."
"18","Mitrephora teysmannii Scheff."
"19","Mitrephora polypyrena (Blume) Zoll."
"20","Phaeanthus ebracteolatus (C.Presl) Merr."
"21","Popowia odoardi Diels"
"22","Popowia hirta Miq."
"23","Popowia pisocarpa (Blume) Endl."
"24","Sageraea lanceolata Miq."
"25","Stelechocarpus burahol (Blume) Hook.f. & Thomson"
"26","Stelechocarpus cauliflorus (Scheff.) R.E.Fr."
"27","Stenanona costaricensis R.E.Fr."
"28","Stenanona panamensis Standl."
"29","Desmopsis microcarpa R.E.Fr."
"30","Desmopsis schippii Standl."
"31","Meiogyne Miq."
"32","Sapranthus microcarpus (Donn.Sm.) R.E.Fr."
"33","Sapranthus viridiflorus G.E.Schatz"
"34","Tridimeris Baill."
"35","Polyalthia obliqua Hook.f. & Thomson"
"36","Polyalthia borneensis Merr."
"37","Polyalthia celebica Miq."
"38","Polyalthia cauliflora Hook.f. & Thomson"
"39","Polyalthia flagellaris (Becc.) Airy Shaw"
"40","Haplostichanthus longirostris (Scheff.) Heusden"
"41","Polyalthia subcordata (Blume) Blume"
"42","Polyalthia cinnamomea Hook.f. & Thomson"
"43","Polyalthia longipes (Miq.) Koord. & Valeton"
"44","Polyalthia debilis (Pierre) Finet & Gagnep."
"45","Polyalthia suberosa (Roxb.) Thwaites"
"46","Polyalthia stenopetala (Hook.f. & Thomson) Finet & Gagnep."
"47","Trivalvaria macrophylla (Blume) Miq."
"48","Pseuduvaria coriacea Y.C.F.Su & R.M.K.Saunders"
"49","Pseuduvaria megalopus (K.Schum.) Y.C.F.Su & Mols"
"50","Pseuduvaria phuyensis (R.M.K.Saunders, Y.C.F.Su & Chalermglin) Y.C.F.Su & R.M.K.Saunders"
"51","Pseuduvaria rugosa (Blume) Merr."
"52","Pseuduvaria pamattonis (Miq.) Y.C.F.Su & R.M.K.Saunders"
"53","Polyalthia littoralis (Blume) Boerl."
"54","Marsypopetalum pallidum (Blume) Backer"
"55","Orophea polycarpa A.DC."
"56","Woodiellantha Rauschert"
"57","Orophea kerrii Kessler Keßler"
"58","Mezzettiopsis creaghii Ridl."
"59","Orophea enterocarpa Maingay ex Hook.f. & Thomson"
"60","Orophea celebica (Blume) Zoll."
"61","Alphonsea boniana Finet & Gagnep."
"62","Alphonsea elliptica Hook.f. & Thomson"
"63","Alphonsea kinabaluensis J.Sinclair"
"64","Platymitra macrocarpa Boerl."
"65","Polyalthia stuhlmannii (Engl.) Verdc."
"66","Polyalthia pendula Capuron ex G.E.Schatz & Le Thomas"
"67","Polyalthia cerasoides (Roxb.) Benth. & Hook.f. ex Bedd."
"68","Miliusa campanulata Pierre"
"69","Miliusa mollis Pierre"
"70","Miliusa horsfieldii (Benn.) Pierre"
"71","Monocarpia marginalis (Scheff.) J.Sinclair"
"72","Monocarpia euneura Miq."
"73","Dendrokingstonia nervosa (Hook.f. & Thomson) Rauschert"
"74","Dendrokingstonia gardneri Chaowasku"
"75","Oxandra asbeckii (Pulle) R.E.Fr."
"76","Oxandra euneura Diels"
"77","Oxandra polyantha R.E.Fr."
"78","Oxandra longipetala R.E.Fr."
"79","Oxandra espintana (Spruce ex Benth.) Baill."
"80","Pseudomalmea diclina (R.E.Fr.) Chatrou"
"81","Pseudomalmea Chatrou"
"82","Klarobelia stipitata Chatrou"
"83","Klarobelia megalocarpa Chatrou"
"84","Pseudephedranthus fragrans (R.E.Fr.) Aristeg."
"85","Klarobelia inundata Chatrou"
"86","Oxandra venezuelana R.E.Fr."
"87","Oxandra sphaerocarpa R.E.Fr."
"88","Oxandra xylopioides Diels"
"89","Oxandra macrophylla R.E.Fr."
"90","Ephedranthus S.Moore"
"91","Ephedranthus boliviensis Chatrou & Pirie"
"92","Ephedranthus parviflorus S.Moore"
"93","Ephedranthus S.Moore"
"94","Ruizodendron ovale (Ruiz & Pav.) R.E.Fr."
"95","Mosannona vasquezii Chatrou"
"96","Mosannona papillosa Chatrou"
"97","Mosannona pacifica Chatrou"
"98","Mosannona costaricensis (R.E.Fr.) Chatrou"
"99","Cremastosperma megalophyllum R.E.Fr."
"100","Cremastosperma cauliflorum R.E.Fr."
"101","Cremastosperma leiophyllum (Diels) R.E.Fr."
"102","Cremastosperma brevipes (DC.) R.E.Fr."
"103","Pseudoxandra polyphleba (Diels) R.E.Fr."
"104","Pseudoxandra lucida R.E.Fr."
"105","Pseudoxandra R.E.Fr."
"106","Malmea R.E.Fr."
"107","Malmea surinamensis Chatrou"
"108","Malmea dielsiana R.E.Fr."
"109","Unonopsis rufescens (Baill.) R.E.Fr."
"110","Unonopsis pittieri Saff."
"111","Unonopsis stipitata Diels"
"112","Bocageopsis pleiosperma Maas"
"113","Bocageopsis multiflora (Mart.) R.E.Fr."
"114","Onychopetalum periquino (Rusby) D.M.Johnson & N.A.Murray"
"115","Maasia glauca (Hassk.) Mols, Kessler & Rogstad (Hassk.) Mols, Keßler & Rogstad"
"116","Maasia discolor (Diels) Mols, Kessler & Rogstad (Diels) Mols, Keßler & Rogstad"
"117","Maasia sumatrana (Miq.) Mols, Kessler & Rogstad (Miq.) Mols, Keßler & Rogstad"
"118","Fenerivia chapelieri (Baill.) R.M.K.Saunders"
"119","Fenerivia ghesquiereana (Cavaco & Keraudren) R.M.K.Saunders"
"120","Piptostigma pilosum Oliv."
"121","Piptostigma mortehani De Wild."
"122","Polyceratocarpus pellegrinii Le Thomas"
"123","Polyceratocarpus microtrichus (Engl. & Diels) Ghesq. ex Pellegr."
"124","Piptostigma fasciculatum (De Wild.) Boutique"
"125","Mwasumbia alba Couvreur & D.M.Johnson"
"126","Greenwayodendron oliveri (Engl.) Verdc."
"127","Greenwayodendron suaveolens (Engl. & Diels) Verdc."
"128","Annickia chlorantha (Oliv.) Setten & Maas"
"129","Annickia pilosa (Exell) Setten & Maas"
"130","Annickia kummeriae (Engl. & Diels) Setten & Maas"
"131","Ellipeiopsis cherrevensis (Pierre ex Finet & Gagnep.) R.E.Fr."
"132","Anomianthus dulcis (Dunal) J.Sinclair"
"133","Ellipeia cuneifolia Hook.f. & Thomson"
"134","Cyathostemma hookeri King"
"135","Cyathostemma viridiflorum Griff."
"136","Uvaria grandiflora Roxb. ex Hornem."
"137","Rauwenhoffia siamensis Scheff."
"138","Uvaria chamae P.Beauv."
"139","Uvaria lucida Benth."
"140","Fissistigma uonicum (Dunn) Merr."
"141","Fissistigma glaucescens (Hance) Merr."
"142","Mitrella kentii (Blume) Miq."
"143","Dielsiothamnus divaricatus (Diels) R.E.Fr."
"144","Dasymaschalon macrocalyx Finet & Gagnep."
"145","Dasymaschalon sootepense Craib"
"146","Desmos chinensis Lour."
"147","Desmos elegans Elmer"
"148","Friesodielsia desmoides (Craib) Steenis"
"149","Monanthotaxis whytei (Stapf) Verdc."
"150","Monanthotaxis Baill."
"151","Friesodielsia Steenis"
"152","Toussaintia orientalis Verdc."
