"","species_name"
"1","Chamaesium thalictrifolium H.Wolff"
"2","Chamaesium paradoxum H.Wolff"
"3","Chamaesium wolffianum Fedde ex H.Wolff"
"4","Diplolophium somaliense Verdc."
"5","Pleurospermopsis sikkimensis (C.B.Clarke) C.Norman"
"6","Ligusticum canadense Vail ex Small & Vail"
"7","Conioselinum chinense (L.) Britton, Sterns & Poggenb."
"8","Ligusticum porteri J.M.Coult. & Rose"
"9","Conioselinum scopulorum (A.Gray) J.M.Coult. & Rose"
"10","Mutellina purpurea (Poir.) Reduron, Charpin & Pimenov"
"11","Trochiscanthes nodiflorus (Vill.) W.D.J.Koch"
"12","Yabea microcarpa (Hook. & Arn.) Koso-Pol."
"13","Turgenia lisaeoides C.C.Towns."
"14","Turgenia latifolia (L.) Hoffm."
"15","Lisaea strigosa (Banks & Sol.) Eig"
"16","Lisaea papyracea Boiss."
"17","Lisaea heterocarpa (DC.) Boiss."
"18","Caucalis platycarpos L."
"19","Torilis elongata (Hoffm. & Link) Samp."
"20","Chaetosciadium trichospermum (L.) Boiss."
"21","Torilis scabra (Thunb.) DC."
"22","Torilis nodosa Kotschy"
"23","Torilis tenella (Delile) Rchb.fil."
"24","Torilis japonica (Houtt.) DC."
"25","Torilis arvensis (Huds.) Link"
"26","Torilis leptophylla (L.) Rchb.fil."
"27","Szovitsia callicarpa Fisch. & C.A.Mey."
"28","Astrodaucus orientalis (L.) Drude"
"29","Chaerophyllum villarsii W.D.J.Koch"
"30","Chaerophyllum hirsutum L."
"31","Chaerophyllum elegans Gaudin"
"32","Chaerophyllum magellense Ten."
"33","Chaerophyllum crinitum Boiss."
"34","Chaerophyllum caucasicum (Fisch. ex Hoffm.) Schischk."
"35","Chaerophyllum roseum M.Bieb."
"36","Chaerophyllum prescottii DC."
"37","Chaerophyllum libanoticum Boiss. & Kotschy"
"38","Chaerophyllum byzantinum Boiss."
"39","Chaerophyllum khorossanicum Czerniak. ex Schischk."
"40","Chaerophyllum macrospermum (Willd. ex Spreng.) Fisch. & C.A.Mey."
"41","Chaerophyllum hakkiaricum Hedge & Lamond"
"42","Chaerophyllum astrantiae Boiss. & Balansa"
"43","Chaerophyllum macropodum Boiss."
"44","Chaerophyllum nivale Hedge & Lamond"
"45","Chaerophyllum bulbosum L."
"46","Chaerophyllum azoricum Trel."
"47","Chaerophyllum aromaticum L."
"48","Chaerophyllum atlanticum Coss."
"49","Chaerophyllum humile M.Bieb."
"50","Chaerophyllum aureum L."
"51","Chaerophyllum nodosum (L.) Crantz"
"52","Chaerophyllum tainturieri Hook. & Arn."
"53","Chaerophyllum procumbens (L.) Crantz"
"54","Chaerophyllum colensoi (Hook.fil.) K.F.Chung"
"55","Chaerophyllum novae-zelandiae K.F.Chung"
"56","Chaerophyllum basicola (Heenan & Molloy) K.F.Chung"
"57","Chaerophyllum ramosum (Hook.fil.) K.F.Chung"
"58","Chaerophyllum pulvinificum (F.Muell.) K.F.Chung"
"59","Chaerophyllum daucoides (d'Urv.) K.F.Chung"
"60","Chaerophyllum gunnii (Mathias & Constance) K.F.Chung"
"61","Chaerophyllum sessiliflorum (Hook.fil.) K.F.Chung"
"62","Chaerophyllum brevipes (Mathias & Constance) K.F.Chung"
"63","Chaerophyllum australianum K.F.Chung"
"64","Chaerophyllum orizabae (I.M.Johnst.) K.F.Chung"
"65","Chaerophyllum andicola (Kunth) K.F.Chung"
"66","Chaerophyllum guatemalense K.F.Chung"
"67","Chaerophyllum argenteum (Hook.fil.) K.F.Chung"
"68","Chaerophyllum eriopodum (DC.) K.F.Chung"
"69","Chaerophyllum lineare (Hemsl.) K.F.Chung"
"70","Chaerophyllum pumilum (Ridl.) K.F.Chung"
"71","Chaerophyllum papuanum (Buwalda) K.F.Chung"
"72","Chaerophyllum borneense (Merr.) K.F.Chung"
"73","Chaerophyllum taiwanianum (Masam.) K.F.Chung"
"74","Chaerophyllum nanhuense (Chih H.Chen & J.C.Wang) K.F.Chung"
"75","Chaerophyllum involucratum (Hayata) K.F.Chung"
"76","Chaerophyllum azorellaceum (Buwalda) K.F.Chung"
"77","Chaerophyllum temulum L."
"78","Sphallerocarpus gracilis (Besser ex Trevis.) Koso-Pol."
"79","Neoconopodium capnoides (Decne.) Pimenov & Kljuykov"
"80","Kozlovia paleacea (Regel & Schmalh.) Lipsky"
"81","Krasnovia longiloba (Kar. & Kit.) Popov"
"82","Anthriscus sylvestris (L.) Hoffm."
"83","Anthriscus lamprocarpa Boiss."
"84","Anthriscus nitidus (Wahlenb.) Hazsl."
"85","Anthriscus schmalhausenii (Albov) Koso-Pol."
"86","Anthriscus caucalis M.Bieb."
"87","Anthriscus cerefolium (L.) Hoffm."
"88","Anthriscus kotschyi Fenzl ex Boiss. & Balansa"
"89","Myrrhis odorata (L.) Scop."
"90","Geocaryum macrocarpum (Boiss. & Spruner) Engstrand"
"91","Osmorhiza aristata (Thunb.) Rydb."
"92","Osmorhiza claytonii (Michx.) C.B.Clarke"
"93","Osmorhiza longistylis (Torr.) DC."
"94","Osmorhiza glabrata Phil."
"95","Osmorhiza brachypoda Torr."
"96","Osmorhiza purpurea (J.M.Coult. & Rose) Suksd."
"97","Osmorhiza depauperata Phil."
"98","Osmorhiza occidentalis (Nutt. ex Torr. & Gray) Torr."
"99","Osmorhiza berteroi DC."
"100","Osmorhiza mexicana Griseb."
"101","Scandix pecten-veneris L."
"102","Scandix iberica Heldr. ex Boiss."
"103","Scandix balansae Reut."
"104","Scandix stellata Banks & Sol."
"105","Todaroa aurea Parl."
"106","Athamanta cretensis L."
"107","Athamanta turbith Brot."
"108","Tinguarra sicula (L.) Benth. & Hook.fil."
"109","Balansaea glaberrima (Desf.) Maire"
"110","Tinguarra montana (Webb ex Christ) A.Hansen & G.Kunkel"
"111","Tinguarra cervariifolia (DC.) Parl."
"112","Conopodium ramosum Costa"
"113","Conopodium majus Le Grand"
"114","Conopodium bourgaei Coss."
"115","Mozaffariania insignis Pimenov & Maassoumi"
"116","Glaucosciadium cordifolium (Boiss.) Burtt & Davis"
"117","Ferula karelinii Bunge"
"118","Schumannia karelinii (Bunge) Korovin"
"119","Ferula sibirica Schangin"
"120","Ferula penninervis Regel & Schmalh."
"121","Ferula olgae Regel & Schmalh."
"122","Ferula tenuisecta Korovin"
"123","Ferula pallida Korovin"
"124","Ferula prangifolia Korovin"
"125","Ferula rubroarenosa Korovin"
"126","Ferula ferganensis Lipsky ex Korovin"
"127","Ferula karataviensis (Regel & Schmalh.) Korovin ex Pavlov"
"128","Ferula ugamica Korovin"
"129","Ferula dissecta (Ledeb.) Ledeb."
"130","Ferula lipskyi Korovin"
"131","Ferula gypsacea Korovin"
"132","Ferula xeromorpha Korovin"
"133","Ferula ovina (Boiss.) Boiss."
"134","Ferula kyzylkumica Korovin"
"135","Ferula dshizakensis Korovin"
"136","Ferula lapidosa Korovin"
"137","Ferula ceratophylla Regel & Schmalh."
"138","Ferula karatavica Regel & Schmalh."
"139","Ferula tschimganica Lipsky ex Korovin"
"140","Ferula leucographa Korovin"
"141","Ferula dubjanskyi Korovin"
"142","Ferula tatarica Fisch. ex Spreng."
"143","Ferula songarica Pall. ex Willd."
"144","Dorema hyrcanum Koso-Pol."
"145","Dorema kopetdaghense Pimenov"
"146","Dorema aitchisonii Korovin ex Pimenov"
"147","Ferula korshinskyi Korovin"
"148","Ferula ferulioides (Steud.) Korovin"
"149","Dorema glabrum Fisch. & C.A.Mey."
"150","Dorema ammoniacum D.Don"
"151","Ferula akitschkensis B.Fedtsch. ex Koso-Pol."
"152","Dorema aucheri Boiss."
"153","Ferula potaninii Korovin ex Pavlov"
"154","Dorema aureum Stocks"
"155","Ferula kirialovii Pimenov"
"156","Ferula fedoroviorum Pimenov"
"157","Ferula tingitana L."
"158","Ferula linkii Webb & Berthel."
"159","Ferula communis L."
"160","Ferula loscosii (Lange) Willk."
"161","Ferula neapolitana Ten."
"162","Ferula glauca L."
"163","Ferula olivacea (Diels) H.Wolff ex Hand.-Mazz."
"164","Laser rechingeri Akhani"
"165","Leutea cupularis (Boiss.) Pimenov"
"166","Leutea petiolaris (DC.) Pimenov"
"167","Leutea elbursensis Mozaff."
"168","Ferula leiophylla Korovin"
"169","Ferula eugenii Kamelin"
"170","Ferula samarkandica Korovin"
"171","Ferula foetidissima Regel & Schmalh."
"172","Ferula foetida St.-Lag."
"173","Ferula nevskii Korovin"
"174","Ferula teterrima Kar. & Kir."
"175","Ferula kelifi Korovin"
"176","Ferula botschantzevii Korovin"
"177","Ferula mogoltavica Lipsky ex Korovin"
"178","Ferula tadshikorum Pimenov"
"179","Ferula violacea Korovin"
"180","Ferula kelleri Koso-Pol."
"181","Ferula kokanica Regel & Schmalh."
"182","Ferula schtschurowskiana Regel & Schmalh."
"183","Ferula tuberifera Korovin"
"184","Ferula nuratavica Pimenov"
"185","Ferula moschata (Reinsch) Koso-Pol."
"186","Ferula badrakema Koso-Pol."
"187","Ferula gummosa Boiss."
"188","Ferula lehmannii Boiss."
"189","Ferula litwinowiana Koso-Pol."
"190","Ferula karakalensis Korovin"
"191","Ferula szowitsiana DC."
"192","Ferula diversivittata Regel & Schmalh."
"193","Ferula renardii (Regel & Schmalh.) Pimenov"
"194","Ferula decurrens Korovin"
"195","Ferula equisetacea Koso-Pol."
"196","Ferula oopoda (Boiss. & Buhse) Boiss."
"197","Ferula varia (Schrenk) Trautv."
"198","Ferula clematidifolia Koso-Pol."
"199","Artedia squamata L."
"200","Laser trilobum Baumg."
"201","Polylophium panjutinii Manden. & Schischk."
"202","Laserpitium siler L."
"203","Daucus crinitus Desf."
"204","Pseudorlaya minuscula (Pau ex Font Quer) Laínz"
"205","Pseudorlaya pumila (L.) Grande"
"206","Daucus gracilis Steinh."
"207","Daucus sahariensis Murb."
"208","Tornabenea annua Bég. ex A.Chev."
"209","Tornabenea tenuissima (A.Chev.) A.Hansen & Sunding"
"210","Daucus carota L."
"211","Daucus capillifolius Gilli"
"212","Daucus syrticus Murb."
"213","Pseudorlaya biseriata (Murb.) Saenz de Rivas"
"214","Pachyctenium mirabile Maire & Pamp."
"215","Daucus della-cellae (Asch. & Barbey ex E.A.Durand & Barratte) Spalik, Banasiak & Reduron"
"216","Daucus aureus Desf."
"217","Daucus muricatus Herb. ex Guss."
"218","Daucus tenuisectus Coss. ex Batt."
"219","Cryptotaenia elegans Webb ex Bolle"
"220","Melanoselinum decipiens (Schrad. & J.C.Wendl.) Hoffm."
"221","Monizia edulis Lowe"
"222","Daucus arcanus García-Martín & Silvestre"
"223","Daucus pusillus Michx."
"224","Daucus involucratus Sibth. & Sm."
"225","Daucus conchitae Greuter"
"226","Daucus montanus Humb. & Bonpl."
"227","Daucus glochidiatus (Labill.) Fisch., C.A.Mey. & Avé-Lall."
"228","Daucus broteri Ten."
"229","Daucus guttatus Sibth. & Sm."
"230","Daucus durieua Lange"
"231","Agrocharis gracilis Hook.fil."
"232","Agrocharis melanantha Hochst."
"233","Agrocharis incognita (Norman) Heywood & Jury"
"234","Agrocharis pedunculata (Baker fil.) Heywood & Jury"
"235","Laserpitium prutenicum L."
"236","Laserpitium hispidum M.Bieb."
"237","Orlaya kochii Heywood"
"238","Orlaya daucoides (L.) Greuter"
"239","Orlaya daucorlaya Murb."
"240","Orlaya grandiflora (L.) Hoffm."
"241","Laserpitium petrophilum Boiss. & Heldr."
"242","Cuminum setifolium (Boiss.) Koso-Pol."
"243","Cuminum cyminum L."
"244","Aciphylla traversii F.Muell. ex Buchanan"
"245","Aciphylla dieffenbachii (F.Muell.) Kirk"
"246","Aciphylla dobsonii Hook.fil."
"247","Aciphylla simplex Petrie"
"248","Anisotome procumbens (F.Muell.) C.J.Webb"
"249","Aciphylla congesta Cheeseman"
"250","Aciphylla monroi Hook.fil."
"251","Aciphylla similis Cheeseman"
"252","Aciphylla montana J.B.Armstr."
"253","Aciphylla lyallii Hook.fil."
"254","Aciphylla dissecta (Kirk) W.R.B.Oliv."
"255","Aciphylla pinnatifida Petrie"
"256","Aciphylla traillii Kirk"
"257","Aciphylla subflabellata W.R.B.Oliv."
"258","Aciphylla squarrosa J.R.Forst. & G.Forst."
"259","Aciphylla crenulata J.B.Armstr."
"260","Aciphylla hectori Buchanan"
"261","Aciphylla kirkii Buchanan"
"262","Aciphylla scott-thomsonii Cockayne & Allan"
"263","Aciphylla colensoi Hook.fil."
"264","Aciphylla horrida W.R.B.Oliv."
"265","Aciphylla aurea W.R.B.Oliv."
"266","Lignocarpa diversifolia (Cheeseman) J.W.Dawson"
"267","Gingidia enysii (Kirk) J.W.Dawson"
"268","Gingidia trifoliolata (Hook.)"
"269","Gingidia baxteri (J.W.Dawson) C.J.Webb"
"270","Gingidia harveyana (F.Muell.) J.W.Dawson"
"271","Gingidia montana (J.R.Forst. & G.Forst.) J.W.Dawson"
"272","Scandia rosifolia (Hook.) J.W.Dawson"
"273","Aciphylla simplicifolia F.Muell. ex Benth."
"274","Gingidia flabellata (Kirk) J.W.Dawson"
"275","Gingidia decipiens (Hook.fil.) J.W.Dawson"
"276","Anisotome filifolia (Hook.fil.) Cockayne & Laing"
"277","Anisotome lyallii Hook.fil."
"278","Anisotome aromatica Hook.fil."
"279","Anisotome flexuosa J.W.Dawson"
"280","Anisotome imbricata (Hook.f.) Cockayne ex Cheeseman"
"281","Pternopetalum heterophyllum Hand.-Mazz."
"282","Acronema schneideri H.Wolff"
"283","Acronema astrantiifolium H.Wolff"
"284","Oreocomopsis stelliphora (Cauwet & Farille) Pimenov & Kljuykov"
"285","Harrysmithia heterophylla H.Wolff"
"286","Harrysmithia franchetii (M.Hiroe) M.L.Sheh"
"287","Meeboldia yunnanensis (H.Wolff) Constance & F.T.Pu ex S.L.Liou"
"288","Meeboldia achilleifolia (Wall. ex DC.) P.K.Mukh. & Constance"
"289","Pternopetalum botrychioides (Dunn) Hand.-Mazz."
"290","Pternopetalum tanakae (Franch. & Sav.) Hand.-Mazz."
"291","Pternopetalum cardiocarpum (Franch.) Hand.-Mazz."
"292","Pternopetalum molle (Franch.) Hand.-Mazz."
"293","Pternopetalum trichomanifolium (Franch.) Hand.-Mazz."
"294","Pternopetalum leptophyllum (Dunn) Hand.-Mazz."
"295","Pternopetalum delavayi (Franch.) Hand.-Mazz."
"296","Pternopetalum vulgare (Dunn) Hand.-Mazz."
"297","Pternopetalum davidii Franch."
"298","Spuriopimpinella calycina (Maxim.) Kitag."
"299","Spuriopimpinella nikoensis (Y.Yabe ex Makino & Nemoto) Kitag."
"300","Pleurospermum hookeri C.B.Clarke"
"301","Hymenidium hookeri (C.B.Clarke) Pimenov & Kljuykov"
"302","Pleurospermum yunnanense Franch."
"303","Ligusticum delavayi Franch."
"304","Rupiphila tachiroei (Franch. & Sav.) Pimenov & Lavrova"
"305","Tilingia ajanensis Regel & Tiling"
"306","Pterygopleurum neurophyllum (Maxim.) Kitag."
"307","Angelica anomala Avé-Lall."
"308","Ostericum grosseserratum (Maxim.) Kitag."
"309","Ostericum scaberulum (Franch.) R.H.Shan & C.Q.Yuan"
"310","Pimpinella brachycarpa (Kom.) Nakai"
"311","Halosciastrum melanotilingia (H.Boissieu) Pimenov & V.N.Tikhom."
"312","Ligusticum scoticum L."
"313","Smyrnium connatum Boiss. & Kotschy"
"314","Smyrnium cordifolium Boiss."
"315","Smyrnium galaticum Czeczott"
"316","Smyrnium creticum Mill."
"317","Smyrnium olusatrum L."
"318","Smyrnium rotundifolium Mill."
"319","Lecokia cretica (Lam.) DC."
"320","Arcuatopterus thalictrioideus M.L.Sheh & R.H.Shan"
"321","Psammogeton biternatum Edgew."
"322","Psammogeton canescens (DC.) Vatke"
"323","Aphanopleura capillifolia (Regel & Schmalh.) Lipsky"
"324","Nothosmyrnium japonicum Miq."
"325","Zeravschania aucheri (Boiss.) Pimenov"
"326","Haussknechtia elymaitica Boiss."
"327","Demavendia pastinacifolia (Boiss. & Hohen.) Pimenov"
"328","Zeravschania regeliana Korovin"
"329","Zeravschania membranacea (Boiss.) Pimenov"
"330","Arafoe aromatica Pimenov & Lavrova"
"331","Athamanta macedonica (L.) Spreng."
"332","Pimpinella cretica Poir."
"333","Pimpinella sintenisii H.Wolff"
"334","Pimpinella puberula (DC.) Boiss."
"335","Pimpinella nudicaulis Trautv."
"336","Pimpinella aurea DC."
"337","Pimpinella oliverioides Boiss. & Hausskn."
"338","Pimpinella anisetum Boiss. & Balansa"
"339","Pimpinella anisum L."
"340","Pimpinella aromatica M.Bieb."
"341","Pimpinella kotschyana Boiss."
"342","Pimpinella corymbosa Boiss."
"343","Opsicarpium insignis Mozaff."
"344","Pimpinella flabellifolia (Boiss.) Benth. & Hook.fil. ex Drude"
"345","Pimpinella isaurica Matthews"
"346","Pimpinella tragium Vill."
"347","Pimpinella affinis Ledeb."
"348","Pimpinella saxifraga L."
"349","Pimpinella rhodantha Boiss."
"350","Pimpinella peucedanifolia Fisch. ex Ledeb."
"351","Pimpinella lutea Desf."
"352","Pimpinella paucidentata Matthews"
"353","Pimpinella rockii H.Wolff"
"354","Pimpinella yunnanensis (Franch.) H.Wolff"
"355","Pimpinella candolleana Wight & Arn."
"356","Pimpinella niitakayamensis Hayata"
"357","Pimpinella diversifolia DC."
"358","Trachyspermum triradiatum H.Wolff"
"359","Trachyspermum scaberulum (Franch.) H.Wolff"
"360","Pimpinella peregrina L."
"361","Pimpinella eriocarpa Banks & Sol."
"362","Pimpinella betsileensis Humbert ex Sales & Hedge"
"363","Phellolophium madagascariense Baker"
"364","Frommia ceratophylloides H.Wolff"
"365","Cryptotaenia calycina C.C.Towns."
"366","Cryptotaenia africana (Hook.fil.) Drude"
"367","Azilia eryngioides (Pau) Hedge & Lamond"
"368","Ferulago angulata (Schltdl.) Boiss."
"369","Diplotaenia damavandica Mozaff."
"370","Diplotaenia cachrydifolia Boiss."
"371","Seseli olivieri Boiss."
"372","Ferulago humilis Boiss."
"373","Ferulago macrosciadea Boiss. & Balansa"
"374","Ferulago mughlae Pesmen"
"375","Ferulago trachycarpa Boiss."
"376","Ferulago galbanifera (Mill.) W.D.J.Koch"
"377","Ferulago silaifolia (Boiss.) Boiss."
"378","Ferulago thirkeana (Boiss.) Boiss."
"379","Ferulago confusa Velen."
"380","Ferulago asparagifolia Boiss."
"381","Ferulago sandrasica Pesmen & Quézel"
"382","Prangos ferulacea (L.) Lindl."
"383","Prangos goniocarpa (Boiss.) Zohary"
"384","Prangos uloptera DC."
"385","Prangos acaulis (DC.) Bornm."
"386","Alococarpum erianthum (DC.) Riedl & Huber"
"387","Prangos pabularia Lindl."
"388","Bilacunaria microcarpa (M.Bieb.) Pimenov & V.N.Tikhom."
"389","Cachrys sicula Guss."
"390","Lomatocarpa albomarginata (Schrenk) Pimenov & Lavrova"
"391","Cnidium monnieri (L.) Cusson"
"392","Peucedanum cervaria (L.) Lapeyr."
"393","Kadenia dubia (Schkuhr) Lavrova & V.N.Tikhom."
"394","Thecocarpus meifolius Boiss."
"395","Cervaria cervariifolia (C.A.Mey.) Pimenov"
"396","Karatavia kultiassovii (Korovin) Pimenov & Lavrova"
"397","Xanthoselinum alsaticum (L.) Schur"
"398","Ostericum sieboldii (Miq.) Nakai"
"399","Dystaenia takesimana (Nakai) Kitag."
"400","Endressia castellana Coincy"
"401","Paraligusticum discolor (Ledeb.) Tikhom."
"402","Thysselinum palustre (L.) Hoffm."
"403","Thysselinum lancifolium (Hoffmanns. & Link) Calest."
"404","Imperatoria hispanica Boiss."
"405","Oreoselinum nigrum Delarbre"
"406","Peucedanum bourgaei Lange"
"407","Peucedanum officinale L."
"408","Peucedanum morisonii Besser"
"409","Peucedanum coriaceum Rchb."
"410","Peucedanum gallicum Latourr."
"411","Angelica purpurascens (Avé-Lall.) Gilli"
"412","Angelica tatianae Bordz."
"413","Chymsydia colchica (Albov) Woronow ex Grossh."
"414","Peucedanum zedelmeyeranum Manden."
"415","Seseli hippomarathrum Jacq."
"416","Seseli montanum L."
"417","Seseli galloprovinciale Reduron"
"418","Seseli praecox (Gamisans) Gamisans"
"419","Tommasinia verticillaris (L.) Bertol."
"420","Imperatoria ostruthium L."
"421","Pteroselinum rablense (Wulfen) Rchb."
"422","Pteroselinum austriacum (Jacq.) Rchb."
"423","Angelica acutiloba (Siebold & Zucc.) Kitag."
"424","Angelica genuflexa Nutt."
"425","Angelica biserrata (R.H.Shan & C.Q.Yuan) C.Q.Yuan & R.H.Shan"
"426","Angelica polymorpha Maxim."
"427","Angelica fargesii H.Boissieu"
"428","Angelica pseudoselinum H.Boissieu"
"429","Angelica valida Diels"
"430","Angelica maowenensis C.C.Yuan & R.H.Shan"
"431","Angelica laxifoliata Diels"
"432","Angelica kangdingensis R.H.Shan & F.T.Pu"
"433","Angelica apaensis R.H.Shan & C.Q.Yuan"
"434","Angelica nitida H.Wolff"
"435","Angelica omeiensis C.Q.Yuan & R.H.Shan"
"436","Angelica megaphylla Diels"
"437","Angelica dahurica Maxim."
"438","Angelica lignescens Reduron & Danton"
"439","Angelica sylvestris L."
"440","Angelica sachalinensis Maxim."
"441","Angelica amurensis Schischk."
"442","Angelica cincta H.Boissieu"
"443","Angelica purpuraefolia T.H.Chung"
"444","Czernaevia laevigata Turcz."
"445","Pimpinella smithii H.Wolff"
"446","Angelica decursiva (Miq.) Franch. & Sav."
"447","Angelica gigas Nakai"
"448","Angelica pubescens Maxim."
"449","Pimpinella rhomboidea Diels"
"450","Melanosciadium pimpinelloideum H.Boissieu"
"451","Glehnia littoralis (A.Gray) F.Schmidt ex Miq."
"452","Angelica cartilaginomarginata (Makino ex Nakagawa) Nakai"
"453","Angelica keiskei (Miq.) Koidz."
"454","Angelica morii Hayata"
"455","Angelica japonica A.Gray"
"456","Angelica furcijuga Kitag."
"457","Angelica pinnata S.Watson"
"458","Angelica grayi (J.M.Coult. & Rose) J.M.Coult. & Rose"
"459","Angelica breweri A.Gray"
"460","Angelica arguta Nutt."
"461","Angelica roseana L.F.Hend."
"462","Sphenosciadium capitellatum A.Gray"
"463","Magadania olaensis (Gorovoj & N.S.Pavlova) Pimenov & Lavrova"
"464","Magadania victoris (Schischk.) Pimenov & Lavrova"
"465","Angelica tsinlingensis K.T.Fu"
"466","Coelopleurum lucidum (L.) Fernald"
"467","Coelopleurum saxatile (Turcz. ex Ledeb.) Drude"
"468","Selinum pyrenaeum (L.) Gouan"
"469","Angelica archangelica L."
"470","Archangelica decurrens Ledeb."
"471","Angelica ampla A.Nelson"
"472","Dahliaphyllum almedae Constance & Breedlove"
"473","Rhodosciadium argutum (Rose) Mathias & Constance"
"474","Arracacia tolucensis (Spreng.) Hemsl."
