"","species_name"
"1","Asclepias elata Benth."
"2","Asclepias mirifica Woodson"
"3","Asclepias glaucescens Kunth"
"4","Asclepias lynchiana Fishbein"
"5","Asclepias latifolia Britton"
"6","Asclepias macroura A.Gray"
"7","Asclepias curtissii A.Gray"
"8","Asclepias engelmanniana Woodson"
"9","Asclepias eriocarpa Benth."
"10","Asclepias solanoana Woodson"
"11","Asclepias emoryi (Greene) Vail"
"12","Asclepias oenotheroides Cham. & Schltdl."
"13","Asclepias nyctaginifolia A.Gray"
"14","Asclepias standleyi Woodson"
"15","Asclepias arenaria Torr."
"16","Asclepias prostrata W.H.Blackw."
"17","Asclepias feayi Chapm."
"18","Asclepias tomentosa Elliott"
"19","Asclepias ruthiae Maguire"
"20","Asclepias uncialis Greene"
"21","Asclepias sanjuanensis K.D.Heil, J.M.Porter & S.L.Welsh"
"22","Asclepias involucrata Engelm. ex Torr."
"23","Asclepias welshii N.H.Holmgren & P.K.Holmgren"
"24","Asclepias labriformis M.E.Jones"
"25","Asclepias macrosperma Eastw."
"26","Asclepias viridis Walter"
"27","Asclepias syriaca L."
"28","Asclepias tuberosa L."
"29","Asclepias michauxii Decne."
"30","Asclepias obovata Elliott"
"31","Asclepias rubra L."
"32","Asclepias quadrifolia Jacq."
"33","Asclepias exaltata L."
"34","Asclepias hallii A.Gray"
"35","Asclepias speciosa Torr."
"36","Asclepias amplexicaulis Sm."
"37","Asclepias ovalifolia Decne."
"38","Asclepias hirtella (Pennell) Woodson"
"39","Asclepias purpurascens L."
"40","Asclepias variegata L."
"41","Asclepias lanceolata Ives"
"42","Asclepias longifolia Michx."
"43","Asclepias sullivantii Torr."
"44","Pachycarpus concolor E.Mey."
"45","Pachycarpus natalensis N.E.Br."
"46","Pachycarpus appendiculatus E.Mey."
"47","Pachycarpus goetzei (K.Schum.) Bullock"
"48","Asclepias inaequalis Goyder"
"49","Schizoglossum eustegioides (E.Mey.) Druce"
"50","Cordylogyne globosa E.Mey."
"51","Xysmalobium involucratum (E.Mey.) Decne."
"52","Schizoglossum atropurpureum E.Mey."
"53","Schizoglossum cordifolium E.Mey."
"54","Miraglossum verticillare (Schltr.) Kupicha"
"55","Schizoglossum filiforme (L.fil.) Druce"
"56","Woodia mucronata (Thunb.) N.E.Br."
"57","Fanninia caloglossa Harv."
"58","Pachycarpus coronarius E.Mey."
"59","Asclepias pedicellata Walter"
"60","Asclepias woodii (Schltr.) Schltr."
"61","Aspidonepsis flava (N.E.Br.) Nicholas & Goyder"
"62","Asclepias connivens Baldw."
"63","Asclepias viridula Chapm."
"64","Asclepias brevipes (Schltr.) Schltr."
"65","Asclepias stellifera Schltr."
"66","Asclepias cucullata (Schltr.) Schltr."
"67","Asclepias erosa Torr."
"68","Aspidonepsis diploglossa (Turcz.) Nicholas & Goyder"
"69","Asclepias stenophylla A.Gray"
"70","Asclepias viridiflora Raf."
"71","Xysmalobium gerrardii Scott Elliot"
"72","Xysmalobium parviflorum Harv."
"73","Xysmalobium tysonianum (Schltr.) N.E.Br."
"74","Asclepias albens (E.Mey.) Schltr."
"75","Asclepias crispa P.J.Bergius"
"76","Asclepias meadii Torr. ex A.Gray"
"77","Gomphocarpus glaucophyllus Schltr."
"78","Asclepias humistrata Walter"
"79","Asclepias scaposa Vail"
"80","Asclepias stathmostelmoides Goyder"
"81","Asclepias aurea (Schltr.) Schltr."
"82","Gomphocarpus cancellatus (Burm.fil.) Bruyns"
"83","Asclepias multicaulis Vell."
"84","Asclepias densiflora N.E.Br."
"85","Asclepias randii S.Moore"
"86","Stenostelma corniculatum (E.Mey.) Bullock"
"87","Asclepias macropus (Schltr.) Schltr."
"88","Asclepias praemorsa Schltr."
"89","Gomphocarpus abyssinicus Decne."
"90","Gomphocarpus fruticosus (L.) W.T.Aiton"
"91","Gomphocarpus physocarpus E.Mey."
"92","Stathmostelma gigantiflorum K.Schum."
"93","Aspidoglossum heterophyllum E.Mey."
"94","Asclepias alpestris (K.Schum.) Goyder"
"95","Asclepias gibba (E.Mey.) Schltr."
"96","Gomphocarpus tomentosus Burch."
"97","Pachycarpus dealbatus E.Mey."
"98","Stathmostelma diversifolium Goyder"
"99","Xysmalobium undulatum (L.) R.Br."
"100","Xysmalobium fraternum N.E.Br."
"101","Xysmalobium kaessneri S.Moore"
"102","Xysmalobium heudelotianum Decne."
"103","Glossostelma carsonii (N.E.Br.) Bullock"
"104","Pachycarpus lineolatus (Decne.) Bullock"
"105","Asclepias buchwaldii de Wild."
"106","Asclepias pseudofimbriata (Goyder) Goyder"
"107","Stathmostelma pauciflorum (Hochst. & Steud.) K.Schum."
"108","Asclepias subverticillata (Gray) Vail"
"109","Asclepias texana A.Heller"
"110","Asclepias perennis Walter"
"111","Asclepias linearis Scheele"
"112","Asclepias verticillata L."
"113","Asclepias mexicana Cav."
"114","Asclepias pumila (Gray) Vail"
"115","Asclepias woodsoniana Standl. & Steyerm."
"116","Asclepias angustifolia Schweig."
"117","Asclepias gentryi Standl."
