"","species_name"
"1","Draba ritacuvana Al-Shehbaz"
"2","Draba pseudocheiranthoides Al-Shehbaz"
"3","Draba funckeana Linden & Planch."
"4","Draba soratensis Wedd."
"5","Draba peruviana (DC.) O.E.Schulz"
"6","Draba pickeringii A.Gray"
"7","Draba hammenii Cuatrec. & Cleef"
"8","Draba hemsleyana Gilg"
"9","Draba pulvinata subsp. pulvinata"
"10","Draba extensa Wedd."
"11","Draba violacea Humb. & Bonpl. ex DC."
"12","Draba sericea Santana & J.O.Rangel"
"13","Draba boyacana Al-Shehbaz"
"14","Draba barclayana Al-Shehbaz"
"15","Draba standleyi J.F.Macbr. & Payson"
"16","Draba rositae Santana & J.O.Rangel"
"17","Draba spruceana Wedd."
"18","Draba pennellii Rollins"
"19","Draba chionophila S.F.Blake"
"20","Draba pycnophylla Turcz."
"21","Draba densifolia Nutt."
"22","Draba solitaria O.E.Schulz"
"23","Draba litamo L.Uribe"
"24","Draba farsetioides Linden & Planch."
"25","Draba hidalgensis Calderón"
"26","Draba confertifolia Turcz."
"27","Draba depressa Hook.f."
"28","Draba mexicana Rose"
"29","Draba jorullensis Kunth"
"30","Draba inquisiviana Al-Shehbaz"
"31","Draba obovata Benth."
"32","Draba cryptantha Hook.f."
"33","Draba lapaziana Al-Shehbaz"
"34","Draba aretioides Kunth"
"35","Draba hallii Hook.f."
"36","Draba hookeri Walp."
"37","Draba cuzcoensis O.E.Schulz"
"38","Draba nivicola Rose"
"39","Draba lindenii (Hook.) Planch."
"40","Draba macleanii Hook.f."
"41","Draba schusteri O.E.Schulz"
"42","Draba splendens Gilg"
"43","Draba wurdackii Al-Shehbaz"
"44","Draba discoidea Wedd."
"45","Draba matthioloides subsp. saundersii Al-Shehbaz"
"46","Draba burkei (C.L.Hitchc.) Windham & Beilstein"
"47","Draba globosa Payson"
"48","Draba pectinipila Rollins"
"49","Draba kassii S.L.Welsh"
"50","Draba sphaeroides Payson"
"51","Draba sobolifera Rydb."
"52","Draba subalpina Goodman & C.L.Hitchc."
"53","Draba streptobrachia R.A.Price"
"54","Draba brachystylis Rydb."
"55","Draba novolympica Payson & H.St.John"
"56","Draba mogollonica Greene"
"57","Draba sphaerocarpa J.F.Macbr. & Payson"
"58","Draba spectabilis Greene"
"59","Draba ogilviensis Hultén"
"60","Draba albertina Greene"
"61","Draba stenopetala Trautv."
"62","Draba corrugata S.Watson"
"63","Draba cruciata Payson"
"64","Draba crassifolia Graham"
"65","Draba pusilla F.Phil. ex Phil."
"66","Draba aureola S.Watson"
"67","Draba helleriana Greene"
"68","Draba aurea K.Koch"
"69","Draba stylosa Turcz."
"70","Draba affghanica Boiss."
"71","Draba stenoloba Ledeb."
"72","Draba lemmonii S.Watson"
"73","Draba maguirei C.L.Hitchc."
"74","Draba ventosa A.Gray"
"75","Draba streptocarpa A.Gray"
"76","Draba exunguiculata (O.E.Schulz) C.L.Hitchc."
"77","Draba asprella Greene"
"78","Draba demareei Wiggins"
"79","Draba crassa Rydb."
"80","Draba polyphylla O.E.Schulz"
"81","Draba amplexicaulis Franch."
"82","Draba melanopus Kom."
"83","Draba matangensis O.E.Schulz"
"84","Draba pauciflora R.Br."
"85","Draba micropetala Hook."
"86","Draba bhutanica H.Hara"
"87","Draba cholaensis W.W.Sm."
"88","Draba alpicola Osterh."
"89","Draba gracillima Hook.f. & Thomson"
"90","Draba odudiana Lipsky"
"91","Draba eriopoda Turcz."
"92","Draba trinervis O.E.Schulz"
"93","Draba alberti Regel & Schmalh."
"94","Draba kongboiana Al-Shehbaz"
"95","Draba jucunda W.W.Sm."
"96","Draba involucrata (W.W.Sm.) W.W.Sm."
"97","Draba eschscholtzii Pohle & N.Busch"
"98","Draba cachemirica Gand."
"99","Draba korshinskyi (O.Fedtsch.) Pohle"
"100","Draba setosa Royle"
"101","Draba aubrietioides Jafri"
"102","Draba radicans Royle"
"103","Draba macbeathiana Al-Shehbaz"
"104","Draba stenocarpa Hook.f. & Thomson"
"105","Draba koeiei Rech.f."
"106","Draba olgae Regel & Schmalh."
"107","Draba yunnanensis Franch."
"108","Draba surculosa Franch."
"109","Draba pilosa Adams ex Fisch."
"110","Draba barbata Pohle"
"111","Draba palanderiana Kjellm."
"112","Draba turczaninovii Pohle & N.Busch"
"113","Draba fladnizensis Wulfen"
"114","Draba lichiangensis W.W.Sm."
"115","Draba tomentosa Clairv."
"116","Draba ladina Braun-Blanq."
"117","Draba alpina L."
"118","Draba arseniewi (B.Fedtsch.) Gilg ex Tolm."
"119","Draba dubia Suter"
"120","Draba porsildii G.A.Mulligan"
"121","Draba lonchocarpa Rydb."
"122","Draba gilliesii Hook. & Arn."
"123","Draba magellanica Lam."
"124","Draba macrocarpa Adams"
"125","Draba cana Rydb."
"126","Draba breweri S.Watson"
"127","Draba grandis Langsd. ex Fisch."
"128","Draba winterbottomii (Hook.f. & Thomson) Pohle"
"129","Draba oligosperma Hook."
"130","Draba corymbosa R.Br."
"131","Draba lactea Adams"
"132","Draba oblongata R.Br. ex DC."
"133","Draba paysonii J.F.Macbr."
"134","Draba oxycarpa Boiss."
"135","Draba subcapitata Simmons"
"136","Draba oreades Schrenk"
"137","Draba pohlei Tolm."
"138","Draba groenlandica E.Ekman"
"139","Draba ramulosa Rollins"
"140","Draba ruaxes Payson & H.St.John"
"141","Draba nylamensis Al-Shehbaz"
"142","Draba zangbeiensis L.L.Lu"
"143","Draba ladyginii Pohle"
"144","Draba mongolica Turcz."
"145","Draba incana L."
"146","Draba norvegica Gunnerus"
"147","Draba kotschyi Stur"
"148","Draba tucumanensis O.E.Schulz"
"149","Draba subumbellata Rollins & R.A.Price"
"150","Draba nivalis Lilj."
"151","Draba elegans Boiss."
"152","Draba chamissonis G.Don"
"153","Draba ussuriensis Pohle"
"154","Draba sachalinensis N.Busch"
"155","Draba scopulorum Wedd."
"156","Draba siliquosa M.Bieb."
"157","Draba supranivalis Rupr."
"158","Draba jaegeri Munz & I.M.Johnst."
"159","Draba heterocoma Fenzl"
"160","Draba sikkimensis (Hook.f. & Thomson) Pohle"
"161","Draba subamplexicaulis C.A.Mey."
"162","Draba juvenilis Kom."
"163","Draba prozorovskii Tolm."
"164","Draba glacialis Adams"
"165","Draba tibetica Hook.f. & Thomson"
"166","Draba incerta Payson"
"167","Draba praealta Greene"
"168","Draba lanceolata Royle"
"169","Draba laurentiana Fernald"
"170","Draba daurica DC."
"171","Draba arabisans Michx."
"172","Draba falconeri O.E.Schulz"
"173","Draba glabella Pursh"
"174","Draba fuhaiensis Z.X.An"
"175","Draba borealis DC."
"176","Draba ochroleuca Bunge"
"177","Draba rigida Willd."
"178","Draba glomerata Royle"
"179","Draba lasiophylla Royle"
"180","Draba alyssoides Kunth"
"181","Draba kusnezowii (Turcz. ex Ledeb.) Hayek"
"182","Draba stenobotrys Gilg & O.E.Schulz ex O.E.Schulz"
"183","Draba altaica (C.A.Mey.) Bunge"
"184","Draba sherriffii Grierson"
"185","Draba amoena O.E.Schulz"
"186","Draba elata Hook.f. & Thomson"
"187","Draba staintonii Jafri ex H.Hara"
"188","Draba rupestris Willd. ex DC."
"189","Draba cinerea Adams"
"190","Draba baicalensis Tolm."
"191","Draba hyperborea (L.) Desv."
"192","Draba doerfleri Wettst."
"193","Draba stylaris J.Gay ex W.D.J.Koch"
"194","Draba ramosissima Desv."
"195","Draba hitchcockii Rollins"
"196","Draba pterosperma Payson"
"197","Draba murrayi G.A.Mulligan"
"198","Draba lutescens Coss."
"199","Draba huetii Boiss."
"200","Draba ellipsoidea Hook.f. & Thomson"
"201","Draba scabra C.A.Mey."
"202","Draba longisiliqua Schmalh."
"203","Draba aizoides L."
"204","Draba cheiranthoides Hook.f."
"205","Draba Dill. ex L."
"206","Draba bellardii S.F.Blake"
"207","Draba lasiocarpa Rochel"
"208","Draba olympica Sibth. ex DC."
"209","Draba scardica (Griseb.) Degen & Dörfl."
"210","Draba parnassica Boiss. & Heldr."
"211","Draba dedeana Boiss. & Reut."
"212","Draba acaulis Boiss."
"213","Draba lacaitae Boiss."
"214","Draba hispanica Boiss."
"215","Draba oreadum Maire"
"216","Draba bruniifolia Steven"
"217","Draba araratica Rupr."
"218","Draba cappadocica Boiss. & Balansa"
"219","Draba incompta Ledeb."
"220","Draba aucheri Boiss."
"221","Draba rosularis Boiss."
"222","Draba hispida Willd."
"223","Draba nuda (Bél.) Al-Shehbaz & M.Koch"
"224","Draba nemorosa L."
