"","species_name"
"1","Gymnostachys anceps R.Br."
"2","Orontium aquaticum L."
"3","Lysichiton americanus Hultén & H.St.John"
"4","Symplocarpus foetidus (L.) Salisb. ex Nutt."
"5","Spirodela polyrhiza (L.) Schleid."
"6","Wolffia columbiana H.Karst."
"7","Wolffiella oblonga (Phil.) Hegelm."
"8","Landoltia punctata (G.Mey.) Les & D.J.Crawford"
"9","Lemna minor L."
"10","Anthurium acaule Poepp. & Endl."
"11","Pedicellarum paiei M.Hotta"
"12","Pothoidium lobbianum Schott"
"13","Pothos scandens L."
"14","Stenospermation ulei K.Krause"
"15","Heteropsis oblongifolia Kunth"
"16","Alloschemone occidentalis (Poepp.) Engl. & K.Krause"
"17","Rhodospatha oblongata Poepp."
"18","Epipremnum pinnatum (L.) Engl."
"19","Amydrium humile Schott"
"20","Monstera adansonii Schott"
"21","Scindapsus hederaceus Miq."
"22","Rhaphidophora bogneri P.C.Boyce & Haigh"
"23","Rhaphidophora crassifolia Hook.f."
"24","Anadendrum Schott"
"25","Holochlamys beccarii (Engl.) Engl."
"26","Spathiphyllum wallisii Regel"
"27","Pycnospatha arietina Gagnep."
"28","Lasimorpha senegalensis Schott"
"29","Anaphyllum wightii Schott"
"30","Lasia spinosa (L.) Thwaites"
"31","Cyrtosperma macrotum Becc. ex Engl."
"32","Podolasia stipitata N.E.Br."
"33","Anaphyllopsis americana (Engl.) A.Hay"
"34","Dracontioides desciscens (Schott) Engl."
"35","Dracontium polyphyllum L."
"36","Urospatha sagittifolia (Rudge) Schott"
"37","Stylochaeton bogneri Mayo"
"38","Gonatopus angustus N.E.Br."
"39","Zamioculcas zamiifolia (G.Lodd.) Engl."
"40","Callopsis volkensii Engl."
"41","Calla palustris L."
"42","Pseudodracontium lacourii (Linden & André) N.E.Br."
"43","Amorphophallus paeoniifolius (Dennst.) Nicolson"
"44","Amorphophallus angolensis (Welw. ex Schott) N.E.Br."
"45","Hapaline benthamiana Schott"
"46","Jasarum steyermarkii G.S.Bunting"
"47","Syngonium auritum (L.) Schott"
"48","Caladium lindenii Engl."
"49","Ulearum sagittatum Engl."
"50","Filarum manserichense Nicolson"
"51","Zomicarpella amazonica Bogner"
"52","Zomicarpa steigeriana Maxim. ex Schott"
"53","Scaphispatha gracilis Brongn. ex Schott"
"54","Xanthosoma helleborifolium (Jacq.) Schott"
"55","Chlorospatha Engl."
"56","Ambrosina bassii L."
"57","Arisarum vulgare O.Targ.Tozz."
"58","Peltandra virginica Kunth"
"59","Typhonodorum lindleyanum Schott"
"60","Arophyton buchetii Bogner"
"61","Colletogyne perrieri Buchet"
"62","Carlephyton glaucophyllum Bogner"
"63","Alocasia hypnosa J.T.Yin, Y.H.Wang & Z.F.Xu"
"64","Alocasia odora (Lindl.) K.Koch"
"65","Colocasia gigantea (Blume) Hook.f."
"66","Pinellia pedatisecta Schott"
"67","Lazarum A.Hay"
"68","Theriophonum dalzellii Schott"
"69","Typhonium blumei Nicolson & Sivad."
"70","Eminium spiculatum (Blume) Schott"
"71","Helicodiceros muscivorus (L.f.) Engl."
"72","Dracunculus vulgaris Schott"
"73","Arum hygrophilum Boiss."
"74","Biarum tenuifolium Heldr."
"75","Sauromatum horsfieldii Miq."
"76","Arisaema franchetianum Engl."
"77","Arisaema speciosum (Wall.) Mart."
"78","Arisaema schimperianum Schott"
"79","Arisaema costatum (Wall.) Mart."
"80","Arisaema macrospathum Benth."
"81","Arisaema dracontium (L.) Schott"
"82","Arisaema heterophyllum Blume"
"83","Arisaema triphyllum (L.) Schott"
"84","Arisaema amurense Maxim."
"85","Arisaema tortuosum Steud."
"86","Ariopsis peltata Nimmo"
"87","Colocasia esculenta (L.) Schott"
"88","Remusatia vivipara (Roxb.) Schott"
"89","Steudnera colocasiifolia K.Koch"
"90","Protarum sechellarum Engl."
"91","Pistia stratiotes L."
"92","Lagenandra ovata (L.) Thwaites"
"93","Cryptocoryne lingua Becc. ex Engl."
"94","Apoballis acuminatissima (Schott) S.Y.Wong & P.C.Boyce"
"95","Ooia grabowskii (Engl.) S.Y.Wong & P.C.Boyce"
"96","Phymatarum borneense M.Hotta"
"97","Schismatoglottis trifasciata Engl."
"98","Schottariella mirifica P.C.Boyce & S.Y.Wong"
"99","Pichinia disticha S.Y.Wong & P.C.Boyce"
"100","Bucephalandra motleyana Schott"
"101","Bakoa lucens (Bogner) P.C.Boyce & S.Y.Wong"
"102","Hestia longifolia (Ridl.) S.Y.Wong & P.C.Boyce"
"103","Aridarum nicolsonii Bogner"
"104","Piptospatha ridleyi N.E.Br. ex Hook.f."
"105","Philonotion americanum (A.M.E.Jonker & Jonker) S.Y.Wong & P.C.Boyce"
"106","Montrichardia arborescens (L.) Schott"
"107","Cercestis mirabilis (N.E.Br.) Bogner"
"108","Culcasia liberica N.E.Br."
"109","Homalomena speariae Bogner & Moffler"
"110","Homalomena magna A.Hay"
"111","Furtadoa sumatrensis M.Hotta"
"112","Philodendron deltoideum Poepp."
"113","Nephthytis bintuluensis A.Hay, Bogner & P.C.Boyce"
"114","Aglaodorum griffithii (Schott) Schott"
"115","Aglaonema modestum Schott ex Engl."
"116","Nephthytis afzelii Schott"
"117","Anchomanes difformis (Blume) Engl."
"118","Pseudohydrosme gabunensis Engl."
"119","Zantedeschia albomaculata (Hook.) Baill."
"120","Gearum brasiliense N.E.Br."
"121","Croatiella integrifolia (Madison) E.G.Gonç."
"122","Spathicarpa hastifolia Hook."
"123","Taccarum weddellianum Brongn. ex Schott"
"124","Asterostigma cubense (A.Rich.) K.Krause ex Bogner"
"125","Synandrospadix vermitoxicus (Griseb.) Engl."
"126","Mangonia tweedieana Schott"
"127","Incarum pavonii (Schott) E.G.Gonç."
"128","Spathantheum intermedium Bogner"
"129","Gorgonidium Schott"
"130","Dieffenbachia aglaonematifolia Engl."
"131","Bognera recondita (Madison) Mayo & Nicolson"
"132","Anubias barteri Schott"
