"","species_name"
"1","Nypa fruticans Wurmb"
"2","Arenga ryukyuensis A.J.Hend."
"3","Arenga engleri Becc."
"4","Arenga longicarpa C.F.Wei"
"5","Arenga mindorensis Becc."
"6","Arenga tremula (Blanco) Becc."
"7","Arenga porphyrocarpa (Blume ex Mart.) H.E.Moore"
"8","Arenga listeri Becc. ex Oliv."
"9","Arenga hookeriana (Becc.) Whitmore"
"10","Arenga talamauensis Mogea"
"11","Arenga longipes Mogea"
"12","Arenga hastata (Becc.) Whitmore"
"13","Arenga caudata (Lour.) H.E.Moore"
"14","Arenga wightii Griff."
"15","Arenga micrantha C.F.Wei"
"16","Arenga pinnata (Wurmb) Merr."
"17","Arenga westerhoutii Griff."
"18","Arenga microcarpa Becc."
"19","Arenga australasica (H.Wendl. & Drude) S.T.Blake ex H.E.Moore"
"20","Arenga undulatifolia Becc."
"21","Arenga obtusifolia Mart."
"22","Arenga plicata Mogea"
"23","Arenga retroflorescens H.E.Moore & Meijer"
"24","Arenga brevipes Becc."
"25","Arenga distincta Mogea"
"26","Wallichia oblongifolia Griff."
"27","Wallichia caryotoides Roxb."
"28","Wallichia lidiae A.J.Hend."
"29","Wallichia gracilis Becc."
"30","Wallichia marianneae Hodel"
"31","Wallichia nana Griff."
"32","Wallichia triandra (J.Joseph) S.K.Basu"
"33","Wallichia disticha T.Anderson"
"34","Caryota ophiopellis Dowe"
"35","Caryota zebrina Hambali, Maturb., Heatubun & J.Dransf."
"36","Caryota angustifolia Zumaidar & Jeanson"
"37","Caryota kiriwongensis Hodel"
"38","Caryota obtusa Griff."
"39","Caryota rumphiana Mart."
"40","Caryota maxima Blume ex Mart."
"41","Caryota alberti F.Muell. ex H.Wendl."
"42","Caryota cumingii Lodd. ex Mart."
"43","Caryota monostachya Becc."
"44","Caryota L."
"45","Caryota urens L."
"46","Caryota sympetala Gagnep."
"47","Caryota mitis Lour."
"48","Satranala decussilvae Beentje & J.Dransf."
"49","Hyphaene coriacea Gaertn."
"50","Hyphaene guineensis Schumach. & Thonn."
"51","Hyphaene dichotoma (D.White bis ex Nimmo) Furtado"
"52","Hyphaene petersiana Klotzsch ex Mart."
"53","Hyphaene reptans Becc."
"54","Hyphaene macrosperma H.Wendl."
"55","Hyphaene compressa H.Wendl."
"56","Hyphaene thebaica (L.) Mart."
"57","Medemia argun (Mart.) Württemb. ex H.Wendl."
"58","Bismarckia nobilis Hildebrandt & H.Wendl."
"59","Borassodendron machadonis (Ridl.) Becc."
"60","Borassodendron borneense J.Dransf."
"61","Borassus flabellifer L."
"62","Borassus madagascariensis Bojer, 1837"
"63","Borassus aethiopum Mart."
"64","Borassus akeassii Bayton, Ouédr. & Guinko"
"65","Borassus heineanus Becc."
"66","Lodoicea maldivica (J.F.Gmel.) Pers."
"67","Latania verschaffeltii Lem."
"68","Latania loddigesii Mart."
"69","Latania lontaroides (Gaertn.) H.E.Moore"
"70","Corypha lecomtei Becc. ex Lecomte"
"71","Corypha microclada Becc."
"72","Corypha utan Lam."
"73","Corypha taliera Roxb."
"74","Corypha umbraculifera L."
"75","Chuniophoenix hainanensis Burret"
"76","Chuniophoenix nana Burret"
"77","Chuniophoenix humilis C.Z.Tang & T.L.Wu"
"78","Nannorrhops ritchieana (Griff.) Aitch."
"79","Tahina spectabilis J.Dransf. & Rakotoarin."
"80","Kerriodoxa elegans J.Dransf."
"81","Sabal mauritiiformis (H.Karst.) Griseb. & H.Wendl."
"82","Sabal domingensis Becc."
"83","Sabal gretherae H.J.Quero"
"84","Sabal minor (Jacq.) Pers."
"85","Sabal palmetto Lodd."
"86","Sabal maritima (Kunth) Burret"
"87","Sabal causiarum (O.F.Cook) Becc."
"88","Sabal etonia Swingle ex Nash"
"89","Sabal mexicana Mart."
"90","Sabal bermudana L.H.Bailey"
"91","Sabal rosei (O.F.Cook) Becc."
"92","Sabal uresana Trel."
"93","Sabal pumos (Kunth) Burret"
"94","Sabal yapa C.Wright ex Becc."
"95","Washingtonia robusta H.Wendl."
"96","Washingtonia filifera (Rafarin) H.Wendl. ex de Bary"
"97","Chamaerops humilis L."
"98","Trachycarpus fortunei (Hook.) H.Wendl."
"99","Trachycarpus oreophilus Gibbons & Spanner"
"100","Trachycarpus takil Becc."
"101","Trachycarpus nanus Becc."
"102","Trachycarpus ukhrulensis M.Lorek & K.C.Pradhan"
"103","Trachycarpus latisectus Spanner, Noltie & Gibbons"
"104","Trachycarpus geminisectus Spanner, Gibbons, V.D.Nguyen & T.P.Anh"
"105","Trachycarpus princeps Gibbons, Spanner & San Y.Chen"
"106","Trachycarpus martianus (Wall. ex Mart.) H.Wendl."
"107","Rhapidophyllum hystrix (Fraser ex Thouin) H.Wendl. & Drude"
"108","Maxburretia gracilis (Burret) J.Dransf."
"109","Maxburretia rupicola (Ridl.) Furtado"
"110","Maxburretia furtadoana J.Dransf."
"111","Rhapis robusta Burret"
"112","Rhapis micrantha Becc."
"113","Rhapis subtilis Becc."
"114","Rhapis gracilis Burret"
"115","Rhapis vidalii Aver., T.H.Nguyên & P.K.Lôc"
"116","Rhapis humilis Blume"
"117","Rhapis puhuongensis M.S.Trudgen, T.P.Anh & A.J.Hend."
"118","Rhapis siamensis Hodel"
"119","Rhapis multifida Burret"
"120","Rhapis cochinchinensis (Lour.) Mart."
"121","Rhapis excelsa (Thunb.) A.Henry"
"122","Guihaia grossifibrosa (Gagnep.) J.Dransf., S.K.Lee & F.N.Wei"
"123","Guihaia argyrata (S.K.Lee & F.N.Wei) S.K.Lee, F.N.Wei & J.Dransf."
"124","Colpothrinax cookii Read"
"125","Colpothrinax aphanopetala R.Evans"
"126","Colpothrinax wrightii Griseb. & H.Wendl. ex Voss"
"127","Acoelorrhaphe wrightii (Griseb. & H.Wendl.) H.Wendl. ex Becc."
"128","Serenoa repens (W.Bartram) Small"
"129","Brahea decumbens Rzed."
"130","Brahea edulis H.Wendl. ex S.Watson"
"131","Brahea moorei L.H.Bailey ex H.E.Moore"
"132","Brahea calcarea Liebm."
"133","Brahea dulcis J.G.Cooper"
"134","Brahea aculeata (Brandegee) H.E.Moore"
"135","Brahea sarukhanii H.J.Quero"
"136","Brahea salvadorensis H.Wendl. ex Becc."
"137","Brahea pimo Becc."
"138","Brahea brandegeei (Purpus) H.E.Moore"
"139","Brahea armata S.Watson"
"140","Livistona humilis R.Br."
"141","Livistona inermis R.Br."
"142","Livistona lanuginosa Rodd"
"143","Livistona benthamii F.M.Bailey"
"144","Livistona muelleri F.M.Bailey"
"145","Livistona concinna Dowe & Barfod"
"146","Livistona speciosa Kurz"
"147","Livistona australis (R.Br.) Mart."
"148","Livistona fulva Rodd"
"149","Livistona nitida Rodd"
"150","Livistona decora (W.Bull) Dowe"
"151","Livistona alfredii F.Muell."
"152","Livistona lorophylla Becc."
"153","Livistona drudei F.Muell. ex Drude"
"154","Livistona rigida Becc."
"155","Livistona mariae F.Muell."
"156","Livistona nasmophila Dowe & D.L.Jones"
"157","Livistona victoriae Rodd"
"158","Livistona eastonii C.A.Gardner"
"159","Livistona saribus (Lour.) Merr. ex A.Chev."
"160","Livistona boninensis (Becc.) Nakai"
"161","Livistona chinensis (Jacq.) R.Br. ex Mart."
"162","Livistona endauensis J.Dransf. & K.M.Wong"
"163","Livistona halongensis T.H.Nguyên & Kiew"
"164","Livistona jenkinsiana Griff."
"165","Livistona tahanensis Becc."
"166","Livistona exigua J.Dransf."
