"","species_name"
"1","Begonia guttapila D.C.Thomas & Ardi"
"2","Begonia L."
"3","Begonia rantemarioensis D.C.Thomas & Ardi"
"4","Begonia torajana D.C.Thomas & Ardi"
"5","Begonia vermeulenii D.C.Thomas"
"6","Begonia sanguineopilosa D.C.Thomas & Ardi"
"7","Begonia comestibilis D.C.Thomas & Ardi"
"8","Begonia koordersii Warb. ex Koord."
"9","Begonia pseudolateralis Warb."
"10","Begonia lasioura D.C.Thomas & Ardi"
"11","Begonia watuwilensis Girm."
"12","Begonia flacca Irmsch."
"13","Begonia L."
"14","Begonia prionota D.C.Thomas & Ardi"
"15","Begonia rachmatii Tebbitt"
"16","Begonia nobmanniae D.C.Thomas & Ardi"
"17","Begonia ozotothrix D.C.Thomas"
"18","Begonia didyma D.C.Thomas & Ardi"
"19","Begonia bonthainensis Hemsl."
"20","Begonia siccacaudata J.Door."
"21","Begonia masarangensis Irmsch."
"22","Begonia hispidissima Zipp. ex Koord."
"23","Begonia capituliformis Irmsch."
"24","Begonia mendumae M.Hughes"
"25","Begonia chiasmogyna M.Hughes"
"26","Begonia macintyreana M.Hughes"
"27","Begonia L."
"28","Begonia stevei M.Hughes"
"29","Begonia varipeltata D.C.Thomas"
"30","Begonia hekensis D.C.Thomas"
"31","Begonia L."
"32","Begonia weigallii Hemsl."
"33","Begonia L."
"34","Begonia arfakensis (Gibbs) L.L.Forrest & Hollingsw."
"35","Begonia L."
"36","Begonia argenteomarginata Tebbitt"
"37","Begonia strigosa (Warb.) L.L.Forrest & Hollingsw."
"38","Begonia yapenensis M.Hughes"
"39","Begonia symsanguinea L.L.Forrest & Hollingsw."
"40","Begonia negrosensis Elmer"
"41","Begonia polilloensis Tebbitt"
"42","Begonia L."
"43","Begonia galeolepis Ardi & D.C.Thomas"
"44","Begonia sageaensis Wiriad."
"45","Begonia augustae Irmsch."
"46","Begonia serratipetala Irmsch."
"47","Begonia brevirimosa Irmsch."
"48","Begonia L."
"49","Begonia L."
"50","Begonia oblongifolia Stapf"
"51","Begonia L."
"52","Begonia inostegia Stapf"
"53","Begonia mamutensis Sands"
"54","Begonia papyraptera Sands"
"55","Begonia L."
"56","Begonia erythrogyna Sands"
"57","Begonia fuscisetosa Sands"
"58","Begonia chlorosticta Sands"
"59","Begonia alabensis Kiew"
"60","Begonia multijugata M.Hughes"
"61","Begonia jamilahana Y.W.Low, Joffre & Ariffin"
"62","Begonia L."
"63","Begonia corrugata Kiew & S.Julia"
"64","Begonia L."
"65","Begonia L."
"66","Begonia stenogyna Sands"
"67","Begonia laruei M.Hughes"
"68","Begonia harauensis Girm."
"69","Begonia joffrei S.Julia"
"70","Begonia cyanescens Sands"
"71","Begonia sibutensis Sands"
"72","Begonia racemosa Jack"
"73","Begonia atricha Miq. ex A.DC."
"74","Begonia holttumii Irmsch."
"75","Begonia isoptera Dryand. ex Sm."
"76","Begonia L."
"77","Begonia resecta Miq. ex Koord."
"78","Begonia beludruvenea M.Hughes"
"79","Begonia verecunda M.Hughes"
"80","Begonia bracteata Jack"
"81","Begonia barbellata Ridl."
"82","Begonia olivacea Ardi"
"83","Begonia nurii Irmsch."
"84","Begonia L."
"85","Begonia reginula Kiew"
"86","Begonia L."
"87","Begonia L."
"88","Begonia tigrina Kiew"
"89","Begonia foxworthyi Burkill ex Ridl."
"90","Begonia ignorata Irmsch."
"91","Begonia muricata Blume"
"92","Begonia sublobata Jack"
"93","Begonia fluvialis M.Hughes"
"94","Begonia karangputihensis Girm."
"95","Begonia simolapensis Ardi"
"96","Begonia sudjanae C.-A.Jansson"
"97","Begonia trichopoda Miq."
"98","Begonia goegoensis N.E.Br."
"99","Begonia stictopoda Miq. ex A.DC."
"100","Begonia forbesii King"
"101","Begonia L."
"102","Begonia rajah Ridl. ex Rolfe"
"103","Begonia kemumuensis M.Hughes"
"104","Begonia pasamanensis M.Hughes"
"105","Begonia kudoensis Girm."
"106","Begonia puspitae Ardi"
"107","Begonia droopiae Ardi"
"108","Begonia L."
"109","Begonia tagbanua M.Hughes, C.I Peng & Rubite"
"110","Begonia L."
"111","Begonia L."
"112","Begonia tafaensis Merr. & Perry"
"113","Begonia cleopatrae Coyle"
"114","Begonia hughesii Rubite & C.I Peng"
"115","Begonia gutierrezii Coyle"
"116","Begonia gueritziana Gibbs"
"117","Begonia anisoptera Merr."
"118","Begonia blancii M.Hughes & C.I Peng"
"119","Begonia suborbiculata Merr."
"120","Begonia L."
"121","Begonia klemmei Merr."
"122","Begonia chingipengii Rubite"
"123","Begonia trichochila Warb."
"124","Begonia calcicola Merr."
"125","Begonia oxysperma A.DC."
"126","Begonia elmeri Merr."
"127","Begonia wadei Merr. & Quisumb."
"128","Begonia elnidoensis C.I Peng, Rubite & C.W.Lin"
"129","Begonia tayabensis Merr."
"130","Begonia L."
