"","species_name"
"1","Perianthomega vellozoi Bureau"
"2","Amphilophium parkeri (DC.) L.G.Lohmann"
"3","Amphilophium elongatum (Vahl) L.G.Lohmann"
"4","Amphilophium magnoliifolium (Kunth) L.G.Lohmann"
"5","Amphilophium bauhinioides (Bureau ex Baill.) L.G.Lohmann"
"6","Amphilophium nunezii (A.H.Gentry) L.G.Lohmann"
"7","Amphilophium rodriguesii (A.H.Gentry) L.G.Lohmann"
"8","Amphilophium aschersonii Ule"
"9","Amphilophium paniculatum (L.) Kunth"
"10","Amphilophium crucigerum (L.) L.G.Lohmann"
"11","Amphilophium frutescens (DC.) L.G.Lohmann"
"12","Amphilophium granulosum (Klotzsch) L.G.Lohmann"
"13","Bignonia capreolata L."
"14","Bignonia nocturna (Barb.Rodr.) L.G.Lohmann"
"15","Bignonia aequinoctialis L."
"16","Bignonia hyacinthina (Standl.) L.G.Lohmann"
"17","Bignonia prieurei DC."
"18","Bignonia corymbosa (Vent.) L.G.Lohmann"
"19","Bignonia microcalyx G.Mey."
"20","Bignonia callistegioides Cham."
"21","Bignonia uleana (Kraenzl.) L.G.Lohmann"
"22","Bignonia bracteomana (K.Schum. ex Sprague) L.G.Lohmann"
"23","Anemopaegma laeve DC."
"24","Anemopaegma floridum Mart. ex DC."
"25","Anemopaegma foetidum Bureau & K.Schum."
"26","Anemopaegma robustum Bureau & K.Schum."
"27","Pyrostegia dichotoma Miers"
"28","Pyrostegia venusta (Ker Gawl.) Miers"
"29","Mansoa difficilis (Cham.) Bureau & K.Schum."
"30","Mansoa lanceolata (DC.) A.H.Gentry"
"31","Mansoa hirsuta DC."
"32","Mansoa verrucifera (Schltdl.) A.H.Gentry"
"33","Mansoa standleyi (Steyerm.) A.H.Gentry"
"34","Dolichandra steyermarkii (Sandwith) L.G.Lohmann"
"35","Dolichandra unguis-cati (L.) L.G.Lohmann"
"36","Dolichandra quadrivalvis (Jacq.) L.G.Lohmann"
"37","Dolichandra cynanchoides Cham."
"38","Pleonotoma stichadenia K.Schum."
"39","Pleonotoma jasminifolia (Kunth) Miers"
"40","Pleonotoma albiflora (Salzm. ex DC.) A.H.Gentry"
"41","Manaosella cordifolia (DC.) A.H.Gentry"
"42","Pachyptera aromatica (Barb.Rodr.) L.G.Lohmann"
"43","Tanaecium caudiculatum (Standl.) L.G.Lohmann"
"44","Tanaecium bilabiatum (Sprague) L.G.Lohmann"
"45","Tanaecium pyramidatum (Rich.) L.G.Lohmann"
"46","Tanaecium truncatum (A.Samp.) L.G.Lohmann"
"47","Tanaecium affinis (A.H.Gentry) L.G.Lohmann"
"48","Tanaecium tetragonolobum (Jacq.) L.G.Lohmann"
"49","Tanaecium revillae (A.H.Gentry) L.G.Lohmann"
"50","Tanaecium selloi (Spreng.) L.G.Lohmann"
"51","Tanaecium crucigerum Seem."
"52","Tynanthus polyanthus (Bureau) Sandwith"
"53","Tynanthus villosus A.H.Gentry"
"54","Tynanthus elegans Miers"
"55","Tynanthus panurensis (Bureau) Sandwith"
"56","Cuspidaria cinerea (Bureau ex K.Schum.) L.G.Lohmann"
"57","Cuspidaria sceptrum (Cham.) L.G.Lohmann"
"58","Cuspidaria inaequalis (DC. ex Splitg.) L.G.Lohmann"
"59","Cuspidaria subincana A.H.Gentry"
"60","Cuspidaria convoluta (Vell.) A.H.Gentry"
"61","Cuspidaria lateriflora (C.Mart.) A.DC."
"62","Cuspidaria floribunda (A.DC.) A.H.Gentry"
"63","Lundia densiflora DC."
"64","Lundia corymbifera (Vahl) Sandwith"
"65","Lundia cordata (Vell.) DC."
"66","Lundia virginalis DC."
"67","Lundia spruceana Bureau"
"68","Xylophragma myrianthum (Cham.) Sprague"
"69","Xylophragma harleyi (A.H.Gentry ex M.M.Silva & L.P.Queiroz) L.G.Lohmann"
"70","Fridericia cinnamomea (DC.) L.G.Lohmann"
"71","Fridericia chica (Bonpl.) L.G.Lohmann"
"72","Fridericia dispar (Bureau ex K.Schum.) L.G.Lohmann"
"73","Fridericia spicata (Bureau & K.Schum.) L.G.Lohmann"
"74","Fridericia trailii (Sprague) L.G.Lohmann"
"75","Fridericia speciosa Mart."
"76","Fridericia nigrescens (Sandwith) L.G.Lohmann"
"77","Fridericia pubescens (L.) L.G.Lohmann"
"78","Fridericia conjugata (Vell.) L.G.Lohmann"
"79","Fridericia rego (Vell.) L.G.Lohmann"
"80","Fridericia subincana (Mart.) L.G.Lohmann"
"81","Fridericia cinerea (Bureau ex K.Schum.) L.G.Lohmann"
"82","Fridericia erubescens (DC.) L.G.Lohmann"
"83","Fridericia patellifera (Schltdl.) L.G.Lohmann"
"84","Fridericia leucopogon (Cham.) L.G.Lohmann"
"85","Fridericia triplinervia (Mart. ex DC.) L.G.Lohmann"
"86","Fridericia oligantha (Bureau & K.Schum.) L.G.Lohmann"
"87","Fridericia prancei (A.H.Gentry) L.G.Lohmann"
"88","Fridericia platyphylla (Cham.) L.G.Lohmann"
"89","Martinella obovata (Kunth) Bureau & Schumann"
"90","Martinella iquitoensis A.Samp."
"91","Stizophyllum perforatum (Cham.) Miers"
"92","Stizophyllum inaequilaterum Bureau & K.Schum."
"93","Adenocalymma subincanum Huber"
"94","Adenocalymma bracteatum (Cham.) DC."
"95","Adenocalymma trichocladum (DC.) L.G.Lohmann"
"96","Adenocalymma salmoneum J.C.Gomes"
"97","Adenocalymma campicola (Pilg.) L.G.Lohmann"
"98","Adenocalymma adenophorum (Sandwith) L.G.Lohmann"
"99","Adenocalymma moringifolium (DC.) L.G.Lohmann"
"100","Adenocalymma magnificum Mart. ex DC."
"101","Adenocalymma bracteosum (DC.) L.G.Lohmann"
"102","Adenocalymma cymbalum (Cham.) Bureau & K.Schum."
"103","Adenocalymma impressum (Rusby) Sandwith"
"104","Neojobertia candolleana (Mart. ex DC.) Bureau & K.Schum."
"105","Neojobertia mirabilis (Sandwith) L.G.Lohmann"
