"","species_name"
"1","Pseudobombax tomentosum (Mart. & Zucc.) A.Robyns"
"2","Pseudobombax marginatum (A.St.-Hil., A.Juss. & Cambess.) A.Robyns"
"3","Pseudobombax minimum Carv.-Sobr. & L.P.Queiroz"
"4","Pseudobombax argentinum (R.E.Fr.) A.Robyns"
"5","Pseudobombax andicola A.Robyns"
"6","Pseudobombax simplicifolium A.Robyns"
"7","Pseudobombax calcicola Carv.-Sobr. & L.P.Queiroz"
"8","Pseudobombax parvifolium Carv.-Sobr. & L.P.Queiroz"
"9","Pseudobombax millei (Standl.) A.Robyns"
"10","Pseudobombax guayasense A.Robyns"
"11","Pseudobombax munguba (Mart. & Zucc.) Dugand"
"12","Pseudobombax septenatum (Jacq.) Dugand"
"13","Pseudobombax longiflorum (Mart. & Zucc.) A.Robyns"
"14","Pseudobombax grandiflorum var. majus A.Robyns"
"15","Pseudobombax campestre (Mart. & Zucc.) A.Robyns"
"16","Pseudobombax petropolitanum A.Robyns"
"17","Pseudobombax Dugand"
"18","Pseudobombax grandiflorum (Cav.) A.Robyns"
"19","Pseudobombax pulchellum Carv.-Sobr."
"20","Pseudobombax croizatii A.Robyns"
"21","Pseudobombax cajamarcanus Fern.Alonso"
"22","Pseudobombax ellipticoideum A.Robyns"
"23","Pseudobombax ellipticum (Kunth) Dugand"
"24","Pachira quinata (Jacq.) W.S.Alverson"
"25","Ceiba glaziovii K.Schum. ex Chodat & Hassl."
"26","Ceiba rubriflora Carv.-Sobr. & L.P.Queiroz"
"27","Ceiba crispiflora (Kunth) Ravenna"
"28","Ceiba speciosa (A.St.-Hil., A.Juss. & Cambess.) Ravenna"
"29","Ceiba erianthos (Cav.) K.Schum."
"30","Ceiba pubiflora (A.St.-Hil.) Schum."
"31","Ceiba ventricosa (Arruda ex Nees & Mart.) Ravenna"
"32","Ceiba insignis (Kunth) P.E.Gibbs & Semir"
"33","Ceiba chodatii (Hassl.) Ravenna"
"34","Ceiba jasminodora (A.St.-Hil.) K.Schum."
"35","Ceiba pentandra (L.) Gaertn."
"36","Ceiba samauma (C.Mart. & Zucc.) Schum."
"37","Ceiba aesculifolia (Kunth) Britten & Baker fil."
"38","Ceiba acuminata (S.Watson) Rose"
"39","Ceiba schottii Britten & Baker fil."
"40","Neobuchia paulinae Urb."
"41","Spirotheca rivieri (Decne.) Ulbr."
"42","Spirotheca rosea (Seem.) P.E.Gibbs & W.S.Alverson"
"43","Spirotheca elegans Carv.-Sobr., M.Machado & L.P.Queiroz"
"44","Eriotheca saxicola Carv.-Sobr."
"45","Eriotheca parvifolia (Mart. & Zucc.) A.Robyns"
"46","Eriotheca dolichopoda A.Robyns"
"47","Eriotheca gracilipes (K.Schum.) A.Robyns"
"48","Eriotheca obcordata A.Robyns & S.Nilsson"
"49","Eriotheca macrophylla (K.Schum.) A.Robyns"
"50","Eriotheca bahiensis M.C.Duarte & G.L.Esteves"
"51","Eriotheca globosa (Aubl.) A.Robyns"
"52","Eriotheca crenulaticalyx A.Robyns"
"53","Eriotheca Schott & Endl."
"54","Eriotheca pubescens (Mart. & Zucc.) Schott & Endl."
"55","Eriotheca estevesiae Carv.-Sobr."
"56","Eriotheca pentaphylla (Vell.) A.Robyns"
"57","Eriotheca candolleana (K.Schum.) A.Robyns"
"58","Eriotheca surinamensis (Uittien) A.Robyns"
"59","Eriotheca longitubulosa A.Robyns"
"60","Eriotheca squamigera (Cuatrec.) Fern.Alonso"
"61","Eriotheca longipedicellata (Ducke) A.Robyns"
"62","Eriotheca discolor (Kunth) A.Robyns"
"63","Eriotheca ruizii (K.Schum.) A.Robyns"
"64","Eriotheca roseorum (Cuatrec.) A.Robyns"
"65","Pachira moreirae Carv.-Sobr. & W.S.Alverson"
"66","Pachira glabra Pasq."
"67","Pachira Aubl."
"68","Pachira retusa (Mart. & Zucc.) Fern.Alonso"
"69","Pachira endecaphylla (Vell.) Carv.-Sobr."
"70","Pachira faroensis (Ducke) W.S.Alverson"
"71","Pachira Aubl."
"72","Pachira flaviflora (Pulle) Fern.Alonso"
"73","Pachira brevipes (Robyns) Alverson"
"74","Pachira humilis Spruce ex Decne."
"75","Pachira gracilis (A.Robyns) W.S.Alverson"
"76","Pachira insignis (Sw.) Savigny"
"77","Pachira minor (Sims) Hemsl."
"78","Pachira mawarinumae (Steyerm.) W.S.Alverson"
"79","Pachira aquatica Aubl."
"80","Bombax buonopozense Beauverd"
"81","Bombax ceiba L."
"82","Rhodognaphalon schumannianum A.Rob."
"83","Catostemma albuquerquei Paula"
"84","Catostemma milanezii Paula"
"85","Catostemma fragrans Benth."
"86","Scleronema praecox (Ducke) Ducke"
"87","Scleronema micranthum (Ducke) Ducke"
"88","Aguiaria excelsa Ducke"
"89","Cavanillesia umbellata Ruiz & Pav."
"90","Cavanillesia chicamochae Fern.Alonso"
"91","Cavanillesia platanifolia (Humb. & Bonpl.) Kunth"
"92","Adansonia madagascariensis Baill."
"93","Adansonia perrieri Capuron"
"94","Adansonia za Baill."
"95","Adansonia rubrostipa Jum. & Perrier"
"96","Adansonia grandidieri Baill."
"97","Adansonia suarezensis H.Perrier"
"98","Adansonia digitata L."
"99","Adansonia gregorii F.Muell."
"100","Huberodendron swietenioides (Gleason) Ducke"
"101","Huberodendron patinoi Cuatrec."
"102","Gyranthera caribensis Pittier"
"103","Bernoullia flammea Oliv."
"104","Patinoa sphaerocarpa Cuatrec."
"105","Ochroma pyramidale (Cav.) Urb."
