"","species_name"
"1","Cardamine glacialis (G.Forst.) DC."
"2","Cardamine lilacina Hook."
"3","Cardamine debilis Banks ex DC."
"4","Cardamine lacustris (Garn.-Jones & P.N.Johnson) Heenan"
"5","Cardamine umbellata Greene"
"6","Error in curl::curl_fetch_memory(x$url$url, handle = x$url$handle) : 
  LibreSSL SSL_read: error:1404C42E:SSL routines:ST_OK:tlsv1 alert protocol version, errno 0
"
"7","Cardamine bilobata Kirk"
"8","Cardamine occidentalis (S.Watson) O.E.Schulz"
"9","Cardamine macrophylla Willd."
"10","Cardamine sphenophylla Jurtzev"
"11","Cardamine victoris N.Busch"
"12","Cardamine blaisdellii Eastw."
"13","Cardamine purpurea Cham. & Schltdl."
"14","Cardamine digitata Richardson"
"15","Cardamine prorepens Fisch."
"16","Cardamine yezoensis Maxim."
"17","Cardamine torrentis Nakai"
"18","Cardamine microphylla Adams"
"19","Cardamine pedata Regel & Tiling"
"20","Cardamine angulata Hook."
"21","Cardamine californica (Nutt.) Greene"
"22","Cardamine nuttallii Greene"
"23","Cardamine longii Fernald"
"24","Cardamine clematitis Shuttlew."
"25","Cardamine breweri S.Watson"
"26","Cardamine cordifolia A.Gray"
"27","Cardamine rupicola (O.E.Schulz) C.L.Hitchc."
"28","Cardamine flexuosa With."
"29","Cardamine gallaecica (M.Laínz) Rivas Mart. & Izco"
"30","Cardamine pensylvanica Muhl."
"31","Cardamine scutata Thunb."
"32","Cardamine niigatensis H.Hara"
"33","Cardamine densiflora Gontsch."
"34","Cardamine ovata Benth."
"35","Cardamine africana L."
"36","Cardamine wiedmanniana Boiss."
"37","Cardamine tanakae Franch. & Sav."
"38","Cardamine barbaraeoides Halácsy"
"39","Cardamine amara L."
"40","Cardamine amporitana Sennen & Pau"
"41","Cardamine paucijuga Turcz."
"42","Cardamine fallax Nakai ex Koidz."
"43","Cardamine obliqua Hochst. ex A.Rich."
"44","Cardamine lihengiana Al-Shehbaz"
"45","Cardamine griffithii Hook.f. & Thomson"
"46","Cardamine jamesonii Hook."
"47","Cardamine bulbosa (Schreb. ex Muhl.) Britton, Sterns & Poggenb."
"48","Cardamine douglassii Britton"
"49","Cardamine rotundifolia Michx."
"50","Cardamine rivularis Schur"
"51","Cardamine polemonioides Rouy"
"52","Cardamine matthioli Moretti"
"53","Cardamine majovskii Marhold & Záborsky"
"54","Cardamine uliginosa M.Bieb."
"55","Cardamine seidlitziana Albov"
"56","Cardamine tenera J.G.Gmel. ex C.A.Mey."
"57","Cardamine granulosa All."
"58","Cardamine crassifolia Pourr."
"59","Cardamine castellana Lihová & Marhold"
"60","Cardamine pratensis L."
"61","Cardamine dentata Schult."
"62","Cardamine apennina Lihova & Marhold"
"63","Cardamine raphanifolia Pourr."
"64","Cardamine penzesii Ancev & Marhold"
"65","Cardamine acris Griseb."
"66","Cardamine bonariensis Pers."
"67","Cardamine microzyga O.E.Schulz"
"68","Cardamine nipponica Franch. & Sav."
"69","Cardamine franchetiana Diels"
"70","Cardamine glechomifolia H.Lév."
"71","Cardamine rockii O.E.Schulz"
"72","Cardamine delavayi Franch."
"73","Cardamine asarifolia L."
"74","Cardamine hirsuta L."
"75","Cardamine cubita Molloy, Heenan & Smissen"
"76","Cardamine appendiculata Franch. & Sav."
"77","Cardamine oligosperma Nutt."
"78","Cardamine pattersonii L.F.Hend."
"79","Cardamine pentaphyllos (L.) Crantz"
"80","Cardamine kitaibelii Bech."
