"","species_name"
"1","Carex satsumensis Franch. & Sav."
"2","Carex bostrychostigma Maxim."
"3","Carex dissitiflora Franch."
"4","Carex prainii C.B.Clarke"
"5","Carex curticeps C.B.Clarke"
"6","Carex microglochin Wahlenb."
"7","Carex nardina (Hornem.) Fr."
"8","Carex rupestris All."
"9","Carex argunensis Turcz. ex Ledeb."
"10","Carex obtusata Lilj."
"11","Carex oreophila C.A.Mey."
"12","Carex runssoroensis K.Schum."
"13","Carex monostachya A.Rich."
"14","Carex arctogena Harry Sm."
"15","Carex capitata Sol."
"16","Carex pauciflora Lightf."
"17","Carex pyrenaica Wahlenb."
"18","Carex micropoda C.A.Mey."
"19","Carex nigricans C.A.Mey."
"20","Carex anthoxanthea J.Presl & C.Presl"
"21","Carex circinata C.A.Mey."
"22","Carex subnigricans Stacey"
"23","Carex engelmannii L.H.Bailey"
"24","Carex breweri Boott"
"25","Carex muriculata F.J.Herm."
"26","Carex L."
"27","Carex stellata Mack."
"28","Carex schiedeana Kunze"
"29","Carex gypsophila Reznicek & S.González"
"30","Carex L."
"31","Carex nesophila Holm"
"32","Carex perstricta Mack."
"33","Carex longissima M.E.Jones"
"34","Carex filifolia Nutt."
"35","Carex onoei Franch. & Sav."
"36","Carex jankowskii Gorodkov"
"37","Carex kirinensis W.Wang & Y.L.Chang"
"38","Carex capitellata Boiss. & Balansa"
"39","Carex leptalea Wahlenb."
"40","Carex kanaii (Rajbh. & H.Ohba) S.R.Zhang & O.Yano"
"41","Carex esenbeckii Kunth"
"42","Carex fissiglumis (C.B.Clarke) S.R.Zhang & O.Yano"
"43","Carex mallae (Rajbh. & H.Ohba) O.Yano"
"44","Carex borealipolaris S.R.Zhang"
"45","Carex sargentiana (Hemsl.) S.R.Zhang"
"46","Carex myosuroides Lowe"
"47","Carex tibetikobresia S.R.Zhang"
"48","Carex ovoidispica O.Yano"
"49","Carex deasyi (C.B.Clarke) O.Yano & S.R.Zhang"
"50","Carex pygmaea Boeckeler"
"51","Carex parvula O.Yano"
