"","species_name"
"1","Chamaecrista decumbens (Benth.) H.S.Irwin & Barneby"
"2","Chamaecrista brachyrachis (Harms) H.S.Irwin & Barneby"
"3","Chamaecrista tenuicaulis A.O.Souza & M.J.Silva"
"4","Chamaecrista filicifolia (Mart. ex Benth.) H.S.Irwin & Barneby"
"5","Chamaecrista irwiniana A.O.Souza & M.J.Silva"
"6","Chamaecrista floribunda M.J.Silva & A.O.Souza"
"7","Chamaecrista feliciana (H.S.Irwin & Barneby) H.S.Irwin & Barneby"
"8","Chamaecrista benthamiana (Harms) H.S.Irwin & Barneby"
"9","Chamaecrista azulana (H.S.Irwin & Barneby) H.S.Irwin & Barneby"
"10","Chamaecrista mollicaulis (Harms) H.S.Irwin & Barneby"
"11","Chamaecrista densifolia (Benth.) H.S.Irwin & Barneby"
"12","Chamaecrista strictula (H.S.Irwin & Barneby) H.S.Irwin & Barneby"
"13","Chamaecrista planaltoana (Harms) H.S.Irwin & Barneby"
"14","Chamaecrista dawsonii (R.S.Cowan) H.S.Irwin & Barneby"
"15","Chamaecrista obolaria (H.S.Irwin & Barneby) A.O.Souza & M.J.Silva"
"16","Chamaecrista polita H.S.Irwin & Barneby"
"17","Chamaecrista elata A.O.Souza & M.J.Silva"
"18","Chamaecrista nummulariifolia (Benth.) H.S.Irwin & Barneby"
"19","Chamaecrista nanodes (H.S.Irwin & Barneby) H.S.Irwin & Barneby"
"20","Chamaecrista macedoi (H.S.Irwin & Barneby) H.S.Irwin & Barneby"
"21","Chamaecrista gymnothyrsa (H.S.Irwin & Barneby) H.S.Irwin & Barneby"
"22","Chamaecrista sparsifolia A.O.Souza & M.J.Silva"
"23","Chamaecrista multipennis (H.S.Irwin & Barneby) H.S.Irwin & Barneby"
"24","Chamaecrista cipoana (H.S.Irwin & Barneby) H.S.Irwin & Barneby"
"25","Chamaecrista sincorana (Harms) H.S.Irwin & Barneby"
"26","Chamaecrista glaucofilix (H.S.Irwin & Barneby) H.S.Irwin & Barneby"
"27","Chamaecrista hispidula (Vahl) H.S.Irwin & Barneby"
"28","Chamaecrista rupestrium H.S.Irwin & Barneby"
"29","Chamaecrista botryoides Conc., L.P.Queiroz & G.P.Lewis"
"30","Chamaecrista neesiana (Mart. ex Benth.) H.S.Irwin & Barneby"
"31","Chamaecrista belladonna M.J.Silva & A.O.Souza"
"32","Chamaecrista isidorea (Benth.) H.S.Irwin & Barneby"
"33","Chamaecrista setosa var. detonsa (Benth.) H.S.Irwin & Barneby"
"34","Chamaecrista scabra (Pohl ex Benth.) H.S.Irwin & Barneby"
"35","Chamaecrista multiseta (Benth.) H.S.Irwin & Barneby"
"36","Chamaecrista campicola (Harms) H.S.Irwin & Barneby"
"37","Chamaecrista altoana (H.S.Irwin & Barneby) H.S.Irwin & Barneby"
"38","Chamaecrista coradinii H.S.Irwin & Barneby"
"39","Chamaecrista setosa (Vogel) H.S.Irwin & Barneby"
"40","Chamaecrista pachyclada (Harms) H.S.Irwin & Barneby"
"41","Chamaecrista claussenii var. claussenii"
"42","Chamaecrista cathartica (Mart.) H.S.Irwin & Barneby"
"43","Chamaecrista ciliolata var. pulchella (H.S.Irwin & Barneby) H.S.Irwin & Barneby"
"44","Chamaecrista ciliolata var. ciliolata"
"45","Chamaecrista speciosa Conc., L.P.Queiroz & G.P.Lewis"
"46","Chamaecrista philippii (H.S.Irwin & Barneby) H.S.Irwin & Barneby"
"47","Chamaecrista urophyllidia (H.S.Irwin & Barneby) H.S.Irwin & Barneby"
"48","Chamaecrista dalbergiifolia (Benth.) H.S.Irwin & Barneby"
"49","Chamaecrista brachyblepharis (Harms) H.S.Irwin & Barneby"
"50","Chamaecrista absus (L.) H.S.Irwin & Barneby"
"51","Chamaecrista jacobinea (Benth.) H.S.Irwin & Barneby"
