"","species_name"
"1","Hirtella guainiae Spruce"
"2","Hirtella pilosissima Mart. & Zucc."
"3","Hirtella magnifolia Prance"
"4","Hirtella elongata Mart. & Zucc."
"5","Hirtella duckei Huber"
"6","Hirtella glandulosa Spreng."
"7","Hirtella guatemalensis Standl."
"8","Hirtella lemsii L.O.Williams & Prance"
"9","Hirtella rodriguesii Prance"
"10","Hirtella triandra Sw."
"11","Hirtella arenosa Prance"
"12","Hirtella suffulta Prance"
"13","Hirtella dorvalii Prance"
"14","Hirtella corymbosa Cham. & Schltdl."
"15","Hirtella sprucei Benth."
"16","Hirtella myrmecophila Pilg."
"17","Hirtella paniculata Sw."
"18","Hirtella racemosa Lam."
"19","Hirtella physophora Mart. & Zucc."
"20","Hirtella bicornis Mart. & Zucc."
"21","Hirtella tenuifolia Prance"
"22","Hirtella davisii Sandwith"
"23","Hirtella glandistipula Ducke"
"24","Hirtella macrosepala Sandwith"
"25","Hirtella araguariensis Prance"
"26","Hirtella punctillata Ducke"
"27","Hirtella recurva (Spruce ex Prance) Sothers & Prance"
"28","Hymenopus laevigatus (Prance) Sothers & Prance"
"29","Hymenopus latifolius (Benth. ex Hook.fil.) Sothers & Prance"
"30","Hymenopus heteromorphus (Benth.) Sothers & Prance"
"31","Hymenopus reticulatus (Prance) Sothers & Prance"
"32","Cordillera platycalyx (Cuatrec.) Sothers & Prance"
"33","Parinariopsis licaniiflora (Sagot) Sothers & Prance"
"34","Afrolicania elaeosperma Mildbr."
"35","Hymenopus caudatus (Prance) Sothers & Prance"
"36","Hymenopus latistipulus (Prance) Sothers & Prance"
"37","Hymenopus divaricatus (Benth.) Sothers & Prance"
"38","Hymenopus intrapetiolaris (Spreng. ex Hook.fil.) Sothers & Prance"
"39","Hymenopus glabriflorus (Prance) Sothers & Prance"
"40","Hymenopus macrophyllus (Benth.) Sothers & Prance"
"41","Microdesmia arborea (Seem.) Sothers & Prance"
"42","Microdesmia rigida (Benth.) Sothers & Prance"
"43","Leptobalanus apetalus (E.Mey.) Sothers & Prance"
"44","Gaulettia parillo (DC.) Sothers & Prance"
"45","Gaulettia Sothers & Prance"
"46","Gaulettia elata (Ducke) Sothers & Prance"
"47","Gaulettia amaraliae (Prance) Sothers & Prance"
"48","Licania orbicularis Spruce"
"49","Licania ovalifolia Kleinh."
"50","Licania densiflora Kleinh."
"51","Licania membranacea Sagot ex Laness."
"52","Licania micrantha Miq."
"53","Licania rodriguesii Prance"
"54","Licania cordata Prance"
"55","Licania harlingii Prance"
"56","Licania kunthiana Hook.fil."
"57","Licania canescens Benoist"
"58","Licania niloi Prance"
"59","Licania hypoleuca Benth."
"60","Licania pallida Britton"
"61","Licania alba (Bernoulli) Cuatrec."
"62","Licania irwinii Prance"
"63","Licania majuscula Sagot"
"64","Licania lamentanda Prance"
"65","Licania littoralis Warm."
"66","Leptobalanus emarginatus (Spruce ex Hook.fil.) Sothers & Prance"
"67","Leptobalanus (Benth.) Sothers & Prance"
"68","Leptobalanus gardneri (Hook.fil.) Sothers & Prance"
"69","Leptobalanus octandrus (Hoffmanns. ex Roem. & Schult.) Sothers & Prance"
"70","Leptobalanus humilis (Cham. & Schltdl.) Sothers & Prance"
"71","Leptobalanus sprucei (Hook.fil.) Sothers & Prance"
"72","Leptobalanus granvillei (Prance) Sothers & Prance"
"73","Leptobalanus sclerophyllus (Mart. ex Hook.fil.) Sothers & Prance"
"74","Leptobalanus latus (J.F.Macbr.) Sothers & Prance"
"75","Couepia habrantha Standl."
"76","Couepia magnoliifolia Hook.f. ex Benth."
"77","Couepia multiflora Benth."
"78","Couepia morii Prance"
"79","Couepia spicata Ducke"
"80","Couepia impressa Prance"
"81","Couepia rufa Ducke"
"82","Couepia belemii Prance"
"83","Couepia robusta Huber"
"84","Couepia bracteosa Benth."
"85","Couepia excelsa Ducke"
"86","Couepia caryophylloides Benoist"
"87","Couepia rankiniae Prance"
"88","Couepia sandwithii Prance"
"89","Couepia joaquinae Prance"
"90","Couepia guianensis Aubl."
"91","Couepia ulei Pilg."
"92","Couepia obovata Ducke"
"93","Couepia subcordata Benth."
"94","Couepia williamsii J.F.Macbr."
"95","Couepia hallwachsiae D.Santam. & Lagom."
"96","Couepia polyandra (Kunth) Rose"
"97","Couepia scottmorii Prance"
"98","Couepia ovalifolia Benth., 1840"
"99","Couepia schottii Fritsch"
"100","Couepia coarctata Prance"
"101","Couepia bondarii Prance"
"102","Couepia monteclarensis Prance"
"103","Couepia parvifolia Prance"
"104","Couepia bernardii Prance"
"105","Couepia Aubl."
"106","Couepia glabra Prance"
"107","Couepia bracteosa Benth."
"108","Couepia grandiflora (Mart. & Zucc.) Benth."
"109","Couepia paraensis (Mart. & Zucc.) Benth. ex Hook.f."
"110","Couepia uiti Benth., 1840"
"111","Moquilea brittoniana (Fritsch) Sothers & Prance"
"112","Moquilea macrocarpa Pittier"
"113","Moquilea corniculata (Prance) Sothers & Prance"
"114","Moquilea pyrifolia (Griseb.) R.O.Williams"
"115","Moquilea tomentosa Benth."
"116","Moquilea guianensis Aubl."
"117","Moquilea minutiflora Sagot"
"118","Geobalanus oblongifolius (Michx.) Small"
"119","Chrysobalanus cuspidatus Griseb."
"120","Chrysobalanus prancei I.M.Turner"
"121","Chrysobalanus icaco L."
"122","Acioa edulis Prance"
"123","Acioa guianensis Aubl."
"124","Acioa longipendula (Pilg.) Sothers & Prance"
"125","Hunga mackeeana Prance"
"126","Hunga rhamnoides Pancher ex Guillaumin"
"127","Hunga gerontogea (Schltr.) Prance"
"128","Angelesia splendens Korth."
"129","Exellodendron barbatum (Ducke) Prance"
"130","Dactyladenia bellayana (Baill.) Prance & F.White"
"131","Dactyladenia floretii Breteler"
"132","Dactyladenia buchneri (Engl.) Prance & Sothers"
"133","Thelira Thouars, 1806"
"134","Maranthes gabunensis (Engl.) Prance"
"135","Maranthes panamensis (Standl.) Prance & F.White"
"136","Maranthes glabra (Oliv.) Prance"
"137","Maranthes robusta (Oliv.) Prance"
"138","Maranthes kerstingii (Engl.) Prance"
"139","Atuna racemosa Raf."
"140","Grangeria borbonica Lam."
"141","Magnistipula butayei De Wild."
"142","Parastemon urophyllus (Wall. ex A.DC.) A.DC."
"143","Parinari capensis Harv."
"144","Parinari nonda F.Muell. ex Benth."
"145","Parinari curatellifolia Planch. ex Benth."
"146","Parinari anamensis Hance"
"147","Parinari canarioides Kosterm."
"148","Parinari oblongifolia Hook.fil."
"149","Parinari excelsa Sabine"
"150","Parinari obtusifolium Hook.fil."
"151","Parinari campestris Aubl."
"152","Parinari montana Aubl."
"153","Parinari excelsa Sabine"
"154","Parinari alvimii Prance"
"155","Neocarya macrophylla (Sabine) Prance"
"156","Bafodeya benna (Scott-Elliot) Prance"
"157","Kostermanthus heteropetalus (Scort. ex King) Prance"
"158","Kostermanthus robustus Prance"
