"","species_name"
"1","Croton pottsii var. pottsii"
"2","Croton pottsii var. thermophilus (M.C.Johnst.) M.C.Johnst."
"3","Croton lindheimerianus Scheele"
"4","Croton monanthogynus Michx."
"5","Croton lindheimeri (Engelm. & A.Gray) Alph.Wood"
"6","Croton heptalon (Kuntze) B.W.van Ee & P.E.Berry"
"7","Croton leucophyllus var. leucophyllus"
"8","Croton capitatus Michx."
"9","Croton elliottii Chapm."
"10","Croton alamosanus Rose"
"11","Croton axillaris Müll.Arg."
"12","Croton decalobus Müll.Arg."
"13","Croton pendens Lundell"
"14","Croton bixoides Vahl"
"15","Croton micans Sw."
"16","Croton helicoideus Müll.Arg."
"17","Croton watsonii Standl."
"18","Croton yucatanensis Lundell"
"19","Croton culiacanensis Croizat"
"20","Croton masonii I.M.Johnst."
"21","Croton scaber Willd."
"22","Croton tabascensis Lundell"
"23","Croton rosmarinoides Millsp."
"24","Croton astroites Aiton"
"25","Croton argyrophyllus Kunth"
"26","Croton jacobinensis Baill."
"27","Croton milleri J.R.Johnst."
"28","Croton sacaquinha Croizat"
"29","Croton floribundus Spreng."
"30","Croton tricolor Klotzsch ex Baill."
"31","Croton acapulcensis M.J.Martinez Gordillo & J.Jiménez Ram."
"32","Croton conspurcatus Schltdl."
"33","Croton triqueter Lam."
"34","Croton fuscescens Spreng."
"35","Croton argenteus L."
"36","Croton subpannosus Müll.Arg. ex Griseb."
"37","Croton atrostellatus V.W.Steinm."
"38","Croton blanchetianus Baill."
"39","Croton hoffmannii Müll.Arg."
"40","Croton rottlerifolius Baill."
"41","Croton fragrantulus Croizat"
"42","Croton pseudofragrans Croizat"
"43","Croton spruceanus Benth."
"44","Croton orinocensis Müll.Arg."
"45","Croton billbergianus Müll.Arg."
"46","Croton fragrans Kunth"
"47","Croton heterocalyx Baill."
"48","Croton sphaerogynus Baill."
"49","Croton cajucara Benth."
"50","Croton organensis Baill."
"51","Croton campanulatus Caruzo & Cordeiro"
"52","Croton salutaris Casar."
"53","Croton hemiargyreus Müll.Arg."
"54","Croton ortholobus Müll.Arg."
"55","Croton ramillatus Croizat"
"56","Croton gynopetalus Croizat"
"57","Croton jutiapensis Croizat"
"58","Croton guildingii subsp. tiarensis P.E.Berry & Riina"
"59","Croton chamelensis E.J.Lott"
"60","Croton itzaeus Lundell"
"61","Croton cupulifer McVaugh"
"62","Croton martinianus V.W.Steinmann"
"63","Croton varelae V.W.Steinm."
"64","Croton glandulosus L."
"65","Croton hirtus L'Hér."
"66","Croton pachysepalus Griseb."
"67","Croton liebmannii Müll.Arg."
"68","Croton macrodontus Müll.Arg."
"69","Croton brevipes Pax"
"70","Croton betulinus Vahl"
"71","Croton malvaviscifolius Millsp."
"72","Croton repens Schltdl."
"73","Croton antisyphiliticus Mart."
"74","Croton polyandrus Spreng."
"75","Croton cordiifolius Baill."
"76","Croton chocoanus Croizat"
"77","Croton smithianus Croizat"
"78","Croton palanostigma Klotzsch"
"79","Croton skutchii Standl."
"80","Croton matourensis Aubl."
"81","Croton ameliae Lundell"
"82","Croton glandulosepalus Millsp."
"83","Croton glabellus L."
"84","Croton sutup Lundell"
"85","Croton guianensis Aubl."
"86","Croton hircinus Vent."
"87","Croton sellowii Baill."
"88","Croton cerinus Müll.Arg."
"89","Croton nummulariifolius A.Rich."
"90","Croton paludosus Müll.Arg."
"91","Croton velutinus Baill."
"92","Croton ovalifolius Vahl"
"93","Croton eremophilus Müll.Arg."
"94","Croton montevidensis Spreng."
"95","Croton serratifolius Baill."
"96","Croton gnaphalii Baill."
"97","Croton laureltyanus Ahumada"
"98","Croton argentinus Müll.Arg."
"99","Croton catamarcensis Ahumada"
"100","Croton pycnocephalus Baill."
"101","Croton ceanothifolius Baill."
"102","Croton pallidulus Baill."
"103","Croton dichrous Müll.Arg."
"104","Croton erythroxyloides Baill."
"105","Croton andinus Müll.Arg."
"106","Croton cuyabensis Pilg."
"107","Croton linearifolius Müll.Arg."
"108","Croton longicolumellus B.W.van Ee & P.E.Berry"
"109","Croton burchellii Müll.Arg."
"110","Croton breedlovei B.W.van Ee & P.E.Berry"
"111","Croton pedicellatus Kunth"
"112","Croton tenuilobus S.Watson"
"113","Croton luetzelburgii Pax & K.Hoffm."
"114","Croton guatemalensis Lotsy"
"115","Croton reflexifolius Kunth"
"116","Croton fantzianus F.Seym."
"117","Croton niveus Jacq."
"118","Croton pseudoniveus Lundell"
