"","species_name"
"1","Asplundia Harling"
"2","Asplundia utilis (Oerst.) Harling"
"3","Error in curl::curl_fetch_memory(x$url$url, handle = x$url$handle) : 
  LibreSSL SSL_read: error:1404C42E:SSL routines:ST_OK:tlsv1 alert protocol version, errno 0
"
"4","Asplundia Harling"
"5","Asplundia Harling"
"6","Asplundia Harling"
"7","Asplundia longitepala Harling"
"8","Asplundia Harling"
"9","Asplundia Harling"
"10","Asplundia stenophylla (Standl.) Harling"
"11","Asplundia gardneri (Hook.) Harling"
"12","Asplundia maguirei Harling"
"13","Asplundia Harling"
"14","Asplundia antioquiae Harling"
"15","Asplundia platyphylla Harling"
"16","Asplundia flavovaginata Harling"
"17","Asplundia Harling"
"18","Asplundia glandulosa (Gleason) Harling"
"19","Asplundia Harling"
"20","Asplundia aurantiaca Harling"
"21","Asplundia gamotepala Harling"
"22","Asplundia pycnantha Harling"
"23","Asplundia pycnantha Harling"
"24","Asplundia Harling"
"25","Asplundia xiphophylla Harling"
"26","Asplundia peruviana Harling"
"27","Asplundia vaupesiana Harling"
"28","Asplundia brachypus (Drude) Harling"
"29","Asplundia alata Harling"
"30","Asplundia Harling"
"31","Asplundia cymbispatha Harling"
"32","Asplundia brachyphylla Harling"
"33","Asplundia insignis (Duchass. ex Griseb.) Harling"
"34","Asplundia Harling"
"35","Asplundia rivularis (Lindm.) Harling"
"36","Asplundia fanshawei (Maguire) Harling"
"37","Asplundia vagans Harling"
"38","Asplundia Harling"
"39","Asplundia Harling"
"40","Asplundia rigida (Aubl.) Harling"
"41","Asplundia heteranthera Harling"
"42","Asplundia pittieri (Woodson) Harling"
"43","Asplundia allenii Hammel"
"44","Dicranopygium Harling"
"45","Dicranopygium wallisii (Regel) Harling"
"46","Dicranopygium Harling"
"47","Dicranopygium Harling"
"48","Dicranopygium Harling"
"49","Dicranopygium goudotii Harling"
"50","Dicranopygium lugonis Harling"
"51","Dicranopygium stenophyllum Harling"
"52","Dicranopygium pygmaeum (Gleason) Harling"
"53","Schultesiophytum chorianthum Harling"
"54","Sphaeradenia acutitepala Harling"
"55","Sphaeradenia Harling"
"56","Sphaeradenia Harling"
"57","Sphaeradenia Harling"
"58","Sphaeradenia crocea Harling"
"59","Sphaeradenia Harling"
"60","Chorigyne ensiformis (Hook.f.) R.Erikss."
"61","Sphaeradenia Harling"
"62","Sphaeradenia Harling"
"63","Sphaeradenia pallida R.Erikss."
"64","Sphaeradenia pterostigma Harling"
"65","Sphaeradenia Harling"
"66","Sphaeradenia Harling"
"67","Sphaeradenia Harling"
"68","Sphaeradenia duidae Harling"
"69","Sphaeradenia laucheana (Mast.) Harling"
"70","Chorigyne cylindrica R.Erikss."
"71","Chorigyne pendula (Hammel) R.Erikss."
"72","Stelestylis surinamensis Harling"
"73","Stelestylis stylaris (Gleason) Harling"
"74","Ludovia bierhorstii Wilder"
"75","Ludovia integrifolia (Woodson) Harling"
"76","Ludovia lancifolia Brongn."
"77","Thoracocarpus bissectus (Vell.) Harling"
"78","Thoracocarpus Harling"
"79","Dianthoveus cremnophilus Hammel & G.J.Wilder"
"80","Evodianthus funifer (Poit.) Lindm."
"81","Carludovica drudei Mast."
"82","Carludovica palmata Ruiz & Pav."
"83","Carludovica sulcata Hammel"
"84","Carludovica rotundifolia H.Wendl. ex Hook.f."
"85","Cyclanthus bipartitus Poit. ex A.Rich."
