"","species_name"
"1","Eucalyptus aspratilis L.A.S.Johnson & K.D.Hill"
"2","Eucalyptus sargentii Maiden"
"3","Eucalyptus diminuta Brooker & Hopper"
"4","Eucalyptus steedmanii C.A.Gardner"
"5","Eucalyptus cylindriflora Maiden & Blakely"
"6","Eucalyptus eremophila (Diels) Maiden"
"7","Eucalyptus mimica Brooker & Hopper"
"8","Eucalyptus tenera L.A.S.Johnson & K.D.Hill"
"9","Eucalyptus depauperata L.A.S.Johnson & K.D.Hill"
"10","Eucalyptus dielsii C.A.Gardner"
"11","Eucalyptus suggrandis L.A.S.Johnson & K.D.Hill"
"12","Eucalyptus conferruminata D.J.Carr & S.G.M.Carr"
"13","Eucalyptus mcquoidii Brooker & Hopper"
"14","Eucalyptus burdettiana Blakely & Steedman"
"15","Eucalyptus cornuta Labill."
"16","Eucalyptus incerata Brooker & Hopper"
"17","Eucalyptus megacornuta C.A.Gardner"
"18","Eucalyptus gomphocephala A.Cunn. ex DC."
"19","Eucalyptus newbeyi D.J.Carr & S.G.M.Carr"
"20","Eucalyptus microschema Brooker & Hopper"
"21","Eucalyptus cuspidata Turcz."
"22","Eucalyptus macrandra F.Muell. ex Benth."
"23","Eucalyptus occidentalis Endl."
"24","Eucalyptus proxima D.Nicolle & Brooker"
"25","Eucalyptus cernua Brooker & Hopper"
"26","Eucalyptus vesiculosa Brooker & Hopper"
"27","Eucalyptus spathulata Hook."
"28","Eucalyptus prominens Brooker"
"29","Eucalyptus nutans F.Muell."
"30","Eucalyptus annulata Benth."
"31","Eucalyptus redunca Schauer"
"32","Eucalyptus hebetifolia Brooker & Hopper"
"33","Eucalyptus lehmannii Preiss ex Schauer"
"34","Eucalyptus desmondensis Maiden & Blakely"
"35","Eucalyptus goniocarpa L.A.S.Johnson & K.D.Hill"
"36","Eucalyptus alipes (L.A.S.Johnson & K.D.Hill) D.Nicolle & Brooker"
"37","Eucalyptus vegrandis L.A.S.Johnson & K.D.Hill"
"38","Eucalyptus whitei Maiden & Blakely"
"39","Eucalyptus cerasiformis Brooker & Blaxell"
"40","Eucalyptus subtilis Brooker & Hopper"
"41","Eucalyptus astringens (Maiden) Maiden"
"42","Eucalyptus blaxellii L.A.S.Johnson & K.D.Hill"
"43","Eucalyptus utilis Brooker & Hopper"
"44","Eucalyptus erythronema Turcz."
"45","Eucalyptus talyuberlup D.J.Carr & S.G.M.Carr"
"46","Eucalyptus semota C.J.Macph. & Grayling"
"47","Eucalyptus stricklandii Maiden"
"48","Eucalyptus extensa L.A.S.Johnson & K.D.Hill"
"49","Eucalyptus kruseana F.Muell."
"50","Eucalyptus brachyphylla C.A.Gardner"
"51","Eucalyptus gardneri Maiden"
"52","Eucalyptus densa Brooker & Hopper"
"53","Eucalyptus cyclostoma Brooker"
"54","Eucalyptus abdita Brooker & Hopper"
"55","Eucalyptus pluricaulis Brooker & Hopper"
"56","Eucalyptus livida Brooker & Hopper"
"57","Eucalyptus loxophleba Benth."
"58","Eucalyptus zopherophloia Brooker & Hopper"
"59","Eucalyptus articulata Brooker & Hopper"
"60","Eucalyptus wubinensis L.A.S.Johnson & K.D.Hill"
"61","Eucalyptus trivalvis Blakely"
"62","Eucalyptus laeliae Podger & Chippend."
"63","Eucalyptus xanthonema Turcz."
"64","Eucalyptus tortilis L.A.S.Johnson & K.D.Hill"
"65","Eucalyptus thamnoides Brooker & Hopper"
"66","Eucalyptus carnei C.A.Gardner"
"67","Eucalyptus grossa F.Muell. ex Benth."
"68","Eucalyptus protensa L.A.S.Johnson & K.D.Hill"
"69","Eucalyptus diptera C.R.P.Andrews"
"70","Eucalyptus ravida L.A.S.Johnson & K.D.Hill"
"71","Eucalyptus jimberlanica L.A.S.Johnson & K.D.Hill"
"72","Eucalyptus campaspe S.Moore"
"73","Eucalyptus terebra L.A.S.Johnson & K.D.Hill"
"74","Eucalyptus effusa Brooker"
"75","Eucalyptus creta L.A.S.Johnson & K.D.Hill"
"76","Eucalyptus salubris F.Muell."
"77","Eucalyptus tumida Brooker & Hopper"
"78","Eucalyptus accedens Fitzg."
"79","Eucalyptus stowardii Maiden"
"80","Eucalyptus pruiniramis L.A.S.Johnson & K.D.Hill"
"81","Eucalyptus praetermissa Brooker & Hopper"
"82","Eucalyptus phaenophylla Brooker & Hopper"
"83","Eucalyptus clivicola Brooker & Hopper"
"84","Eucalyptus melanophitra Brooker & Hopper"
"85","Eucalyptus histophylla Brooker & Hopper"
