"","species_name"
"1","Vitaceae Tetrastigma dubium"
"2","Vitaceae Tetrastigma leucostaphylum"
"3","Vitaceae Tetrastigma obovatum"
"4","Vitaceae Tetrastigma rumicispermum"
"5","Vitaceae Tetrastigma voinierianum"
"6","Vitaceae Vitis rotundifolia"
"7","Vitaceae Vitis vinifera"
"8","Vitaceae Vitis riparia"
"9","Vitaceae Vitis arizonica"
"10","Vitaceae Vitis cordifolia"
"11","Vitaceae Vitis yeshanensis"
"12","Vitaceae Vitis californica"
"13","Vitaceae Vitis vulpina"
"14","Vitaceae Vitis cinerea"
"15","Vitaceae Vitis treleasei"
"16","Vitaceae Vitis flexuosa"
"17","Vitaceae Vitis amurensis"
"18","Vitaceae Vitis aestivalis"
"19","Vitaceae Vitis betulifolia"
"20","Vitaceae Vitis palmata"
"21","Vitaceae Vitis ficifolia"
"22","Vitaceae Vitis quinquangularis"
"23","Vitaceae Vitis jacquemontii"
"24","Vitaceae Vitis coignetiae"
"25","Vitaceae Vitis thunbergii"
"26","Vitaceae Vitis rupestris"
"27","Vitaceae Vitis acerifolia"
"28","Vitaceae Vitis girdiana"
"29","Vitaceae Tetrastigma lauterbachianum"
"30","Vitaceae Cayratia acris"
"31","Vitaceae Cayratia mollissima"
"32","Vitaceae Vitis labrusca"
"33","Vitaceae Vitis tiliifolia"
"34","Vitaceae Parthenocissus dalzielii"
"35","Vitaceae Cissus elongata"
"36","Vitaceae Cissus carnosa"
"37","Vitaceae Rhoicissus tridentata"
"38","Vitaceae Rhoicissus revoilii"
"39","Vitaceae Rhoicissus tomentosa"
"40","Vitaceae Tetrastigma sp"
"41","Vitaceae Cissus trianae"
"42","Vitaceae Cissus simsiana"
"43","Vitaceae Cissus striata"
"44","Vitaceae Cissus tiliacea"
"45","Vitaceae Cissus tinctoria"
"46","Vitaceae Cissus campestris"
"47","Vitaceae Cissus descoingsii"
"48","Vitaceae Cissus fuliginea"
"49","Vitaceae Cissus pseudoverticillata"
"50","Vitaceae Cissus neei"
"51","Vitaceae Cissus araguainensis"
"52","Vitaceae Cissus pteroclada"
"53","Vitaceae Cissus alata"
"54","Vitaceae Cissus verticillata"
"55","Vitaceae Cissus obliqua"
"56","Vitaceae Cissus decidua"
"57","Vitaceae Cissus pulcherrima"
"58","Vitaceae Cissus serroniana"
"59","Vitaceae Cissus paullinifolia"
"60","Vitaceae Cissus bahiensis"
"61","Vitaceae Cissus spinosa"
"62","Vitaceae Cissus blanchetiana"
"63","Vitaceae Cissus pinnatifolia"
"64","Vitaceae Cissus erosa"
"65","Vitaceae Cissus stipulata"
"66","Vitaceae Cissus ulmifolia"
"67","Vitaceae Cissus sp"
"68","Vitaceae Cissus gongylodes"
"69","Vitaceae Cissus apendiculata"
"70","Vitaceae Cissus surinamensis"
"71","Vitaceae Cissus paraensis"
"72","Vitaceae Cissus sulcicaulis"
"73","Vitaceae Cissus duarteana"
"74","Vitaceae Cissus assamica"
"75","Vitaceae Cissus quadrangularis"
"76","Vitaceae Cissus reniformis"
"77","Vitaceae Cissus cactiformis"
"78","Vitaceae Cissus repens"
"79","Vitaceae Cissus cornifolia"
"80","Vitaceae Cissus javana"
"81","Vitaceae Cissus hastata"
"82","Vitaceae Parthenocissus quinquefolia"
"83","Vitaceae Parthenocissus inserta"
"84","Vitaceae Vitis japonica"
"85","Vitaceae Vitis bryoniifolia"
"86","Vitaceae Vitis davidii"
"87","Vitaceae Vitis heyneana"
"88","Vitaceae Vitis bellula"
"89","Vitaceae Ampelopsis delavayana"
"90","Vitaceae Ampelopsis megalophylla"
"91","Vitaceae Ampelopsis chaffanjonii"
"92","Vitaceae Ampelopsis grossedentata"
"93","Vitaceae Ampelopsis arborea"
"94","Vitaceae Ampelopsis cantoniensis"
"95","Vitaceae Leea longifolia"
"96","Vitaceae Leea javanica"
"97","Vitaceae Leea compactiflora"
"98","Vitaceae Leea guineense"
"99","Vitaceae Leea rubra"
"100","Vitaceae Leea spinea"
"101","Vitaceae Vitis monticola"
"102","Vitaceae Leea aequata"
"103","Vitaceae Yua thomsonii"
"104","Vitaceae Leea indica"
"105","Vitaceae Leea coccinea"
"106","Vitaceae Leea guineensis"
"107","Vitaceae Leea asiatica"
"108","Vitaceae Leea macrophylla"
"109","Vitaceae Leea amabilis"
"110","Vitaceae Leea macropus"
"111","Vitaceae Leea papuana"
"112","Vitaceae Leea coryphantha"
"113","Vitaceae Leea gonioptera"
"114","Vitaceae Leea philippinensis"
"115","Vitaceae Leea acuminatissima"
"116","Vitaceae Leea congesta"
"117","Vitaceae Leea aculeata"
"118","Vitaceae Leea sp"
"119","Vitaceae Leea angulata"
"120","Combretaceae Strephonema mannii"
"121","Combretaceae Strephonema pseudocola"
"122","Combretaceae Anogeissus leiocarpa"
"123","Combretaceae Anogeissus latifolia"
"124","Combretaceae Anogeissus pendula"
"125","Combretaceae Anogeissus sericea"
"126","Combretaceae Anogeissus acuminata"
"127","Combretaceae Guiera senegalensis"
"128","Combretaceae Conocarpus erectus"
"129","Combretaceae Getonia floribunda"
"130","Combretaceae Quisqualis parviflora"
"131","Combretaceae Combretum oxystachyum"
"132","Combretaceae Combretum wattii"
"133","Combretaceae Combretum platypetalum"
"134","Combretaceae Thiloa glaucocarpa"
"135","Combretaceae Combretum wallichii"
"136","Combretaceae Combretum alfredii"
"137","Combretaceae Combretum pisoniiflorum"
"138","Combretaceae Combretum englerii"
"139","Combretaceae Combretum kirkii"
"140","Combretaceae Combretum zeyheri"
"141","Combretaceae Combretum mkuzense"
"142","Combretaceae Combretum coccineum"
"143","Combretaceae Combretum microphyllum"
"144","Combretaceae Combretum paniculatum"
"145","Combretaceae Calopyxis grandidieri"
"146","Combretaceae Combretum grandiflorum"
"147","Combretaceae Quisqualis caudata"
"148","Combretaceae Combretum indicum"
"149","Combretaceae Combretum bracteosum"
"150","Combretaceae Quisqualis littorea"
"151","Combretaceae Combretum goldieanum"
"152","Combretaceae Combretum elaeagnoides"
"153","Combretaceae Combretum imberbe"
"154","Combretaceae Combretum hereroense"
"155","Combretaceae Combretum adenogonium"
"156","Combretaceae Combretum collinum"
"157","Combretaceae Combretum tenuipes"
"158","Combretaceae Combretum glutinosum"
"159","Combretaceae Combretum fragrans"
"160","Combretaceae Combretum erythrophyllum"
"161","Combretaceae Combretum woodii"
"162","Combretaceae Combretum vendae"
"163","Combretaceae Combretum caffrum"
"164","Combretaceae Combretum kraussii"
"165","Combretaceae Combretum farinosum"
"166","Combretaceae Combretum nelsonii"
"167","Combretaceae Combretum micranthum"
"168","Combretaceae Combretum celastroides"
"169","Combretaceae Combretum padoides"
"170","Combretaceae Combretum molle"
"171","Combretaceae Combretum apiculatum"
"172","Combretaceae Combretum albopunctatum"
"173","Combretaceae Meiostemon humbertii"
"174","Combretaceae Meiostemon tetrandrus"
"175","Combretaceae Combretum edwardsii"
"176","Combretaceae Combretum moggii"
"177","Combretaceae Combretum petrophilum"
"178","Combretaceae Combretum holstii"
"179","Combretaceae Combretum mossambicense"
"180","Combretaceae Laguncularia racemosa"
"181","Combretaceae Lumnitzera racemosa"
"182","Combretaceae Lumnitzera littorea"
"183","Combretaceae Terminalia stuhlmannii"
"184","Combretaceae Terminalia prunioides"
"185","Combretaceae Terminalia amazonia"
"186","Combretaceae Terminalia sambesiaca"
"187","Combretaceae Terminalia phanerophlebia"
"188","Combretaceae Terminalia stenostachya"
"189","Combretaceae Terminalia sericea"
"190","Combretaceae Terminalia brachystemma"
"191","Combretaceae Terminalia trichopoda"
"192","Combretaceae Terminalia mollis"
"193","Combretaceae Terminalia microcarpa"
"194","Combretaceae Terminalia sepicana"
"195","Combretaceae Terminalia brownii"
"196","Combretaceae Terminalia complanata"
"197","Combretaceae Terminalia kaernbachii"
"198","Combretaceae Terminalia archipelagi"
"199","Combretaceae Terminalia catappa"
"200","Combretaceae Terminalia ivorensis"
"201","Combretaceae Terminalia litoralis"
"202","Combretaceae Terminalia oblonga"
"203","Combretaceae Terminalia mantaly"
"204","Combretaceae Terminalia guyanensis"
"205","Combretaceae Terminalia bellirica"
"206","Combretaceae Terminalia muelleri"
"207","Combretaceae Pteleopsis anisoptera"
"208","Combretaceae Pteleopsis myrtifolia"
"209","Combretaceae Conocarpus sericeus"
"210","Combretaceae Terminalia myriocarpa"
"211","Combretaceae Terminalia tomentosa"
"212","Combretaceae Terminalia arjuna"
"213","Combretaceae Terminalia hainanensis"
"214","Combretaceae Terminalia chebula"
"215","Combretaceae Terminalia nigrovenulosa"
"216","Combretaceae Buchenavia tetraphylla"
"217","Combretaceae Buchenavia reticulata"
"218","Combretaceae Bucida buceras"
"219","Combretaceae Bucida macrostachya"
"220","Onagraceae Ludwigia peruviana"
"221","Onagraceae Ludwigia torulosa"
"222","Onagraceae Ludwigia helminthorrhiza"
"223","Onagraceae Ludwigia peploides"
"224","Onagraceae Ludwigia grandiflora"
"225","Onagraceae Ludwigia adscendens"
"226","Onagraceae Ludwigia octovalvis"
"227","Onagraceae Ludwigia nervosa"
"228","Onagraceae Ludwigia sedioides"
"229","Onagraceae Ludwigia decurrens"
"230","Onagraceae Ludwigia sedoides"
"231","Onagraceae Ludwigia inclinata"
"232","Onagraceae Ludwigia hyssopifolia"
"233","Onagraceae Ludwigia affinis"
"234","Onagraceae Ludwigia rigida"
"235","Onagraceae Ludwigia ovalis"
"236","Onagraceae Ludwigia ravenii"
"237","Onagraceae Ludwigia lanceolata"
"238","Onagraceae Ludwigia brevipes"
"239","Onagraceae Ludwigia repens"
"240","Onagraceae Ludwigia arcuata"
"241","Onagraceae Ludwigia alata"
"242","Onagraceae Ludwigia spathulata"
"243","Onagraceae Ludwigia sp"
"244","Onagraceae Ludwigia palustris"
"245","Onagraceae Ludwigia curtissii"
"246","Onagraceae Ludwigia sphaerocarpa"
"247","Onagraceae Ludwigia polycarpa"
"248","Onagraceae Ludwigia linearis"
"249","Onagraceae Ludwigia linifolia"
"250","Onagraceae Ludwigia microcarpa"
"251","Onagraceae Ludwigia simpsonii"
"252","Onagraceae Hauya elegans"
"253","Onagraceae Circaea mollis"
"254","Onagraceae Circaea repens"
"255","Onagraceae Circaea erubescens"
"256","Onagraceae Circaea glabrescens"
"257","Onagraceae Circaea cordata"
"258","Onagraceae Circaea lutetiana"
"259","Onagraceae Circaea alpina"
"260","Onagraceae Fuchsia fulgens"
"261","Onagraceae Fuchsia jimenezii"
"262","Onagraceae Fuchsia paniculata"
"263","Onagraceae Fuchsia arborescens"
"264","Onagraceae Fuchsia splendens"
"265","Onagraceae Fuchsia lycioides"
"266","Onagraceae Fuchsia bracelinae"
"267","Onagraceae Fuchsia hybrida"
"268","Onagraceae Fuchsia magellanica"
"269","Onagraceae Fuchsia brevilobis"
"270","Onagraceae Fuchsia coccinea"
"271","Onagraceae Fuchsia hatschbachii"
"272","Onagraceae Fuchsia regia"
"273","Onagraceae Fuchsia glazioviana"
"274","Onagraceae Fuchsia microphylla"
"275","Onagraceae Fuchsia pachyrrhiza"
"276","Onagraceae Fuchsia denticulata"
"277","Onagraceae Fuchsia decussata"
"278","Onagraceae Fuchsia triphylla"
"279","Onagraceae Fuchsia andrei"
"280","Onagraceae Fuchsia macrostigma"
"281","Onagraceae Fuchsia magdalenae"
"282","Onagraceae Fuchsia boliviana"
"283","Onagraceae Fuchsia vargasiana"
"284","Onagraceae Fuchsia hartwegii"
"285","Onagraceae Fuchsia nigricans"
"286","Onagraceae Fuchsia verrucosa"
"287","Onagraceae Fuchsia inflata"
"288","Onagraceae Fuchsia pilaloensis"
"289","Onagraceae Fuchsia insignis"
"290","Onagraceae Fuchsia parviflora"
"291","Onagraceae Fuchsia thymifolia"
"292","Onagraceae Fuchsia procumbens"
"293","Onagraceae Fuchsia cyrtandroides"
"294","Onagraceae Fuchsia colensoi"
"295","Onagraceae Fuchsia excorticata"
"296","Onagraceae Gongylocarpus fruticulosus"
"297","Onagraceae Chamerion latifolium"
"298","Onagraceae Chamerion angustifolium"
"299","Onagraceae Chamerion conspersum"
"300","Onagraceae Epilobium dodonaei"
"301","Onagraceae Epilobium latifolium"
"302","Onagraceae Epilobium angustifolium"
"303","Onagraceae Epilobium tetragonum"
"304","Onagraceae Epilobium roseum"
"305","Onagraceae Epilobium cylindricum"
"306","Onagraceae Epilobium coloratum"
"307","Onagraceae Epilobium hirsutum"
"308","Onagraceae Epilobium lanceolatum"
"309","Onagraceae Epilobium montanum"
"310","Onagraceae Epilobium rigidum"
"311","Onagraceae Epilobium obscurum"
"312","Onagraceae Epilobium parviflorum"
"313","Onagraceae Epilobium ciliatum"
"314","Onagraceae Epilobium siskiyouense"
"315","Onagraceae Epilobium obcordatum"
"316","Onagraceae Epilobium palustre"
"317","Onagraceae Epilobium canum"
"318","Onagraceae Epilobium foliosum"
"319","Onagraceae Epilobium minutum"
"320","Onagraceae Epilobium suffruticosum"
"321","Onagraceae Epilobium nevadense"
"322","Onagraceae Boisduvalia subulata"
"323","Onagraceae Epilobium septentrionale"
"324","Onagraceae Boisduvalia stricta"
"325","Onagraceae Boisduvalia densiflora"
"326","Onagraceae Boisduvalia cleistogama"
"327","Onagraceae Boisduvalia glabella"
"328","Onagraceae Epilobium sp"
"329","Onagraceae Epilobium luteum"
"330","Onagraceae Clarkia xantiana"
"331","Onagraceae Camissonia ovata"
"332","Onagraceae Camissonia subacaulis"
"333","Onagraceae Camissonia tanacetifolia"
"334","Onagraceae Xylonagra arborea"
"335","Onagraceae Chylismia claviformis"
"336","Onagraceae Chylismia arenaria"
"337","Onagraceae Oenothera berteroana"
"338","Onagraceae Lavauxia tubifera"
"339","Onagraceae Oenothera primiveris"
"340","Onagraceae Oenothera coronopifolia"
"341","Onagraceae Oenothera pallida"
"342","Onagraceae Oenothera californica"
"343","Onagraceae Oenothera deltoides"
"344","Onagraceae Oenothera latifolia"
"345","Onagraceae Oenothera neomexicana"
"346","Onagraceae Oenothera albicaulis"
