"","species_name"
"1","Carpinus kawakamii Hayata"
"2","Carpinus L."
"3","Carpinus L."
"4","Carpinus monbeigiana Hand.-Mazz."
"5","Carpinus pubescens Burkill"
"6","Carpinus polyneura Franch."
"7","Carpinus L."
"8","Carpinus coreana Nakai"
"9","Carpinus turczaninovii Hance"
"10","Carpinus orientalis Mill."
"11","Carpinus tschonoskii Maxim."
"12","Carpinus hupeana Hu"
"13","Carpinus putoensis W.C.Cheng"
"14","Carpinus betulus L."
"15","Carpinus londoniana H.J.P.Winkl."
"16","Carpinus tientaiensis W.C.Cheng"
"17","Carpinus viminea Wall. ex Lindl."
"18","Carpinus laxiflora (Siebold & Zucc.) Blume"
"19","Carpinus L."
"20","Carpinus caroliniana subsp. virginiana (Marshall) Furlow"
"21","Carpinus caroliniana Walter"
"22","Ostrya rehderiana Chun"
"23","Ostrya japonica Sarg."
"24","Ostrya carpinifolia Scop."
"25","Ostrya knowltonii Sarg."
"26","Ostrya virginiana (Mill.) K.Koch"
"27","Carpinus cordata Blume"
"28","Carpinus rankanensis Hayata"
"29","Carpinus fangiana Hu"
"30","Carpinus japonica Blume"
"31","Ostryopsis nobilis Balf.f. & W.W.Sm."
"32","Ostryopsis davidiana Decne."
"33","Corylus mandshurica Maxim."
"34","Corylus heterophylla var. thunbergii Blume"
"35","Corylus heterophylla Fisch. ex Trautv."
"36","Corylus fargesii (Franch.) C.K.Schneid."
"37","Corylus ferox Wall."
"38","Corylus ferox Wall."
"39","Corylus avellana L."
"40","Corylus maxima Mill."
"41","Corylus heterophylla var. sutchuenensis Franch."
"42","Corylus yunnanensis (Franch.) A.Camus"
"43","Corylus sieboldiana var. brevirostris C.K.Schneid."
"44","Corylus sieboldiana Blume"
"45","Corylus colurna L."
"46","Corylus chinensis Franch."
"47","Corylus jacquemontii Decne."
"48","Corylus cornuta subsp. californica (A.DC.) A.E.Murray"
"49","Corylus cornuta Marshall"
"50","Corylus americana Walter"
"51","Betula raddeana Trautv."
"52","Betula middendorffii Trautv. & C.A.Mey."
"53","Betula fruticosa Pall."
"54","Betula chinensis Maxim."
"55","Betula papyrifera Marshall"
"56","Betula ovalifolia Rupr."
"57","Betula populifolia Marshall"
"58","Betula pumila L."
"59","Betula grossa Siebold & Zucc."
"60","Betula alnoides Buch.-Ham. ex D.Don"
"61","Betula neoalaskana Sarg."
"62","Betula pubescens Ehrh."
"63","Betula pendula Roth"
"64","Betula nana L."
"65","Betula platyphylla Sukaczev"
"66","Betula platyphylla var. japonica (Miq.) H.Hara"
"67","Betula occidentalis Hook."
"68","Betula pendula var. carelica (Merckl.) Hämet-Ahti"
"69","Betula humilis Schrank"
"70","Betula utilis D.Don"
"71","Betula albosinensis Burkill"
"72","Betula davurica Pall."
"73","Betula maximowicziana Regel"
"74","Betula apoiensis Nakai ex H.Hara"
"75","Betula ermanii Cham."
"76","Betula delavayi Franch."
"77","Betula calcicola (W.W.Sm.) P.C.Li"
"78","Betula chichibuensis H.Hara"
"79","Betula schmidtii Regel"
"80","Betula pubescens var. tortuosa (Ledeb.) Koehne"
