"","species_name"
"1","Ficus lyrata Warb."
"2","Ficus preussii Warb."
"3","Ficus tesselata Warb."
"4","Ficus sagittifolia Warb."
"5","Ficus cyathistipula Warb."
"6","Ficus cyathistipuloides De Wild."
"7","Ficus usambarensis Warb."
"8","Ficus saussureana DC."
"9","Ficus lutea Vahl"
"10","Ficus tremula Warb."
"11","Ficus ottoniifolia (Miq.) Miq."
"12","Ficus bizanae Hutch. & Burtt Davy"
"13","Ficus ovata Vahl"
"14","Ficus polita Vahl"
"15","Ficus sansibarica Warb."
"16","Ficus bubu Warb."
"17","Ficus umbellata Vahl"
"18","Ficus thonningii Blume"
"19","Ficus lingua Warb. ex De Wild. & T.Durand"
"20","Ficus craterostoma Warb. ex Mildbr. & Burret"
"21","Ficus natalensis Hochst."
"22","Ficus burkei (Miq.) Miq."
"23","Ficus Röding, 1798"
"24","Ficus reflexa Thunb."
"25","Ficus fischeri Warb. ex Mildbr. & Burret"
"26","Ficus abutilifolia (Miq.) Miq."
"27","Ficus tettensis Hutch."
"28","Ficus trichopoda Baker"
"29","Ficus glumosa Delile"
"30","Ficus bullenei I.M.Johnst."
"31","Ficus americana Aubl."
"32","Ficus pertusa Bory ex Miq."
"33","Ficus popenoei Standl."
"34","Ficus colubrinae Standl."
"35","Ficus andicola Standl."
"36","Ficus perforata L."
"37","Ficus tuerckheimii Standl."
"38","Ficus citrifolia Mill."
"39","Ficus longifolia Schott"
"40","Ficus nymphaeifolia Mill."
"41","Ficus obtusifolia Kunth"
"42","Ficus luschnathiana (Miq.) Miq."
"43","Ficus trigona L.fil."
"44","Ficus paraensis (White, 1887)"
"45","Ficus costaricana (Liebm.) Miq."
"46","Ficus crocata (Miq.) Mart. ex Miq."
"47","Ficus trigonata L."
"48","Ficus dugandii Standl."
"49","Ficus eximia Schott"
"50","Ficus aurea Nutt."
"51","Ficus eugeniifolia (Liebm.) Hemsl."
"52","Ficus petiolaris Kunth"
"53","Ficus palmeri S.Watson"
"54","Ficus stricta (Miq.) Miq."
"55","Ficus maclellandii King"
"56","Ficus paracamptophylla Corner"
"57","Ficus spathulifolia Corner"
"58","Ficus sumatrana (Miq.) Miq."
"59","Ficus forstenii Miq."
"60","Ficus pellucidopunctata Griff."
"61","Ficus consociata Blume"
"62","Ficus subgelderi Corner"
"63","Ficus benjamina L."
"64","Ficus callophylla Blume"
"65","Ficus cordatula Merr."
"66","Ficus altissima Blume"
"67","Ficus benghalensis L."
"68","Ficus menabeensis H.Perrier"
"69","Ficus annulata Blume"
"70","Ficus chrysolepis Miq."
"71","Ficus glaberrima Blume"
"72","Ficus lilliputiana D.J.Dixon"
"73","Ficus platypoda (Miq.) A.Cunn. ex Miq."
"74","Ficus obliqua G.Forst."
"75","Ficus crassipes F.M.Bailey"
"76","Ficus destruens F.Muell. ex C.T.White"
"77","Ficus watkinsiana F.M.Bailey"
"78","Ficus brachypoda Hutch."
"79","Ficus rubiginosa Desf."
"80","Ficus triradiata Corner"
"81","Ficus pleurocarpa F.Muell."
"82","Ficus macrophylla Pers."
"83","Ficus glandifera Summerh."
"84","Ficus xylosycia Diels"
"85","Ficus hesperidiiformis King"
"86","Ficus carica L."
"87","Ficus pantoniana King"
"88","Ficus villosa Blume"
"89","Ficus odoardi King"
"90","Ficus baeuerlenii King"
"91","Ficus sagittata J.Koenig ex Vahl"
"92","Ficus punctata Thunb."
"93","Ficus ruginervia Corner"
"94","Ficus sarmentosa Buch.-Ham. ex Wall."
"95","Ficus diversiformis Miq."
"96","Ficus grossularioides Burm.fil."
"97","Ficus padana Burm.fil."
"98","Ficus hirta Vahl"
"99","Ficus ruficaulis Merr."
"100","Ficus fulva Reinw. ex Blume"
"101","Ficus aurata (Miq.) Miq."
"102","Ficus pumila L."
"103","Ficus deltoidea Jack"
"104","Ficus oleifolia King"
"105","Ficus stenophylla Hemsl."
"106","Ficus erecta Thunb."
"107","Ficus chapaensis Gagnep."
"108","Ficus ischnopoda Miq."
"109","Ficus tinctoria G.Forst."
"110","Ficus virgata Reinw. ex Blume"
"111","Ficus subulata Blume"
"112","Ficus parietalis Blume"
"113","Ficus obscura Blume"
"114","Ficus wassa Roxb."
"115","Ficus copiosa Steud."
"116","Ficus phaeosyce K.Schum. & Lauterb."
"117","Ficus conocephalifolia Ridl."
"118","Ficus melinocarpa Blume"
"119","Ficus opposita Miq."
"120","Ficus gul K.Schum. & Lauterb."
"121","Ficus trachypison K.Schum. ex K.Schum. & Lauterb."
"122","Ficus ampelas Burm.fil."
"123","Ficus exasperata Vahl"
"124","Ficus cyrtophylla (Wall. ex Miq.) Miq."
"125","Ficus politoria Lam."
"126","Ficus asperifolia Miq."
"127","Ficus pygmaea Welw. ex Hiern"
"128","Ficus henryi Warb. ex Diels"
"129","Ficus pachyrrhachis K.Schum. & Lauterb."
"130","Ficus morobensis C.C.Berg"
"131","Ficus congesta Roxb."
"132","Ficus hispidioides S.Moore"
"133","Ficus arfakensis King"
"134","Ficus adelpha K.Schum. & Lauterb."
"135","Ficus bernaysii King"
"136","Ficus nota Merr."
"137","Ficus schwarzii Koord."
"138","Ficus treubii King"
"139","Ficus lepicarpa Blume"
"140","Ficus ribes Reinw. ex Blume"
"141","Ficus botryocarpa Miq."
"142","Ficus septica Lour., 1790"
"143","Ficus pungens Reinw. ex Blume"
"144","Ficus heterostyla Merr."
"145","Ficus squamosa Roxb."
"146","Ficus hispida Blanco"
"147","Ficus fistulosa Reinw. ex Blume"
"148","Ficus semicordata Miq."
"149","Ficus theophrastoides Seem."
"150","Ficus robusta Corner"
"151","Ficus megaleia Corner"
"152","Ficus uncinata (King) Becc."
"153","Ficus stolonifera King"
"154","Ficus condensa King"
"155","Ficus botryoides Baker"
"156","Ficus tiliifolia Baker"
"157","Ficus vogeliana (Miq.) Miq."
"158","Ficus mucuso Welw. ex Ficalho"
"159","Ficus mauritiana Lam."
"160","Ficus sur Forssk."
"161","Ficus sycomorus L."
"162","Ficus Röding, 1798"
"163","Ficus nodosa Teijsm. & Binn."
"164","Ficus semivestita Corner"
"165","Ficus auriculata Lour."
"166","Ficus oligodon Miq."
"167","Ficus hainanensis Merr. & Chun"
"168","Ficus tikoua Bureau"
"169","Ficus prostrata Wall."
"170","Ficus variegata Blume"
"171","Ficus racemosa L."
"172","Ficus subcuneata Miq."
"173","Ficus erythrosperma Miq."
"174","Ficus mollior F.Muell. ex Benth."
"175","Ficus ochrochlora Ridl."
"176","Ficus arbuscula K.Schum. & Lauterb."
"177","Ficus adenosperma Miq."
"178","Ficus microdictya Diels"
"179","Ficus dammaropsis Diels"
"180","Ficus itoana Diels"
"181","Ficus polyantha Warb."
"182","Ficus hombroniana Corner"
"183","Ficus edelfeltii King"
"184","Ficus subtrinervia K.Schum. & Lauterb."
"185","Ficus racemigera Bureau"
"186","Ficus habrophylla G.Benn."
"187","Ficus nervosa B.Heyne ex Roth"
"188","Ficus ingens (Miq.) Miq."
"189","Ficus virens Dryand., 1789"
"190","Ficus caulocarpa Miq."
"191","Ficus superba (Miq.) Miq."
"192","Ficus concinna (Miq.) Miq."
"193","Ficus religiosa L."
"194","Ficus maxima Mill."
"195","Ficus glabrata Kunth"
"196","Ficus adhatodifolia Schott ex Spreng."
"197","Ficus lapathifolia (Liebm.) Miq."
"198","Ficus insipida Willd."
"199","Ficus yoponensis Desv."
"200","Ficus tonduzii Standl."
"201","Helicostylis tomentosa (Poepp. & Endl.) Rusby"
"202","Helicostylis pedunculata Benoist"
"203","Perebea xanthochyma H.Karst."
"204","Maquira costaricana (Standl.) C.C.Berg"
"205","Perebea mollis (Poepp. & Endl.) Huber"
"206","Castilla elastica Sessé"
"207","Castilla ulei Warb."
"208","Naucleopsis ulei (Warb.) Ducke"
"209","Naucleopsis krukovii (Standl.) C.C.Berg"
"210","Maquira calophylla (Poepp. & Endl.) C.C.Berg"
"211","Antiaropsis decipiens K.Schum."
"212","Sparattosyce dioica Bureau"
"213","Poulsenia armata (Miq.) Standl."
"214","Mesogyne insignis Engl."
"215","Antiaris toxicaria (Pers.) Lesch."
"216","Pseudolmedia laevigata Trécul"
"217","Pseudolmedia laevis (Ruiz & Pav.) J.F.Macbr."
"218","Pseudolmedia macrophylla Trécul"
"219","Pseudolmedia spuria (Sw.) Griseb."
"220","Perebea humilis C.C.Berg"
"221","Perebea guianensis Aubl."
"222","Perebea angustifolia (Poepp. & Endl.) C.C.Berg"
"223","Naucleopsis ternstroemiiflora (Mildbr.) C.C.Berg"
"224","Naucleopsis caloneura (Huber) Ducke"
"225","Naucleopsis naga Pittier"
"226","Naucleopsis guianensis (Mildbr.) C.C.Berg"
"227","Brosimum guianense (Aubl.) Huber"
"228","Brosimum alicastrum Sw."
"229","Brosimum utile (Kunth) Pittier"
"230","Helianthostylis sprucei Baill."
"231","Brosimum rubescens Taub."
"232","Trymatococcus oligandrus (Benoist) Lanj."
"233","Trymatococcus amazonicus Poepp. & Endl."
"234","Treculia africana Decne."
"235","Treculia obovoidea N.E.Br."
"236","Brosimum lactescens (Moore) C.C.Berg"
"237","Dorstenia choconiana S.Watson"
"238","Dorstenia arifolia Lam."
"239","Dorstenia mannii Hook.fil."
"240","Utsetela neglecta Jongkind"
"241","Sloetia elongata (Miq.) Koord."
"242","Bleekrodea madagascariensis Blume"
"243","Trilepisium madagascariense DC."
"244","Broussonetia papyrifera (L.) Vent."
"245","Malaisia scandens (Lour.) Planch."
"246","Fatoua villosa (Thunb.) Nakai"
"247","Maclura cochinchinensis (Lour.) Corner"
"248","Maclura tricuspidata Carrière"
"249","Maclura pomifera Rob."
"250","Streblus smithii (Cheeseman) Corner"
"251","Sorocea pubivena Hemsl."
"252","Sorocea affinis Hemsl."
"253","Sorocea briquetii J.F.Macbr."
"254","Sorocea bonplandii (Baill.) W.C.Burger, Lanj. & Wess.Boer"
"255","Streblus pendulinus (Endl.) F.Muell."
"256","Streblus glaber (Merr.) Corner"
"257","Milicia excelsa (Welw.) C.C.Berg"
"258","Bagassa guianensis Aubl."
"259","Morus indica L."
"260","Morus nigra L."
"261","Morus alba L."
"262","Trophis racemosa (L.) Urb."
"263","Trophis involucrata W.C.Burger"
"264","Prainea limpato (Miq.) Beumée ex K.Heyne"
"265","Parartocarpus venenosa (Zoll. & Moritzi) Becc."
"266","Artocarpus heterophyllus Lam."
"267","Artocarpus altilis (Parkinson) Fosberg"
"268","Artocarpus lakoocha Roxb."
"269","Clarisia biflora Ruiz & Pav."
"270","Clarisia ilicifolia (Spreng.) Lanj. & Rossberg"
"271","Batocarpus costaricensis Standl. & L.O.Williams"
"272","Batocarpus amazonicus (Ducke) Fosberg"
