"","species_name"
"1","Heliconia pogonantha Cufod."
"2","Heliconia danielsiana W.J.Kress"
"3","Heliconia ramonensis G.S.Daniels & F.G.Stiles"
"4","Heliconia magnifica W.J.Kress"
"5","Heliconia regalis L.Andersson"
"6","Heliconia lutheri W.J.Kress"
"7","Heliconia curtispatha Petersen"
"8","Heliconia L."
"9","Heliconia xanthovillosa W.J.Kress"
"10","Heliconia holmquistiana Abalo & G.Morales"
"11","Heliconia atratensis Abalo & G.Morales"
"12","Heliconia terciopela W.J.Kress & Betancur"
"13","Heliconia stella-maris Abalo & G.Morales"
"14","Heliconia donstonea W.J.Kress & Betancur"
"15","Heliconia nigripraefixa Dodson & A.H.Gentry"
"16","Heliconia rhodantha Abalo & G.Morales"
"17","Heliconia titanum W.J.Kress & Betancur"
"18","Heliconia combinata Abalo & G.Morales"
"19","Heliconia rigida Abalo & G.Morales"
"20","Heliconia longa (Griggs) H.J.P.Winkl."
"21","Heliconia mariae Hook.f."
"22","Heliconia stilesii W.J.Kress"
"23","Heliconia curtispatha Petersen"
"24","Heliconia signa-hispanica Abalo & G.Morales"
"25","Heliconia pastazae L.Andersson"
"26","Heliconia abaloi G.Morales"
"27","Heliconia platystachys Baker"
"28","Heliconia gigantea W.J.Kress & Betancur"
"29","Heliconia griggsiana L.B.Sm."
"30","Heliconia fernandezii Abalo & G.Morales"
"31","Heliconia nariniensis Abalo & G.Morales"
"32","Heliconia fragilis Abalo & G.Morales"
"33","Heliconia harlingii L.Andersson"
"34","Heliconia fredberryana W.J.Kress"
"35","Heliconia mucilagina Abalo & G.Morales"
"36","Heliconia arrecta W.J.Kress & Betancur"
"37","Heliconia spiralis Abalo & G.Morales"
"38","Heliconia paludigena Abalo & G.Morales"
"39","Heliconia peteriana Abalo & G.Morales"
"40","Heliconia vellerigera Poepp."
"41","Heliconia juruana Loes."
"42","Heliconia chartacea Lane ex Barreiros"
"43","Heliconia standleyi J.F.Macbr."
"44","Heliconia subulata Ruiz & Pav."
"45","Heliconia penduloides Loes."
"46","Heliconia marginata (Griggs) Pittier"
"47","Heliconia L."
"48","Heliconia episcopalis Vell."
"49","Heliconia rostrata Ruiz & Pav."
"50","Heliconia L."
"51","Heliconia gloriosa Abalo & G.Morales"
"52","Heliconia lingulata Ruiz & Pav."
"53","Heliconia zebrina Plowman, W.J.Kress & H.Kenn."
"54","Heliconia pseudoaemygdiana Emygdio & E.Santos"
"55","Heliconia aemygdiana Burle-Marx"
"56","Heliconia venusta Abalo & G.Morales"
"57","Heliconia pardoi Abalo & G.Morales"
"58","Heliconia berryi Abalo & G.Morales"
"59","Heliconia cordata L.Andersson"
"60","Heliconia longiflora R.R.Sm."
"61","Heliconia schumanniana Loes."
"62","Heliconia apparicioi Barreiros"
"63","Heliconia orthotricha L.Andersson"
"64","Heliconia stricta Huber"
"65","Heliconia wagneriana Petersen"
"66","Heliconia lennartiana W.J.Kress"
"67","Heliconia aurea G.Rodr."
"68","Heliconia rodriguensis Aristeg."
"69","Heliconia L."
"70","Heliconia bihai J.F.Mill."
"71","Heliconia caribaea Lam."
"72","Heliconia hirsuta L.f."
"73","Heliconia villosa Klotzsch"
"74","Heliconia pendula Wawra"
"75","Heliconia juliani Barreiros"
"76","Heliconia lasiorachis L.Andersson"
"77","Heliconia velutina L.Andersson"
"78","Heliconia calatheaphylla G.S.Daniels & F.G.Stiles"
"79","Heliconia vaginalis Benth."
"80","Heliconia metallica Planch. & Linden ex Hook."
"81","Heliconia osaensis Cufod."
"82","Heliconia mincana Abalo & G.Morales"
"83","Heliconia meridensis Klotzsch"
"84","Heliconia estherae Abalo & G.Morales"
"85","Heliconia maculata W.J.Kress"
"86","Heliconia talamancana G.S.Daniels & F.G.Stiles"
"87","Heliconia colgantea R.R.Sm. ex G.S.Daniels & F.G.Stiles"
"88","Heliconia robertoi Abalo & G.Morales"
"89","Heliconia oleosa Abalo & G.Morales"
"90","Heliconia lozanoi Abalo & G.Morales"
"91","Heliconia reptans Abalo & G.Morales"
"92","Heliconia obscura Dodson & A.H.Gentry"
"93","Heliconia robusta Pax"
"94","Heliconia dielsiana Loes."
"95","Heliconia sclerotricha Abalo & G.Morales"
"96","Heliconia riopalenquensis Dodson & A.H.Gentry"
"97","Heliconia mutisiana Cuatrec."
"98","Heliconia obscuroides L.Andersson"
"99","Heliconia lentiginosa Abalo & G.Morales"
"100","Heliconia badilloi Abalo & G.Morales"
"101","Heliconia necrobracteata W.J.Kress"
"102","Heliconia huilensis Abalo & G.Morales"
"103","Heliconia caquetensis Abalo & G.Morales"
"104","Heliconia estiletioides Abalo & G.Morales"
"105","Heliconia burleana Abalo & G.Morales"
"106","Heliconia impudica Abalo & G.Morales"
"107","Heliconia gilbertiana Abalo & G.Morales"
"108","Heliconia L."
"109","Heliconia aristeguietae Abalo & G.Morales"
"110","Heliconia sanctae-martae L.Andersson"
"111","Heliconia lindsayana W.J.Kress"
"112","Heliconia latispatha Benth."
"113","Heliconia sarapiquensis G.S.Daniels & F.G.Stiles"
"114","Heliconia lutea W.J.Kress"
"115","Heliconia thomasiana W.J.Kress"
"116","Heliconia undulata (G.S.Daniels & F.G.Stiles) L.Andersson"
"117","Heliconia albicosta (G.S.Daniels & F.G.Stiles) L.Andersson"
"118","Heliconia irrasa R.R.Sm."
"119","Heliconia umbrophila G.S.Daniels & F.G.Stiles"
"120","Heliconia spathocircinata Aristeg."
"121","Heliconia L."
"122","Heliconia latispatha Benth."
"123","Heliconia beckneri R.R.Sm."
"124","Heliconia secunda R.R.Sm."
"125","Heliconia nutans Woodson"
"126","Heliconia lankesteri Standl."
"127","Heliconia tortuosa Griggs"
"128","Heliconia darienensis L.Andersson"
"129","Heliconia clinophila R.R.Sm."
"130","Heliconia atropurpurea G.S.Daniels & F.G.Stiles"
"131","Heliconia bella W.J.Kress"
"132","Heliconia reticulata (Griggs) H.J.P.Winkl."
"133","Heliconia rodriguezii F.G.Stiles"
"134","Heliconia gracilis G.S.Daniels & F.G.Stiles"
"135","Heliconia ignescens G.S.Daniels & F.G.Stiles"
"136","Heliconia imbricata (Kuntze) Baker"
"137","Heliconia librata Griggs"
"138","Heliconia bourgaeana Petersen"
"139","Heliconia lophocarpa G.S.Daniels & F.G.Stiles"
"140","Heliconia mooreana R.R.Sm."
"141","Heliconia collinsiana Griggs"
"142","Heliconia crassa Griggs"
"143","Heliconia aurantiaca Ghiesbr. ex Lem."
"144","Heliconia spissa Griggs"
"145","Heliconia adflexa (Griggs) Standl."
"146","Heliconia schiedeana Klotzsch"
"147","Heliconia acuminata A.Rich."
"148","Heliconia brachyantha L.Andersson"
"149","Heliconia tarumaensis Barreiros"
"150","Heliconia timothei L.Andersson"
"151","Heliconia sylvestris (Gleason) L.B.Sm."
"152","Heliconia psittacorum L.f."
"153","Heliconia densiflora Verl."
"154","Heliconia dasyantha K.Koch & C.D.Bouché"
"155","Heliconia richardiana Miq."
"156","Heliconia lourteigiae Emygdio & E.Santos"
"157","Heliconia velloziana Emygdio"
"158","Heliconia farinosa Raddi"
"159","Heliconia kautzkiana Emygdio & E.Santos"
"160","Heliconia laneana Barreiros"
"161","Heliconia angusta Vell."
"162","Heliconia indica Lam."
"163","Heliconia papuana W.J.Kress"
"164","Heliconia lanata (P.S.Green) W.J.Kress"
"165","Heliconia solomonensis W.J.Kress"
"166","Heliconia paka A.C.Sm."
"167","Heliconia laufao W.J.Kress"
"168","Heliconia gaiboriana Abalo & G.Morales"
"169","Heliconia virginalis Abalo & G.Morales"
"170","Heliconia willisiana Abalo & G.Morales"
"171","Heliconia brenneri Abalo & G.Morales"
