"","species_name"
"1","Allantoma decandra (Ducke) S.A.Mori, Ya Y.Huang & Prance"
"2","Allantoma integrifolia (Ducke) S.A.Mori, Ya Y.Huang & Prance"
"3","Allantoma lineata (Mart. ex O.Berg) Miers"
"4","Cariniana domestica (Mart.) Miers"
"5","Cariniana estrellensis (Raddi) Kuntze"
"6","Cariniana ianeirensis R.Knuth"
"7","Couratari macrosperma A.C.Sm."
"8","Couratari stellata A.C.Sm."
"9","Couratari scottmorii Prance"
"10","Bertholletia excelsa Bonpl."
"11","Eschweilera aguilarii S.A.Mori"
"12","Eschweilera sessilis A.C.Sm."
"13","Eschweilera panamensis Pittier"
"14","Eschweilera collinsii Pittier"
"15","Eschweilera jacquelyniae S.A.Mori"
"16","Eschweilera amplexifolia S.A.Mori"
"17","Eschweilera calyculata Pittier"
"18","Eschweilera pachyderma Cuatrec."
"19","Eschweilera antioquensis Dugand & H.Daniel"
"20","Eschweilera sclerophylla Cuatrec."
"21","Eschweilera integrifolia (Ruiz & Pav. ex Miers) R.Knuth"
"22","Eschweilera andina (Rusby) J.F.Macbr."
"23","Eschweilera caudiculata R.Knuth"
"24","Eschweilera rimbachii Standl."
"25","Eschweilera tessmannii R.Knuth"
"26","Eschweilera ovalifolia (DC.) Nied."
"27","Lecythis alutacea (A.C.Sm.) S.A.Mori"
"28","Lecythis chartacea O.Berg"
"29","Lecythis gracieana S.A.Mori"
"30","Lecythis parvifructa S.A.Mori"
"31","Lecythis rorida O.Berg"
"32","Lecythis congestiflora Benoist"
"33","Lecythis simiorum Benoist"
"34","Lecythis holcogyne (Sandwith) S.A.Mori"
"35","Lecythis brancoensis (R.Knuth) S.A.Mori"
"36","Lecythis retusa Spruce ex O.Berg"
"37","Corythophora alta R.Knuth"
"38","Corythophora rimosa W.A.Rodrigues"
"39","Corythophora amapaensis Pires ex S.A.Mori & Prance"
"40","Corythophora labriculata (Eyma) S.A.Mori & Prance"
"41","Eschweilera alata A.C.Sm."
"42","Eschweilera albiflora (DC.) Miers"
"43","Eschweilera grandiflora (Aubl.) Sandwith"
"44","Eschweilera atropetiolata S.A.Mori"
"45","Eschweilera cyathiformis S.A.Mori"
"46","Eschweilera rankiniae S.A.Mori"
"47","Eschweilera chartaceifolia S.A.Mori"
"48","Eschweilera apiculata (Miers) A.C.Sm."
"49","Eschweilera collina Eyma"
"50","Eschweilera coriacea Mart."
"51","Eschweilera parviflora (Aubl.) Miers"
"52","Eschweilera wachenheimii (Benoist) Sandwith"
"53","Eschweilera pseudodecolorans S.A.Mori"
"54","Eschweilera truncata A.C.Sm."
"55","Eschweilera parvifolia Mart. ex DC."
"56","Eschweilera bracteosa (Poepp. ex O.Berg) Miers"
"57","Eschweilera laevicarpa S.A.Mori"
"58","Eschweilera decolorans Sandwith"
"59","Eschweilera subglandulosa (Steud. ex O.Berg) Miers"
"60","Eschweilera micrantha (O.Berg) Miers"
"61","Eschweilera pedicellata (Rich.) S.A.Mori"
"62","Eschweilera sagotiana Miers"
"63","Eschweilera hondurensis Standl."
"64","Eschweilera ovata (Cambess.) Mart. ex Miers"
"65","Eschweilera biflava S.A.Mori"
"66","Eschweilera neei S.A.Mori"
"67","Eschweilera pittieri R.Knuth"
"68","Eschweilera mexicana T.Wendt, S.A.Mori & Prance"
"69","Eschweilera juruensis R.Knuth"
"70","Eschweilera tenuifolia (O.Berg) Miers"
"71","Lecythis confertiflora (A.C.Sm.) S.A.Mori"
"72","Lecythis corrugata Poit."
"73","Lecythis idatimon Aubl."
"74","Lecythis pneumatophora S.A.Mori"
"75","Lecythis persistens Sagot"
"76","Lecythis ampla Miers"
"77","Lecythis zabucajo Aubl."
"78","Lecythis lanceolata Poir."
"79","Lecythis pisonis Cambess."
"80","Eschweilera amazoniciformis S.A.Mori"
"81","Lecythis barnebyi S.A.Mori"
"82","Lecythis poiteaui O.Berg"
"83","Lecythis prancei S.A.Mori"
"84","Lecythis lurida (Miers) S.A.Mori"
"85","Lecythis schwackei (R.Knuth) S.A.Mori"
"86","Lecythis minor Jacq."
"87","Lecythis tuyrana Pittier"
"88","Lecythis ollaria Loefl."
"89","Eschweilera alvimii S.A.Mori"
"90","Eschweilera tetrapetala S.A.Mori"
"91","Eschweilera nana (O.Berg) Miers"
"92","Couratari calycina Sandwith"
"93","Couratari guianensis Aubl."
"94","Couratari oblongifolia Ducke & R.Knuth"
"95","Couratari multiflora (Sm.) Eyma"
"96","Couroupita guianensis Aubl."
"97","Couroupita nicaraguarensis DC."
"98","Couroupita subsessilis Pilg."
"99","Grias cauliflora L."
"100","Grias multinervia Cuatrec."
"101","Grias peruviana Miers"
"102","Gustavia augusta L."
"103","Gustavia macarenensis Philipson"
"104","Gustavia serrata S.A.Mori"
"105","Gustavia speciosa (Kunth) DC."
"106","Gustavia longifolia Poepp. ex O.Berg"
"107","Gustavia monocaulis S.A.Mori"
"108","Gustavia superba (Kunth) O.Berg"
"109","Gustavia dubia (Kunth) O.Berg"
"110","Gustavia hexapetala Hook."
