"","species_name"
"1","Lupinus bangii Rusby"
"2","Lupinus weberbaueri Ulbr."
"3","Lupinus tarapacensis C.P.Sm."
"4","Lupinus piurensis C.P.Sm."
"5","Error in curl::curl_fetch_memory(x$url$url, handle = x$url$handle) : 
  LibreSSL SSL_read: error:1404C42E:SSL routines:ST_OK:tlsv1 alert protocol version, errno 0
"
"6","Lupinus ellsworthianus C.P.Sm."
"7","Lupinus ballianus C.P.Sm."
"8","Lupinus praestabilis C.P.Sm."
"9","Lupinus purosericeus C.P.Sm."
"10","Lupinus prostratus J.Agardh"
"11","Lupinus nubigenus Kunth"
"12","Lupinus huaronensis J.F.Macbr."
"13","Lupinus misticola Ulbr."
"14","Lupinus chrysanthus Ulbr."
"15","Lupinus huigrensis Rose ex C.P.Sm."
"16","Lupinus sarmentosus Desr."
"17","Lupinus pulvinaris Ulbr."
"18","Lupinus ramosissimus Benth."
"19","Lupinus solanagrorum C.P.Sm."
"20","Lupinus mutabilis Sweet"
"21","Lupinus mollendoensis Ulbr."
"22","Lupinus subacaulis Griseb."
"23","Lupinus microphyllus Desr."
"24","Lupinus mantaroensis C.P.Sm."
"25","Lupinus lindleyanus J.Agardh"
"26","Lupinus chachas Ochoa ex C.P.Sm."
"27","Lupinus arvensis Benth."
"28","Lupinus tomentosus DC."
"29","Lupinus semperflorens Hartw. ex Benth."
"30","Lupinus pubescens Benth."
"31","Lupinus bogotensis Benth."
"32","Lupinus montanus Kunth"
"33","Lupinus L."
"34","Lupinus huachucanus M.E.Jones"
"35","Lupinus elegans Kunth"
"36","Lupinus aschenbornii S.Schauer"
"37","Lupinus mexicanus Cerv. ex Lag."
"38","Lupinus nootkatensis Donn ex Sims"
"39","Lupinus arcticus S.Watson"
"40","Lupinus perennis L."
"41","Lupinus leucophyllus Douglas ex Lindl."
"42","Lupinus sulphureus Douglas"
"43","Lupinus andersonii S.Watson"
"44","Lupinus nevadensis A.Heller"
"45","Lupinus polyphyllus Lindl."
"46","Lupinus argenteus Pursh"
"47","Lupinus neomexicanus Greene"
"48","Lupinus L."
"49","Lupinus sericeus Pursh"
"50","Lupinus littoralis Douglas"
"51","Lupinus rivularis Douglas ex Lindl."
"52","Lupinus duranii Eastw."
"53","Lupinus arboreus Sims"
"54","Lupinus chamissonis Eschsch."
"55","Lupinus albicaulis Douglas"
"56","Lupinus lepidus Douglas ex Lindl."
"57","Lupinus tegeticulatus Eastw."
"58","Lupinus cervinus Kellogg"
"59","Lupinus grayi S.Watson"
"60","Lupinus breweri A.Gray"
"61","Lupinus formosus Greene"
"62","Lupinus albifrons Benth."
"63","Lupinus latifolius Lindl. ex J.Agardh"
"64","Lupinus excubitus M.E.Jones"
"65","Lupinus bicolor Lindl."
"66","Lupinus nanus Douglas ex Benth."
"67","Lupinus pachylobus Greene"
"68","Lupinus guadalupensis Greene"
"69","Lupinus stiversii Kellogg"
"70","Lupinus succulentus Douglas ex K.Koch"
"71","Lupinus arizonicus (S.Watson) S.Watson"
"72","Lupinus sparsiflorus Benth."
"73","Lupinus benthamii A.Heller"
"74","Lupinus truncatus Nutt. ex Hook. & Arn."
"75","Lupinus concinnus J.Agardh"
"76","Lupinus citrinus Kellogg"
"77","Lupinus hirsutissimus Benth."
"78","Lupinus luteolus Kellogg"
"79","Lupinus microcarpus Sims"
"80","Lupinus shockleyi S.Watson"
"81","Lupinus odoratus A.Heller"
"82","Lupinus uncialis S.Watson"
"83","Lupinus flavoculatus A.Heller"
"84","Lupinus brevicaulis S.Watson"
"85","Lupinus velutinus Benth."
"86","Lupinus subsessilis Benth."
"87","Lupinus crotalarioides Mart. ex Benth."
"88","Lupinus parvifolius Gardner"
"89","Lupinus guaraniticus (Hassl.) C.P.Sm."
"90","Lupinus paraguariensis Chodat & Hassl."
"91","Lupinus albescens Hook. & Arn."
"92","Lupinus aureonitens Gillies ex Hook. & Arn."
"93","Lupinus multiflorus Desr."
"94","Lupinus lanatus Benth."
"95","Lupinus magnistipulatus Planchuelo & D.B.Dunn"
"96","Lupinus reitzii Burkart ex M.Pinheiro & Miotto"
"97","Lupinus rubriflorus Planchuelo"
"98","Lupinus paranensis C.P.Sm."
"99","Lupinus uleanus C.P.Sm."
"100","Lupinus gibertianus C.P.Sm."
"101","Lupinus bandelierae C.P.Sm."
"102","Lupinus bracteolaris Desr."
"103","Lupinus linearis Desr."
"104","Lupinus texensis Hook."
"105","Lupinus havardii S.Watson"
"106","Lupinus digitatus Forssk."
"107","Lupinus palaestinus Boiss."
"108","Lupinus anatolicus W.Swiecicki & W.K.Swiecicki"
"109","Lupinus pilosus L."
"110","Lupinus cosentinii Guss."
"111","Lupinus princei Harms"
"112","Lupinus atlanticus Gladst."
"113","Lupinus albus L."
"114","Lupinus luteus L."
"115","Lupinus hispanicus Boiss. & Reut."
"116","Lupinus angustifolius L."
"117","Lupinus micranthus Guss."
"118","Lupinus cumulicola Small"
"119","Lupinus villosus Willd."
"120","Lupinus diffusus Nutt."
