"","species_name"
"1","Lysimachia maxima (R.Knuth) H.St.John"
"2","Lysimachia remyi Hillebr."
"3","Lysimachia filifolia C.N.Forbes & Lydgate"
"4","Lysimachia L."
"5","Lysimachia waianaeensis H.St.John"
"6","Lysimachia ovoidea H.St.John"
"7","Lysimachia daphnoides (A.Gray) Hillebr."
"8","Lysimachia iniki K.L.Marr"
"9","Lysimachia pendens K.L.Marr"
"10","Lysimachia glutinosa Rock"
"11","Lysimachia kalalauensis Skottsb."
"12","Lysimachia scopulensis K.L.Marr"
"13","Lysimachia clethroides Duby"
"14","Lysimachia fortunei Maxim."
"15","Lysimachia barystachys Bunge"
"16","Lysimachia chikungensis L.H.Bailey"
"17","Lysimachia candida Lindl."
"18","Lysimachia chenopodioides Watt"
"19","Lysimachia pumila Poepp. ex Knuth"
"20","Lysimachia lobelioides Wall."
"21","Lysimachia lichiangensis Forrest"
"22","Lysimachia taliensis Bonati"
"23","Lysimachia decurrens G.Forst."
"24","Lysimachia silvestrii (Pamp.) Hand.-Mazz."
"25","Lysimachia auriculata Hemsl."
"26","Lysimachia circaeoides Hemsl."
"27","Lysimachia glanduliflora Hanelt"
"28","Lysimachia stenosepala Hemsl."
"29","Lysimachia L."
"30","Lysimachia ruhmeriana Vatke"
"31","Lysimachia ephemerum Thunb."
"32","Lysimachia heterogenea Hemsl."
"33","Lysimachia mauritiana Lam."
"34","Lysimachia pentapetala Bunge"
"35","Lysimachia crispidens (Hance) Hemsl."
"36","Lysimachia erosipetala F.H.Chen & C.M.Hu"
"37","Lysimachia omeiensis Hemsl."
"38","Lysimachia hemsleyi Franch."
"39","Lysimachia L."
"40","Lysimachia nanchuanensis C.Y.Wu"
"41","Lysimachia rubiginosa Hemsl."
"42","Lysimachia fistulosa Hand.-Mazz."
"43","Lysimachia phyllocephala Hand.-Mazz."
"44","Lysimachia punctatilimba C.Y.Wu"
"45","Lysimachia melampyroides R.Knuth"
"46","Lysimachia deltoidea Wight"
"47","Lysimachia chekiangensis C.C.Wu"
"48","Lysimachia hemsleyana Maxim. ex Oliv."
"49","Lysimachia pseudohenryi Pamp."
"50","Lysimachia perfoliata Hand.-Mazz."
"51","Lysimachia japonica Thunb."
"52","Lysimachia grammica Hance"
"53","Lysimachia christinae Hance"
"54","Lysimachia congestiflora Hemsl."
"55","Lysimachia drymarifolia Franch."
"56","Lysimachia fordiana Oliv."
"57","Lysimachia paridiformis Franch."
"58","Lysimachia dextrorsiflora X.P.Zhang, X.H.Guo & J.W.Shao"
"59","Lysimachia alfredii Hance"
"60","Lysimachia patungensis Hand.-Mazz."
"61","Lysimachia klattiana Hance"
"62","Lysimachia longipes Hemsl."
"63","Glaux maritima L."
"64","Lysimachia quadrifolia L."
"65","Lysimachia terrestris (L.) Britton, Sterns & Poggenb."
"66","Lysimachia thyrsiflora L."
"67","Lysimachia davurica Ledeb."
"68","Lysimachia vulgaris L."
"69","Lysimachia nummularia L."
"70","Lysimachia punctata L."
"71","Lysimachia microcarpa Hand.-Mazz. ex C.Y.Wu"
"72","Lysimachia pittosporoides C.Y.Wu"
"73","Lysimachia vittiformis F.H.Chen & C.M.Hu"
"74","Lysimachia confertifolia C.Y.Wu"
"75","Lysimachia petelotii Merr."
"76","Lysimachia millietii (H.Lév.) Hand.-Mazz."
"77","Lysimachia foenum-graecum Hance"
"78","Lysimachia trichopoda Franch."
"79","Lysimachia capillipes Hemsl."
"80","Lysimachia insignis Hemsl."
"81","Lysimachia chapaensis Merr."
"82","Lysimachia nutantiflora F.H.Chen & C.M.Hu"
"83","Lysimachia gesnerioides Y.M.Shui & M.D.Zhang"
"84","Lysimachia heterobotrys F.H.Chen & C.M.Hu"
"85","Lysimachia engleri R.Knuth"
"86","Lysimachia lancifolia Craib"
"87","Lysimachia laxa Baudo"
"88","Lysimachia peduncularis Wall. ex Kurz"
"89","Lysimachia verbascifolia C.M.Hu & P.K.Lôc"
"90","Lysimachia alpestris Champ. ex Benth."
"91","Lysimachia nemorum L."
"92","Lysimachia serpyllifolia Schreb."
"93","Asterolinon adoense Kunze"
"94","Anagallis arvensis L."
"95","Anagallis monelli M.Bieb."
"96","Asterolinon linum-stellatum (L.) Duby"
"97","Pelletiera wildpretii Valdés"
"98","Pelletiera verna A.St.-Hil."
"99","Anagallis acuminata Welw. ex Schinz"
"100","Anagallis rhodesica R.E.Fr."
"101","Anagallis pumila Sw."
"102","Anagallis kochii H.E.Hess"
"103","Anagallis rubricaulis Bojer ex Duby"
"104","Anagallis tenuicaulis Baker"
"105","Anagallis djalonis A.Chev."
"106","Anagallis nummularifolia Baker"
"107","Anagallis kingaensis Engl."
"108","Anagallis oligantha P.Taylor"
"109","Anagallis hexamera P.Taylor"
"110","Anagallis angustiloba (Engl.) Engl."
"111","Anagallis serpens Hochst. ex A.DC."
"112","Anagallis huttonii Harv."
"113","Anagallis crassifolia Thore"
"114","Anagallis tenella (L.) L."
"115","Anagallis alternifolia Cav."
"116","Anagallis filiformis Cham. & Schltdl."
"117","Anagallis minima (L.) E.H.L.Krause"
"118","Lysimachia hybrida Michx."
"119","Lysimachia radicans Hook."
"120","Lysimachia quadriflora Sims"
"121","Lysimachia ciliata L."
"122","Lysimachia lanceolata Walter"
"123","Lysimachia andina Sandwith"
"124","Lysimachia mexicana Knuth"
"125","Trientalis borealis Raf."
"126","Trientalis europaea L."
