"","species_name"
"1","Miconia brevitheca Gleason"
"2","Miconia diegogomezii Kriebel & Almeda"
"3","Miconia resima Naudin"
"4","Miconia pichinchensis Benth."
"5","Miconia theizans (Bonpl.) Cogn."
"6","Ossaea hirtella (Sw.) Wright"
"7","Miconia complanata Jan.M.Burke, Michelang. & D.Fernández"
"8","Miconia manicata Cogn. & Gleason"
"9","Clidemia caudata Wurdack"
"10","Miconia silverstonei Wurdack"
"11","Clidemia clandestina Almeda"
"12","Clidemia utleyana Almeda"
"13","Miconia haughtii (Gleason) Wurdack"
"14","Miconia hymenanthera Triana"
"15","Miconia popayanensis Wurdack"
"16","Miconia mazatecana de Santiago"
"17","Miconia cuprea Wurdack"
"18","Miconia dumetosa Cogn."
"19","Miconia paradisica Wurdack"
"20","Miconia penningtonii Wurdack"
"21","Miconia villonacensis Wurdack"
"22","Miconia caelata (Bonpl.) DC."
"23","Miconia ledifolia (DC.) Naudin"
"24","Miconia stenophylla Wurdack"
"25","Miconia terera Naudin"
"26","Miconia roraimensis Ule"
"27","Miconia rufiramea Wurdack"
"28","Miconia cardenasiae Jan.M.Burke & Michelang."
"29","Miconia polychaeta Wurdack"
"30","Miconia polygama Cogn. ex Britton"
"31","Miconia cyanocarpa Naudin"
"32","Miconia boliviensis Cogn."
"33","Miconia vitiflora J.F.Macbr."
"34","Miconia neei Jan.M.Burke & Michelang."
"35","Miconia demissifolia Wurdack"
"36","Miconia peruviana Cogn."
"37","Miconia crassistigma Cogn."
"38","Miconia hookeriana Triana"
"39","Miconia micropetala Cogn."
"40","Miconia rugifolia Triana"
"41","Miconia brachyanthera Triana"
"42","Miconia sanguinea (D.Don) Triana"
"43","Miconia caerulea (D.Don) Pav."
"44","Miconia dioica Wurdack"
"45","Miconia lilacina Triana"
"46","Miconia farfanii Jan.M.Burke & Michelang."
"47","Miconia hygrophila Naudin"
"48","Miconia loxensis (Bonpl.) DC."
"49","Miconia cremophylla Naudin"
"50","Miconia jorgensenii Wurdack"
"51","Miconia carnea Cogn."
"52","Miconia melanotricha (Triana) Gleason"
"53","Miconia cremadena Gleason"
"54","Miconia cuspidatissima Pittier"
"55","Miconia amplinodis Umaña & Almeda"
"56","Miconia oligotricha (DC.) Naudin"
"57","Miconia crocata Almeda"
"58","Miconia tetrastoma Naudin"
"59","Miconia dissita Almeda"
"60","Miconia schnellii Wurdack"
"61","Miconia biperulifera Cogn."
"62","Miconia pittieri Cogn."
"63","Miconia concinna Almeda"
"64","Miconia longibracteata Almeda"
"65","Miconia tonduzii Cogn."
"66","Miconia tamana Wurdack"
"67","Miconia hemenostigma Naudin"
"68","Miconia portogallensis J.R.Santiago & F.A.Michelang."
"69","Miconia rubens (Sw.) Naudin"
"70","Miconia tabayensis Wurdack"
"71","Miconia amilcariana Almeda & Dorr"
"72","Miconia resimoides Cogn."
"73","Miconia bilopezii Wurdack"
