"","species_name"
"1","Guarea grandifolia DC."
"2","Guarea fissicalyx Harms"
"3","Guarea guidonia (L.) Sleumer"
"4","Guarea purusana C.DC."
"5","Guarea pyriformis T.D.Penn."
"6","Guarea persistens W.Palacios"
"7","Guarea gomma Pulle"
"8","Guarea riparia W.Palacios"
"9","Guarea fistulosa W.Palacios"
"10","Guarea ecuadoriensis W.Palacios"
"11","Guarea sprucei C.DC."
"12","Guarea velutina A.Juss."
"13","Guarea costata A.Juss."
"14","Guarea cristata T.D.Penn."
"15","Guarea carinata Ducke"
"16","Guarea blanchetii C.DC."
"17","Guarea gracilis T.D.Penn."
"18","Guarea pubescens (H.Karst.) Pittier"
"19","Guarea carapoides Harms"
"20","Guarea L."
"21","Guarea L."
"22","Guarea macrocalyx Al.Rodr."
"23","Guarea subandina W.Palacios"
"24","Guarea cinnamomea Harms"
"25","Guarea pendula R.S.Ramalho, A.L.Pinheiro & T.D.Penn."
"26","Guarea zepivae T.D.Penn."
"27","Guarea guentheri Harms"
"28","Guarea macrophylla M.Vahl"
"29","Guarea caulobotrys Cuatrec."
"30","Guarea pterorhachis Harms"
"31","Guarea anomala T.D.Penn."
"32","Guarea bullata Radlk."
"33","Guarea tonduzii C.DC."
"34","Guarea chiricana Standl."
"35","Guarea gentryi Coronado"
"36","Guarea bijuga C.DC."
"37","Guarea luxii C.DC. ex Donn.Sm."
"38","Guarea glabra Vahl"
"39","Guarea silvatica C.DC."
"40","Guarea kunthiana A.Juss."
"41","Guarea jamaicensis Proctor"
"42","Ruagea tomentosa Cuatrec."
"43","Ruagea pubescens H.Karst."
"44","Ruagea insignis (C.DC.) T.D.Penn."
"45","Heckeldora leptotricha (Harms) J.J.deWilde"
"46","Heckeldora zenkeri (Harms) Staner"
"47","Heckeldora trifoliolata J.J.De Wild."
"48","Heckeldora staudtii (Harms) Staner"
"49","Heckeldora ledermannii (Harms) J.J.deWilde"
"50","Heckeldora jongkindii J.J.De Wild."
"51","Heckeldora leonensis (Hutch. & Dalziel) E.J.M.Koenen"
"52","Leplaea mangenotiana (Aké Assi & Lorougnon) E.J.M.Koenen & J.J.De Wild."
"53","Leplaea adenopunctata E.J.M.Koenen & J.J.De Wild."
"54","Leplaea laurentii (De Wild.) E.J.M.Koenen & J.J.De Wild."
"55","Leplaea thompsonii (Sprague & Hutch.) E.J.M.Koenen & J.J.De Wild."
"56","Leplaea mayombensis (Pellegr.) Staner"
