"","species_name"
"1","Pentaclethra macroloba (Willd.) Kuntze"
"2","Pentaclethra macrophylla Benth."
"3","Tetrapleura tetraptera (Schumach. & Thonn.) Taub."
"4","Adenanthera pavonina L."
"5","Amblygonocarpus andongensis (Welw. ex Oliv.) Exell & Torre"
"6","Pseudoprosopis sericea (Hutch. & Dalziel) Brenan"
"7","Pseudoprosopis euryphylla Harms"
"8","Pseudoprosopis gilletii (De Wild.) Villiers"
"9","Xylia evansii Hutch."
"10","Calpocalyx dinklagei Harms"
"11","Xylia torreana Brenan"
"12","Xylia hoffmannii (Vatke) Drake"
"13","Sympetalandra schmutzii Steenis"
"14","Sympetalandra unijuga (Airy Shaw) Steenis"
"15","Chidlowia sanguinea Hoyle"
"16","Aubrevillea kerstingii (Harms) Pellegr."
"17","Piptadeniastrum africanum (Hook.f.) Brenan"
"18","Entada pervillei (Vatke) R.Vig."
"19","Entada rheedei Spreng."
"20","Entada polystachya (L.) DC."
"21","Entada tuberosa R.Vig."
"22","Entada africana Guill. & Perr."
"23","Entada arenaria Schinz"
"24","Entada burkei (S.A.O'Donnell & G.P.Lewis, 2022) S.A.O'Donnell & G.P.Lewis, 2022"
"25","Entada elephantina (O'Donnell, Ringelberg & Lewis, 2022) S.A.O'Donnell & G.P.Lewis, 2022"
"26","Anonychium africanum (C.E.Hughes & G.P.Lewis, 2022) C.E.Hughes & G.P.Lewis, 2022"
"27","Plathymenia reticulata Benth."
"28","Fillaeopsis discophora Harms"
"29","Newtonia hildebrandtii (Vatke) Torre"
"30","Cylicodiscus gabunensis Harms"
"31","Indopiptadenia oudhensis (Brandis) Brenan"
"32","Prosopis farcta (Banks & Sol.) J.F.Macbr."
"33","Prosopis cineraria (L.) Druce"
"34","Xerocladia viridiramis (Burch.) Taub."
"35","Strombocarpa ferox (C.E.Hughes & G.P.Lewis, 2022) C.E.Hughes & G.P.Lewis, 2022"
"36","Strombocarpa strombulifera (Lam.) A.Gray"
"37","Neltuma argentina (C.E.Hughes & G.P.Lewis, 2022) C.E.Hughes & G.P.Lewis, 2022"
"38","Neltuma kuntzei (C.E.Hughes & G.P.Lewis, 2022) C.E.Hughes & G.P.Lewis, 2022"
"39","Neltuma juliflora (Sw.) Raf."
"40","Neltuma laevigata (Humb. & Bonpl. ex Willd.) Britton & Rose"
"41","Neltuma ruscifolia (Hughes, Ringelberg, Lewis & Catalano, 2022) C.E.Hughes & G.P.Lewis, 2022"
"42","Neptunia oleracea Lour."
"43","Lemurodendron capuronii Villiers & P.Guinet"
"44","Mezcala balsensis"
"45","Schleinitzia megaladenia (Merr.) P.Guinet & I.C.Nielsen"
"46","Schleinitzia novoguineensis (Warb.) Verdc."
"47","Schleinitzia insularum (Guill.) Burkart"
"48","Desmanthus virgatus (L.) Willd."
"49","Desmanthus acuminatus Benth."
"50","Desmanthus illinoensis (Michx.) MacMill."
"51","Desmanthus leptophyllus Kunth"
"52","Kanaloa kahoolawensis Lorence & K.R.Wood"
"53","Leucaena salvadorensis Standl. ex Britton & Rose"
"54","Leucaena lempirana C.E.Hughes"
"55","Leucaena multicapitula Schery"
"56","Leucaena zacapana (C.E.Hughes) R.Govind. & C.E.Hughes"
"57","Leucaena collinsii Britton & Rose"
"58","Leucaena shannonii Donn.Sm."
"59","Leucaena trichandra (Zucc.) Urb."
"60","Leucaena magnifica (C.E.Hughes) C.E.Hughes"
"61","Leucaena lanceolata var. lanceolata"
