"","species_name"
"1","Myrtastrum rufopunctatum (Pancher ex Brongn. & Gris) Burret"
"2","Neomyrtus pedunculata (Hook.fil.) Allan"
"3","Archirhodomyrtus beckleri (F.Muell.) A.J.Scott"
"4","Archirhodomyrtus turbinata (Schltr.) Burret"
"5","Pilidiostigma glabrum Burret"
"6","Pilidiostigma tropicum L.S.Sm."
"7","Kanakomyrtus dawsoniana N.Snow"
"8","Myrtella beccarii F.Muell."
"9","Rhodomyrtus tomentosa (Aiton) Hassk."
"10","Octamyrtus pleiopetala Diels"
"11","Rhodomyrtus psidioides (G.Don) Benth."
"12","Decaspermum fruticosum J.R.Forst. & G.Forst."
"13","Decaspermum vitis-idaea Stapf"
"14","Decaspermum humile (G.Don) A.J.Scott"
"15","Rhodamnia argentea Benth."
"16","Rhodamnia cinerea Jack"
"17","Rhodamnia rubescens (Benth.) Miq."
"18","Austromyrtus dulcis (C.T.White) L.S.Sm."
"19","Gossia clusioides (Brongn. & Gris) N.Snow"
"20","Gossia hillii (Benth.) N.Snow & Guymer"
"21","Gossia inophloia (J.F.Bailey & C.T.White) N.Snow & Guymer"
"22","Uromyrtus australis A.J.Scott"
"23","Uromyrtus neomyrtoides Burret"
"24","Uromyrtus emarginatus (Pancher ex Brongn. & Gris) Burret"
"25","Uromyrtus metrosideros (F.M.Bailey) A.J.Scott"
"26","Acca lanuginosa (Ruiz & Pav. ex G.Don) McVaugh"
"27","Acca macrostema (Ruiz & Pav. ex G.Don) McVaugh"
"28","Myrrhinium atropurpureum Schott"
"29","Psidium acidum Mart. ex O.Berg"
"30","Psidium L."
"31","Psidium friedrichsthalianum (O.Berg) Nied."
"32","Psidium kennedyanum Morong"
"33","Psidium guajava L."
"34","Psidium australe var. argenteum (O.Berg) Landrum"
"35","Psidium australe var. suffruticosum (O.Berg) Landrum"
"36","Psidium grandifolium Mart. ex DC."
"37","Psidium australe var. argenteum (O.Berg) Landrum"
"38","Psidium australe Cambess."
"39","Psidium guineense Sw."
"40","Psidium striatulum DC."
"41","Psidium ratterianum Proença & Soares-Silva"
"42","Psidium acranthum Urb."
"43","Psidium harrisianum Urb."
"44","Psidium amplexicaule Pers."
"45","Psidium sessilifolium Alain"
"46","Psidium parvifolium (Griseb.) Griseb."
"47","Psidium rotundatum Griseb."
"48","Psidium L."
"49","Psidium appendiculatum Kiaersk."
"50","Psidium schenckianum Kiaersk."
"51","Psidium sartorianum (O.Berg) Nied."
"52","Psidium glaziovianum Kiaersk."
"53","Psidium salutare var. salutare"
"54","Psidium myrsinites DC."
"55","Psidium oligospermum Mart. ex DC."
"56","Psidium sartorianum (O.Berg) Nied."
"57","Psidium galapageium Hook.f., 1847"
"58","Psidium brownianum Mart. ex DC."
"59","Psidium araucanum Soares-Silva & Proença"
"60","Psidium cattleianum Afzel. ex Sabine"
"61","Psidium rhombeum O.Berg"
"62","Psidium cattleianum Afzel. ex Sabine"
"63","Psidium cattleianum Afzel. ex Sabine"
"64","Psidium cattleianum Afzel. ex Sabine"
"65","Psidium minutiflorum Amshoff"
"66","Psidium cattleianum Afzel. ex Sabine"
"67","Psidium cattleianum Afzel. ex Sabine"
"68","Psidium riparium Mart. ex DC."
"69","Psidium basanthum O.Berg"
"70","Psidium L."
"71","Psidium dictyophyllum Urb. & Ekman"
"72","Psidium ovale (Spreng.) Burret"
"73","Psidium bergianum (Nied.) Burret"
"74","Psidium bergianum (Nied.) Burret"
"75","Psidium laruotteanum Cambess."
"76","Psidium bergianum (Nied.) Burret"
"77","Psidium grazielae Tuler & M.C.Souza"
"78","Psidium laruotteanum Cambess."
"79","Psidium canum Mattos"
"80","Psidium robustum O.Berg"
"81","Psidium myrtoides O.Berg"
"82","Psidium rufum Mart. ex DC."
"83","Psidium rufum Mart. ex DC."
"84","Psidium widgrenianum O.Berg"
"85","Psidium corynanthum (Kiaersk.) Burret"
"86","Psidium laruotteanum Cambess."
"87","Psidium mucronatum (Cambess.) Burret"
"88","Psidium salutare var. mucronatum (Cambess.) Landrum"
"89","Psidium myrtoides O.Berg"
"90","Psidium cauliflorum Landrum & Sobral"
"91","Psidium oblongatum O.Berg"
"92","Psidium cauliflorum Landrum & Sobral"
"93","Psidium cupreum O.Berg"
"94","Psidium firmum O.Berg"
"95","Psidium ganevii Landrum & Funch"
"96","Psidium macahense O.Berg"
"97","Psidium corynanthum (Kiaersk.) Burret"
"98","Psidium rotundidiscum Proença & Tuler"
"99","Psidium corynanthum (Kiaersk.) Burret"
"100","Psidium sessiliflorum (Landrum) Proença & Tuler"
"101","Mosiera cabanasensis (Britton & P.Wilson) Borhidi"
"102","Mosiera oonophylla (Urb.) Bisse"
"103","Mosiera contrerasii (Lundell) Landrum"
"104","Mosiera ehrenbergii (O.Berg) Landrum"
"105","Mosiera elliptica subsp. insularis Bisse"
"106","Mosiera ophiticola (Britton & P.Wilson) Bisse"
"107","Mosiera havanensis (Urb.) Bisse"
"108","Mosiera wrightii (Krug & Urb.) Borhidi"
"109","Mosiera longipes (O.Berg) Small"
"110","Mosiera cuspidata (Alain) Salywon"
"111","Mosiera xerophytica (Britton) Salywon"
"112","Mosiera gracilipes (Alain) Salywon"
"113","Mosiera yamaniguensis Bisse ex Urquiola & Z.Acosta"
"114","Amomyrtella guili (Speg.) Kausel"
"115","Campomanesia adamantium (Cambess.) O.Berg"
"116","Campomanesia aromatica (Aubl.) Grisebach"
"117","Campomanesia pubescens (DC.) O.Berg"
"118","Campomanesia costata M.Ibrahim & Landrum"
"119","Campomanesia adamantium (Cambess.) O.Berg"
"120","Campomanesia reitziana D.Legrand"
"121","Campomanesia xanthocarpa (Mart.) O.Berg"
"122","Campomanesia rhombea O.Berg"
"123","Campomanesia velutina (Cambess.) O.Berg"
"124","Campomanesia dichotoma (O.Berg) Mattos"
"125","Campomanesia guaviroba (DC.) Kiaersk."
"126","Campomanesia neriiflora (O.Berg) Nied."
"127","Campomanesia cavalcantina Soares-Silva & Proença"
"128","Campomanesia eugenioides var. eugenioides"
"129","Campomanesia eugenioides var. desertorum (Mart. ex DC.) Landrum"
"130","Campomanesia guazumifolia (Cambess.) O.Berg"
"131","Campomanesia ilhoensis Mattos"
"132","Campomanesia laurifolia Gardner"
"133","Curitiba prismatica (D.Legrand) Salywon & Landrum"
"134","Feijoa sellowiana (O.Berg) O.Berg"
"135","Pimenta berciliae T.N.C.Vasconc. & Peguero"
"136","Pimenta yumana (Alain) T.N.C.Vasconc."
"137","Pimenta racemosa var. ozua (Urb. & Ekman) Landrum"
"138","Pimenta haitiensis (Urb.) Landrum"
"139","Pimenta paganii (Krug & Urb.) Flickinger"
"140","Pimenta racemosa var. grisea (Kiaersk.) Fosberg"
"141","Pimenta racemosa var. racemosa"
"142","Pimenta racemosa (Mill.) J.W.Moore"
"143","Pimenta dioica (L.) Merr."
"144","Pimenta filipes (Urb.) Burret"
"145","Pimenta podocarpoides (Areces) Landrum"
"146","Pimenta pseudocaryophyllus (Gomes) Landrum"
"147","Amomyrtus luma (Molina) D.Legrand & Kausel"
"148","Amomyrtus meli (Phil.) D.Legrand & Kausel"
"149","Legrandia concinna (Phil.) Kausel"
"150","Lenwebbia lasioclada (F.Muell.) N.Snow & Guymer"
"151","Lenwebbia prominens N.Snow & Guymer"
"152","Lophomyrtus bullata (Sol. ex A.Cunn.) Burret"
"153","Lophomyrtus obcordata (Raoul) Burret"
"154","Lenwebbia prominens N.Snow & Guymer"
"155","Myrteola nummularia (Poir.) O.Berg"
"156","Ugni candollei (Barnéoud) O.Berg"
"157","Ugni molinae Turcz."
"158","Ugni myricoides (Kunth) O.Berg"
"159","Ugni selkirkii (Hook. & Arn.) O.Berg"
"160","Eugenia abunan M.A.D.Souza & Sobral"
"161","Eugenia moschata (Aubl.) Nied. ex T.Durand & B.D.Jacks."
"162","Eugenia fasciculiflora O.Berg"
"163","Eugenia pisonis O.Berg"
"164","Eugenia L."
"165","Eugenia joseramosii M.A.D.Souza & Scud."
"166","Eugenia kerianthera M.A.D.Souza"
"167","Eugenia spruceana O.Berg"
"168","Eugenia L."
"169","Eugenia aurata O.Berg"
