"","species_name"
"1","Paepalanthus celsus Tissot-Sq."
"2","Paepalanthus planifolius (Bong.) Körn."
"3","Paepalanthus crassicaulis Körn."
"4","Paepalanthus paramensis Moldenke"
"5","Paepalanthus alpinus Körn."
"6","Paepalanthus costaricensis Moldenke ex Standl."
"7","Paepalanthus schlimii Körn."
"8","Paepalanthus andicola Körn."
"9","Paepalanthus petraeus Körn."
"10","Paepalanthus longivaginatus Tissot-Sq."
"11","Paepalanthus trichopetalus Körn."
"12","Paepalanthus meridensis Klotzsch ex Körn."
"13","Paepalanthus ensifolius (Kunth) Kunth"
"14","Paepalanthus crinitus Tissot-Sq."
"15","Paepalanthus villosulus Mart. ex Körn."
"16","Paepalanthus macropodus Ruhland"
"17","Paepalanthus alpestris (Körn.) Tissot-Sq."
"18","Paepalanthus spixianus Mart."
"19","Paepalanthus vellozioides Körn."
"20","Paepalanthus globulifer Silveira"
"21","Paepalanthus tuberosus (Bong.) Kunth"
"22","Paepalanthus melaleucus (Bong.) Kunth"
"23","Paepalanthus lindenii Ruhland"
"24","Paepalanthus moedensis Silveira"
"25","Paepalanthus hydra Ruhland"
"26","Paepalanthus latipes Silveira"
"27","Paepalanthus bromelioides Silveira"
"28","Paepalanthus canastrensis Silveira"
"29","Paepalanthus albovaginatus Silveira"
"30","Paepalanthus itatiaiensis Ruhland"
"31","Paepalanthus argenteus (Bong.) Körn."
"32","Paepalanthus latifolius Körn."
"33","Paepalanthus chrysolepis Silveira"
"34","Paepalanthus calvulus (Ruhland) Hensold"
"35","Paepalanthus nigrescens Silveira"
"36","Paepalanthus complanatus Silveira"
"37","Paepalanthus comans Silveira"
"38","Paepalanthus superbus Ruhland"
"39","Paepalanthus mollis var. itambeensis Hensold"
"40","Paepalanthus plumosus (Bong.) Körn."
"41","Paepalanthus augustus Silveira"
"42","Paepalanthus digitiformis Hensold"
"43","Paepalanthus eriophaeus Ruhland"
"44","Paepalanthus diamantinensis Moldenke"
"45","Paepalanthus serpens Echtern. & Trovó"
"46","Paepalanthus mendoncianus Ruhland"
"47","Paepalanthus glaziovii Ruhland"
"48","Paepalanthus bonsai Trovó & Sano"
"49","Paepalanthus polygonus Körn."
"50","Paepalanthus maculatus Silveira"
"51","Paepalanthus pubescens Körn."
"52","Paepalanthus subfalcatus Ruhland"
"53","Paepalanthus subfalcatus var. villosus Moldenke"
"54","Paepalanthus praemorsus Ruhland"
"55","Paepalanthus canescens (Bong.) Körn."
"56","Paepalanthus flavorutilus Ruhland"
"57","Paepalanthus baraunensis Silveira"
"58","Paepalanthus obconicus Silveira"
"59","Paepalanthus falcatus (Bong.) Körn."
"60","Paepalanthus brevicaulis Silveira"
"61","Paepalanthus implicatus Silveira"
"62","Paepalanthus diplobetor Ruhland"
"63","Paepalanthus fasciculifer Silveira"
"64","Paepalanthus orthogonalis Silveira"
"65","Paepalanthus dasynema Ruhland"
"66","Paepalanthus aretioides Ruhland"
"67","Paepalanthus viridipes Silveira"
"68","Paepalanthus microphyllus (Guill.) Kunth"
"69","Paepalanthus reflexus Silveira"
"70","Paepalanthus scirpeus Mart. ex Körn."
"71","Paepalanthus bryoides (Riedel ex Bong.) Kunth"
"72","Paepalanthus leucoblepharus Körn."
"73","Paepalanthus ciliolatus Ruhland"
"74","Paepalanthus freyreissii (Thunb.) Körn."
"75","Paepalanthus calvus Körn."
"76","Paepalanthus caparoensis Ruhland"
"77","Paepalanthus acantholimon Ruhland"
"78","Paepalanthus glabrifolius Ruhland"
"79","Paepalanthus ovatus Körn."
"80","Paepalanthus acuminatus Ruhland"
"81","Paepalanthus silveirae Ruhland"
"82","Paepalanthus harmsii Ruhland"
"83","Paepalanthus macaheensis Körn."
"84","Paepalanthus prostratus Körn."
"85","Paepalanthus rupestris Gardner"
"86","Paepalanthus montanus Silveira"
"87","Paepalanthus itambeensis Silveira"
"88","Paepalanthus argyrotrychus F.N.Costa, Andrino & Echtern."
"89","Paepalanthus xanthopus Silveira"
"90","Paepalanthus velutiphyllus F.N.Costa, Andrino & Sano"
"91","Paepalanthus farinaceus F.N.Costa, Andrino & Trovó"
"92","Paepalanthus albiceps Silveira"
"93","Paepalanthus chrysophorus Silveira"
"94","Paepalanthus multistellaris Andrino & Sano"
"95","Paepalanthus viridulus Ruhland"
"96","Paepalanthus capillifolius Moldenke"
"97","Paepalanthus macrocaulon var. contasensis Moldenke"
"98","Paepalanthus macrocaulon Silveira"
"99","Paepalanthus neglectus Körn."
"100","Paepalanthus spathulatus Körn."
"101","Paepalanthus macrocaulon var. kingii Moldenke"
"102","Paepalanthus contasensis Moldenke"
"103","Paepalanthus regelianus Körn."
"104","Paepalanthus regalis Mart. ex Körn."
"105","Paepalanthus barbulatus Herzog"
"106","Paepalanthus serrinhensis Silveira"
"107","Paepalanthus cinereus Giul. & L.R.Parra"
"108","Paepalanthus pulvinatus N.E.Br."
"109","Paepalanthus klotzschianus Körn."
"110","Paepalanthus pulchellus Herzog"
"111","Paepalanthus erigeron Mart. ex Körn."
"112","Paepalanthus carvalhoi Giul. & E.B.Miranda"
"113","Paepalanthus oblongifolius Giul. & E.B.Miranda"
"114","Paepalanthus bifidus (Schrad. ex Schult.) Kunth"
"115","Paepalanthus subtilis Miq."
"116","Paepalanthus jahnii Ruhland"
"117","Paepalanthus polytrichoides Kunth"
"118","Paepalanthus sessiliflorus (Mart.) Mart. ex Körn."
"119","Paepalanthus fasciculatus (Rottb.) Kunth"
"120","Paepalanthus fulgidus Moldenke"
"121","Paepalanthus fraternus N.E.Br."
"122","Paepalanthus subcaulescens N.E.Br."
"123","Paepalanthus stegolepoides Moldenke"
"124","Paepalanthus schomburgkii Klotzsch ex Körn."
