"","species_name"
"1","Primula muscarioides Hemsl."
"2","Primula pinnatifida Franch."
"3","Primula vialii Delavay ex Franch."
"4","Primula bellidifolia King"
"5","Primula flaccida N.P.Balakr."
"6","Primula cernua Franch."
"7","Primula violacea W.W.Sm. & Kingdon-Ward"
"8","Primula deflexa Duthie"
"9","Primula siamensis Craib"
"10","Primula aromatica W.W.Sm. & Forrest"
"11","Primula watsonii Dunn"
"12","Primula reidii Duthie"
"13","Primula wigramiana W.W.Sm."
"14","Primula sertulum Franch."
"15","Primula erratica W.W.Sm."
"16","Primula efarinosa Pax"
"17","Primula glabra Klatt"
"18","Primula tenuiloba (Watt) Pax"
"19","Primula capitata Hook."
"20","Primula glomerata Pax"
"21","Primula stirtoniana Watt"
"22","Primula primulina (Spreng.) H.Hara"
"23","Primula cachemiriana Munro, 1879"
"24","Primula denticulata Sm."
"25","Primula pumilio Maxim."
"26","Primula gemmifera Batalin"
"27","Primula fasciculata Balf.fil. & Kingdon-Ward"
"28","Primula nutans Georgi"
"29","Primula involucrata Wall. ex Duby"
"30","Primula scotica Hook."
"31","Primula farinosa L."
"32","Primula egaliksensis Wormsk. ex Hornem."
"33","Primula mistassinica Michx."
"34","Primula halleri J.F.Gmel."
"35","Primula serrata Georgi"
"36","Primula pinnata Popov & Fedor."
"37","Primula laurentiana Fernald"
"38","Primula incana M.E.Jones"
"39","Primula scandinavica Brunn"
"40","Primula borealis Duby"
"41","Primula anvilensis S.Kelso"
"42","Primula specuicola Rydb."
"43","Primula modesta Bisset & Moore"
"44","Primula aliciae G.Taylor"
"45","Primula pulchella Franch."
"46","Primula darialica Rupr."
"47","Primula algida Adams"
"48","Primula baldshuanica B.Fedtsch."
"49","Primula muscoides Hook.fil. ex Watt"
"50","Primula reptans Hook.fil. ex Watt"
"51","Primula alpicola (W.W.Sm.) Stapf"
"52","Primula firmipes Balf.fil. & Forrest"
"53","Primula waltonii Watt"
"54","Primula reticulata Wall."
"55","Primula souliei Franch."
"56","Primula florida Balf.fil. & Forrest"
"57","Primula bella Franch."
"58","Primula membranifolia Franch."
"59","Primula yunnanensis Franch."
"60","Primula elliptica Royle"
"61","Primula warshenewskiana B.Fedtsch."
"62","Primula clarkei Watt"
"63","Primula luteola Rupr."
"64","Primula auriculata Lam."
"65","Primula walshii Craib"
"66","Dionysia tapetodes Bunge"
"67","Dionysia revoluta Boiss."
"68","Dionysia aretioides (Lehm.) Boiss."
"69","Dionysia lindbergii Wendelbo"
