"","species_name"
"1","Quercus turbinella Greene"
"2","Quercus ajoensis C.H.Mull."
"3","Quercus toumeyi Sarg."
"4","Quercus grisea Liebm."
"5","Quercus oblongifolia Torr."
"6","Quercus engelmannii Greene"
"7","Quercus arizonica Sarg."
"8","Quercus laeta Liebm."
"9","Quercus resinosa Liebm."
"10","Quercus obtusata Bonpl."
"11","Quercus magnoliifolia Née"
"12","Quercus potosina Trel."
"13","Quercus glaucoides M.Martens & Galeotti"
"14","Quercus peduncularis Née"
"15","Quercus deserticola Trel."
"16","Quercus diversifolia Née"
"17","Quercus purulhana Trel."
"18","Quercus segoviensis Liebm."
"19","Quercus glaucescens Bonpl."
"20","Quercus liebmannii Oerst. ex Trel."
"21","Quercus L."
"22","Quercus rugosa Née"
"23","Quercus martinezii C.H.Mull."
"24","Quercus greggii (A.DC.) Trel."
"25","Quercus insignis M.Martens & Galeotti"
"26","Quercus corrugata Hook."
"27","Quercus lancifolia Schltdl. & Cham."
"28","Quercus copeyensis C.H.Mull."
"29","Quercus germana Schltdl. & Cham."
"30","Quercus glabrescens Benth."
"31","Quercus vaseyana Buckley"
"32","Quercus pungens Liebm."
"33","Quercus hinckleyi C.H.Mull."
"34","Quercus laceyi Small"
"35","Quercus polymorpha Schltdl. & Cham."
"36","Quercus mohriana Buckley ex Rydb."
"37","Quercus austrina Small"
"38","Quercus chapmanii Sarg."
"39","Quercus margarettae (Ashe) Small"
"40","Quercus havardii Rydb."
"41","Quercus stellata Wangenh."
"42","Quercus similis Ashe"
"43","Quercus boyntonii Beadle"
"44","Quercus oglethorpensis W.H.Duncan"
"45","Quercus sinuata Walter"
"46","Quercus robur L."
"47","Quercus canariensis Willd."
"48","Quercus petraea (Matt.) Liebl."
"49","Quercus dalechampii Ten."
"50","Quercus pubescens Willd."
"51","Quercus macranthera Fisch. & C.A.Mey. ex Hohen."
"52","Quercus pyrenaica Willd."
"53","Quercus griffithii Hook.f. & Thomson ex Miq."
"54","Quercus faberi Hance"
"55","Quercus dentata Thunb."
"56","Quercus aliena Blume"
"57","Quercus serrata Murray"
"58","Quercus mongolica Fisch. ex Ledeb."
"59","Quercus michauxii Nutt."
"60","Quercus alba L."
"61","Quercus montana Willd."
"62","Quercus lyrata Walter"
"63","Quercus bicolor Willd."
"64","Quercus macrocarpa Michx."
"65","Quercus prinoides Willd."
"66","Quercus muehlenbergii Engelm."
"67","Quercus dumosa Nutt."
"68","Quercus john-tuckeri Nixon & C.H.Müll."
"69","Quercus douglasii Hook. & Arn."
"70","Quercus pacifica Nixon & C.H.Müll."
"71","Quercus berberidifolia Liebm."
"72","Quercus durata Jeps."
"73","Quercus garryana Douglas ex Hook."
"74","Quercus lobata Née"
"75","Quercus geminata Small"
"76","Quercus virginiana Mill."
"77","Quercus minima (Sarg.) Small"
"78","Quercus oleoides Schltdl. & Cham."
"79","Quercus sagrana Nutt."
"80","Quercus brandegeei Goldman"
"81","Quercus fusiformis Small"
"82","Quercus sadleriana R.Br.ter"
"83","Quercus pontica K.Koch"
"84","Quercus tomentella Engelm."
"85","Quercus vacciniifolia Kellogg"
"86","Quercus chrysolepis Liebm."
"87","Quercus palmeri (Engelm.) Engelm."
"88","Quercus eduardi Trel."
"89","Quercus castanea Née"
"90","Quercus conspersa Benth."
"91","Quercus crassipes Bonpl."
"92","Quercus gentryi C.H.Mull."
"93","Quercus candicans Née"
"94","Quercus scytophylla Liebm."
"95","Quercus hypoleucoides A.Camus"
"96","Quercus crassifolia Bonpl."
"97","Quercus emoryi Torr."
"98","Quercus peninsularis Trel."
"99","Quercus conzattii Trel."
"100","Quercus crispifolia Trel."
"101","Quercus pinnativenulosa C.H.Mull."
"102","Quercus laurina Bonpl."
"103","Quercus acutifolia Née"
"104","Quercus affinis Scheidw."
"105","Quercus mexicana Bonpl."
"106","Quercus costaricensis Liebm."
"107","Quercus eugeniifolia Liebm."
"108","Quercus cortesii Liebm."
"109","Quercus lowilliamsii C.H.Mull."
"110","Quercus sapotifolia Liebm."
"111","Quercus delgadoana S.Valencia, Nixon & L.M.Kelly"
"112","Quercus iltisii L.M.González"
"113","Quercus elliptica Née"
"114","Quercus uxoris McVaugh"
"115","Quercus planipocula Trel."
"116","Quercus canbyi Trel."
"117","Quercus inopina Ashe"
"118","Quercus myrtifolia Willd."
"119","Quercus hemisphaerica Drake"
"120","Quercus incana Roxb."
"121","Quercus nigra L."
"122","Quercus arkansana Sarg."
"123","Quercus elliottii Wilbur"
"124","Quercus phellos L."
"125","Quercus laurifolia Michx."
"126","Quercus laevis Walter"
"127","Quercus marilandica (L.) Münchh."
"128","Quercus falcata Michx."
"129","Quercus georgiana M.A.Curtis"
"130","Quercus imbricaria Michx."
"131","Quercus pagoda Raf."
"132","Quercus ilicifolia Wangenh."
"133","Quercus acerifolia (E.J.Palmer) Stoynoff & Hess"
"134","Quercus shumardii Buckley"
"135","Quercus buckleyi Nixon & Dorr"
"136","Quercus rubra L."
"137","Quercus coccinea Münchh."
"138","Quercus ellipsoidalis E.J.Hill"
"139","Quercus velutina Lam."
"140","Quercus palustris Münchh."
"141","Quercus texana Buckley"
"142","Quercus wislizeni A.DC."
"143","Quercus parvula Greene"
"144","Quercus agrifolia Née"
"145","Quercus kelloggii Newb."
"146","Quercus trojana Webb"
"147","Quercus libani G.Olivier"
"148","Quercus acutissima Carruth."
"149","Quercus baronii Skan"
