"","species_name"
"1","Ruellia nudiflora (Engelm. & Gray) Urb."
"2","Ruellia metzae Tharp"
"3","Ruellia intermedia Leonard"
"4","Ruellia davisiorum Tharp & F.A.Barkley"
"5","Ruellia occidentalis (A.Gray) Tharp & F.A.Barkley"
"6","Ruellia jimulcensis Villarreal"
"7","Ruellia runyonii Tharp & F.A.Barkley"
"8","Ruellia simplex Wright"
"9","Ruellia edwardsae Tharp & F.A.Barkley"
"10","Ruellia ovalifolia (Oerst.) Hemsl."
"11","Ruellia lactea Willd. ex Nees"
"12","Ruellia ciliatiflora Hook."
"13","Ruellia abbreviata D.N.Gibson"
"14","Ruellia tuberosa L."
"15","Ruellia macrosolen Lillo"
"16","Ruellia malaca Leonard"
"17","Ruellia morongii Britton"
"18","Ruellia hygrophila Mart."
"19","Ruellia humilis Nutt."
"20","Ruellia purshiana Fernald"
"21","Ruellia noctiflora (Nees) Gray"
"22","Ruellia drummondiana (Nees) Gray"
"23","Ruellia strepens L."
"24","Ruellia caroliniensis (J.F.Gmel.) Steud."
"25","Ruellia sarukhaniana Ramamoorthy"
"26","Ruellia jaliscana Standl."
"27","Ruellia bourgaei Hemsl."
"28","Ruellia guerrerensis T.F.Daniel"
"29","Ruellia laslobasensis E.Tripp"
"30","Ruellia conzattii Standl."
"31","Ruellia fruticosa Sessé & Moc. ex DC."
"32","Ruellia sororia Standl."
"33","Ruellia speciosa B.D.Jacks."
"34","Ruellia cedilloi Ramamoorthy"
"35","Ruellia pringlei Fernald"
"36","Ruellia hirsutoglandulosa (Oerst.) Hemsl."
"37","Ruellia brevicaulis Baker"
"38","Ruellia capitata Rizzini"
"39","Ruellia siraensis Wassh."
"40","Ruellia steyermarkii Wassh."
"41","Ruellia exserta Wassh. & J.R.I.Wood"
"42","Ruellia inflata Rich."
"43","Ruellia subsessilis (Nees) Lindau"
"44","Ruellia acutangula Nees ex Mart."
"45","Ruellia curviflora Nees & Mart."
"46","Ruellia elegans Hook."
"47","Ruellia eurycodon Lindau"
"48","Ruellia eriocalyx Glaz."
