"","species_name"
"1","Salvia florida Benth."
"2","Salvia tortuosa Kunth"
"3","Salvia rufula Kunth"
"4","Salvia tolimensis Kunth"
"5","Salvia bogotensis Benth."
"6","Salvia sphacelioides Benth."
"7","Salvia cuatrecasana Epling"
"8","Salvia sordida Benth."
"9","Salvia amplifrons Briq."
"10","Salvia raymondii J.R.I.Wood"
"11","Salvia cyanicalyx Epling"
"12","Salvia densiflora Benth."
"13","Salvia tuerckheimii Urb."
"14","Salvia carnea Kunth"
"15","Salvia simulans Fernald"
"16","Salvia palealis Epling"
"17","Salvia pansamalensis Donn.Sm."
"18","Salvia jorgehintoniana Ramamoorthy ex B.L.Turner"
"19","Salvia nervata M.Martens & Galeotti"
"20","Salvia tubifera Cav."
"21","Salvia personata Epling"
"22","Salvia tiliifolia Vahl"
"23","Salvia leptostachys Benth."
"24","Salvia rhyacophila (Fernald) Epling"
"25","Salvia hispanica L."
"26","Salvia pennellii Epling"
"27","Salvia richardsonii B.L.Turner"
"28","Salvia farinacea Benth."
"29","Salvia caudata Epling"
"30","Salvia chiapensis Brandegee"
"31","Salvia ionocalyx Epling"
"32","Salvia areolata Epling"
"33","Salvia filipes Benth."
"34","Salvia tonaticensis Ramamoorthy ex Lara Cabrera, Bedolla & Zamudio"
"35","Salvia connivens Epling"
"36","Salvia iodantha Fernald"
"37","Salvia curviflora Benth."
"38","Salvia littae Vis."
"39","Salvia polystachya M.Martens & Galeotti"
"40","Salvia arbuscula Fernald"
"41","Salvia trichostephana Epling"
"42","Salvia plurispicata Epling"
"43","Salvia longistyla Benth."
"44","Salvia longispicata M.Martens & Galeotti"
"45","Salvia myriantha Epling"
"46","Salvia sapinea Epling"
"47","Salvia languidula Epling"
"48","Salvia confertispicata Fragoso & Mart.Gord."
"49","Salvia mexicana L."
"50","Salvia angulata Benth."
"51","Salvia xalapensis Benth."
"52","Salvia amarissima Ortega"
"53","Salvia santanae Ramamoorthy ex J.G.González & Guzm.-Hern."
"54","Salvia ibugana J.G.González"
"55","Salvia peninsularis Brandegee"
"56","Salvia leucantha Cav."
"57","Salvia pauciserrata Benth."
"58","Salvia pichinchensis Benth."
"59","Salvia alborosea Epling & Játiva"
"60","Salvia diegoae Mart.Gord. & Lozada-Pérez"
"61","Salvia vazquezii Iltis & Ramamoorthy"
"62","Salvia gravida Epling"
"63","Salvia palmeri A.Gray"
"64","Salvia rosei Fernald"
"65","Salvia guadalajarensis Briq."
"66","Salvia muscarioides Fernald"
