"","species_name"
"1","Solanum chenopodinum F.Muell."
"2","Solanum ferocissimum Lindl."
"3","Solanum stelligerum Sm."
"4","Solanum latens A.R.Bean"
"5","Solanum chenopodium Raf."
"6","Solanum gympiense Symon"
"7","Solanum densevestitum F.Muell. ex Benth."
"8","Solanum nemophilum F.Muell."
"9","Solanum hapalum A.R.Bean"
"10","Solanum innoxium A.R.Bean"
"11","Solanum johnsonianum A.R.Bean"
"12","Solanum discolor R.Br."
"13","Solanum ×shirleyanum Domin"
"14","Solanum corifolium F.Muell."
"15","Solanum cookii Symon"
"16","Solanum dissectum Symon"
"17","Solanum stupefactum Symon"
"18","Solanum furfuraceum R.Br."
"19","Solanum rixosum A.R.Bean"
"20","Solanum incompletum Dunal"
"21","Solanum sandwicense Hook. & Arn."
"22","Solanum mitchellianum Domin"
"23","Solanum semiarmatum F.Muell."
"24","Solanum pancheri Guillaumin"
"25","Solanum vaccinioides Schltr."
"26","Solanum brownii Dunal"
"27","Solanum curvicuspe Domin"
"28","Solanum viridifolium Dunal"
"29","Solanum macoorai F.M.Bailey"
"30","Solanum dimorphispinum C.T.White"
"31","Solanum amblymerum Dunal"
"32","Solanum limitare A.R.Bean"
"33","Solanum inaequilaterum Domin"
"34","Solanum acanthodapis A.R.Bean"
"35","Solanum serpens A.R.Bean"
"36","Solanum neoanglicum A.R.Bean"
"37","Solanum nobile A.R.Bean"
"38","Solanum argopetalum A.R.Bean"
"39","Solanum papaverifolium Symon"
"40","Solanum sturtianum F.Muell."
"41","Solanum stenopterum A.R.Bean"
"42","Solanum lythrocarpum A.R.Bean"
"43","Solanum petrophilum F.Muell."
"44","Solanum ellipticum R.Br."
"45","Solanum quadriloculatum F.Muell."
"46","Solanum dianthophorum Dunal"
"47","Solanum centrale J.M.Black"
"48","Solanum esuriale Lindl."
"49","Solanum cinereum R.Br."
"50","Solanum prinophyllum Dunal"
"51","Solanum pungetium R.Br."
"52","Solanum campanulatum R.Br."
"53","Solanum ditrichum A.R.Bean"
"54","Solanum vicinum A.R.Bean"
"55","Solanum elachophyllum F.Muell."
"56","Solanum jucundum A.R.Bean"
"57","Solanum tetrathecum F.Muell."
"58","Solanum nummularium S.Moore"
"59","Solanum orbiculatum Dunal"
"60","Solanum oligacanthum F.Muell."
"61","Solanum hoplopetalum Bitter & Summerh."
"62","Solanum hystrix R.Br."
"63","Solanum asymmetriphyllum Specht"
