"","species_name"
"1","Houstonia humifusa Hemsl."
"2","Stenaria umbratilis (B.L.Rob.) Terrell"
"3","Houstonia correllii (W.H.Lewis) Terrell"
"4","Houstonia subviscosa (C.Wright ex A.Gray) A.Gray"
"5","Houstonia croftiae Britton & Rusby"
"6","Houstonia rubra Cav."
"7","Houstonia spellenbergii (G.L.Nesom & Vorobik) Terrell"
"8","Houstonia wrightii A.Gray"
"9","Houstonia parviflora Holz. ex Greenm."
"10","Stenaria rupicola (Greenm.) Terrell"
"11","Stenaria mullerae (Fosberg) Terrell"
"12","Stenaria nigricans var. nigricans"
"13","Stenaria nigricans (Lam.) Terrell"
"14","Stenaria butterwickiae (Terrell) Terrell"
"15","Houstonia palmeri A.Gray"
"16","Houstonia acerosa (A.Gray) Benth. & Hook.f."
"17","Houstonia caerulea L."
"18","Houstonia serpyllifolia Michx."
"19","Houstonia pusilla Schoepf"
"20","Houstonia sharpii Terrell"
"21","Houstonia micrantha (Shinners) Terrell"
"22","Houstonia rosea (Raf.) Terrell"
"23","Houstonia procumbens (Walter ex J.F.Gmel.) Standl."
"24","Houstonia longifolia Gaertn."
"25","Houstonia purpurea L."
"26","Houstonia canadensis Willd."
"27","Houstonia ouachitana (E.B.Sm.) Terrell"
"28","Oldenlandia ovata S.Watson"
"29","Oldenlandia microtheca (Cham. & Schltdl.) DC."
"30","Oldenlandia drymarioides (Standl.) Terrell"
"31","Houstonia teretifolia Terrell"
"32","Arcytophyllum macbridei Standl."
"33","Arcytophyllum vernicosum Standl."
"34","Arcytophyllum nitidum (Kunth) Schltdl."
"35","Arcytophyllum setosum (Ruiz & Pav.) Schltdl."
"36","Arcytophyllum lavarum K.Schum."
"37","Arcytophyllum aristatum Standl."
"38","Arcytophyllum muticum (Wedd.) Standl."
"39","Arcytophyllum ciliolatum Standl."
"40","Arcytophyllum rivetii Danguy & Cherm."
"41","Arcytophyllum ericoides (Willd.) Standl."
"42","Arcytophyllum capitatum (Benth.) K.Schum."
"43","Arcytophyllum filiforme (Ruiz & Pav.) Standl."
"44","Arcytophyllum thymifolium (Ruiz & Pav.) Standl."
"45","Stenotis brevipes (Rose) Terrell"
"46","Stenotis mucronata (Benth.) Terrell"
"47","Stenotis asperuloides (Benth.) Terrell"
"48","Stenotis australis (I.M.Johnst.) Terrell"
"49","Oldenlandia pringlei B.L.Rob."
"50","Astiella delicatula Jovet"
"51","Astiella tsaratanensis Groeninckx"
"52","Phialiphora bevazahensis Groeninckx"
"53","Phialiphora capitulata Groeninckx"
"54","Astiella latifolia Groeninckx"
"55","Astiella perrieri Groeninckx"
"56","Astiella desseinii Groeninckx"
"57","Amphistemon humbertii Groeninckx"
"58","Amphistemon rakotonasolianus Groeninckx"
"59","Thamnoldenlandia Groeninckx"
"60","Hedythyrsus spermacocinus (K.Schum.) Bremek."
"61","Mitrasacmopsis quadrivalvis Jovet"
"62","Oldenlandia fastigiata Bremek."
"63","Oldenlandia geophila Bremek."
"64","Oldenlandia nervosa Hiern"
"65","Oldenlandia echinulosa K.Schum."
"66","Diodia aulacosperma K.Schum."
"67","Spermacoce filituba (K.Schum.) Verdc."
"68","Spermacoce hispida L."
"69","Spermacoce ruelliae DC."
"70","Spermacoce flagelliformis Poir."
"71","Diodella teres (Walter) Small"
"72","Mitracarpus microspermus K.Schum."
"73","Ernodea littoralis Sw."
"74","Mitracarpus frigidus (Willd.) K.Schum."
"75","Spermacoce erosa Harwood"
