"","species_name"
"1","Vangueria micropyren (Verdc.) Lantz"
"2","Vangueria volkensii K.Schum."
"3","Vangueria apiculata K.Schum."
"4","Vangueria randii S.Moore"
"5","Vangueria esculenta S.Moore"
"6","Vangueria madagascariensis J.F.Gmel."
"7","Vangueria infausta Burch."
"8","Vangueria proschii Briq."
"9","Vangueria parvifolia Sond."
"10","Vangueria soutpansbergensis N.Hahn"
"11","Vangueria macrocalyx Sond."
"12","Vangueria bowkeri (Robyns) Lantz"
"13","Vangueria monteiroi (Oliv.) Lantz"
"14","Vangueria latifolia (Sond.) Sond."
"15","Vangueria pygmaea Schltr."
"16","Vangueria thamnus (Robyns) Lantz"
"17","Vangueria pallidiflora (Bullock) Lantz"
"18","Vangueria dryadum S.Moore"
"19","Vangueria triflora (Robyns) Lantz"
"20","Vangueria lasiantha (Sond.) Sond."
"21","Vangueria agrestis (Schweinf. ex Hiern) Lantz"
"22","Vangueria fuscosetulosa (Verdc.) Lantz"
"23","Vangueria induta (Bullock) Lantz"
"24","Vangueria praecox Verdc."
"25","Vangueria ferruginea (Welw.)"
"26","Vangueria loranthifolia K.Schum."
"27","Vangueria schumanniana (Robyns) Lantz"
"28","Vangueria gillettii (Tennant) Lantz"
"29","Vangueria discolor (De Wild.) Lantz"
"30","Vangueria vestita (Robyns)"
"31","Vangueria cinerascens (Welw. ex Hiern) Lantz"
"32","Vangueria obtusifolia K.Schum."
"33","Robynsia glabrata Hutch."
"34","Vangueriopsis longiflora Verdc."
"35","Cuviera semseii Verdc."
"36","Multidentia dichrophylla (Mildbr.) Bridson"
"37","Pygmaeothamnus zeyheri (Sond.) Robyns"
"38","Cuviera schliebenii Verdc."
"39","Multidentia concrescens (Bullock) Bridson & Verdc."
"40","Multidentia crassa (Hiern) Bridson & Verdc."
"41","Multidentia exserta Bridson"
"42","Multidentia fanshawei (Tennant) Bridson"
"43","Multidentia sclerocarpa (K.Schum.) Bridson"
"44","Cuviera acutiflora DC."
"45","Cuviera angolensis Welw. ex K.Schum."
"46","Cuviera physinodes K.Schum."
"47","Cuviera longiflora Hiern"
"48","Cuviera subuliflora Benth."
"49","Globulostylis minor Wernham"
"50","Globulostylis rammelooana Sonké, O.Lachenaud & Dessein"
"51","Globulostylis leniochlamys (K.Schum.) Sonké, O.Lachenaud & Dessein"
"52","Globulostylis robbrechtiana Sonké, O.Lachenaud, Dessein & De Block"
"53","Globulostylis uncinula (N.Hallé) Sonké, O.Lachenaud & Dessein"
"54","Vangueriella chlorantha (K.Schum.) Verdc."
