"","species_name"
"1","Vellozia bradei Schulze-Menz"
"2","Vellozia strangii L.B.Sm. ex Mello-Silva"
"3","Vellozia marcescens L.B.Sm."
"4","Vellozia intermedia Seub."
"5","Vellozia stipitata L.B.Sm. & Ayensu"
"6","Vellozia Vand."
"7","Vellozia patens L.B.Sm. & Ayensu"
"8","Vellozia breviscapa Mart."
"9","Vellozia caruncularis Mart. ex Seub."
"10","Vellozia subscabra J.C.Mikan"
"11","Vellozia hatschbachii L.B.Sm. & Ayensu"
"12","Vellozia variabilis Mart."
"13","Vellozia obtecta Mello-Silva"
"14","Vellozia peripherica Mello-Silva"
"15","Vellozia Vand."
"16","Vellozia resinosa Mart."
"17","Vellozia auriculata Mello-Silva & N.L.Menezes"
"18","Vellozia glabra J.C.Mikan"
"19","Vellozia ornata Mart."
"20","Vellozia declinans Goethart & Henrard"
"21","Vellozia taxifolia (Mart. ex Schult. & Schult.f.) Mart. ex Seub."
"22","Vellozia cryptantha Seub."
"23","Vellozia epidendroides Mart."
"24","Vellozia variegata Goethart & Henrard"
"25","Vellozia gigantea N.L.Menezes & Mello-Silva"
"26","Vellozia Vand."
"27","Vellozia scoparia Goethart & Henrard"
"28","Vellozia giuliettiae N.L.Menezes & Mello-Silva"
"29","Vellozia minima Pohl"
"30","Vellozia stenocarpa Mello-Silva"
"31","Vellozia barbata Goethart & Henrard"
"32","Vellozia sellowii Seub."
"33","Vellozia abietina Mart."
"34","Vellozia semirii Mello-Silva & N.L.Menezes"
"35","Vellozia graomogolensis L.B.Sm."
"36","Vellozia streptophylla L.B.Sm."
"37","Vellozia prolifera Mello-Silva"
"38","Vellozia spiralis L.B.Sm."
"39","Vellozia brevifolia Seub."
"40","Vellozia tragacantha (Mart. ex Schult. & Schult.f.) Mart. ex Seub."
"41","Vellozia ciliata L.B.Sm."
"42","Vellozia compacta Mart."
"43","Vellozia graminea Pohl"
"44","Vellozia punctulata Seub."
"45","Vellozia alata L.B.Sm."
"46","Vellozia aloifolia Mart."
"47","Vellozia caespitosa L.B.Sm. & Ayensu"
"48","Vellozia crinita Goethart & Henrard"
"49","Vellozia metzgerae L.B.Sm."
"50","Vellozia caudata Mello-Silva"
"51","Vellozia hemisphaerica Seub."
"52","Vellozia burle-marxii L.B.Sm. & Ayensu"
"53","Vellozia jolyi L.B.Sm."
"54","Vellozia religiosa Mello-Silva & D.Sasaki"
"55","Vellozia canelinha Mello-Silva"
"56","Vellozia geotegens L.B.Sm. & Ayensu"
"57","Vellozia albiflora Pohl"
"58","Vellozia nanuzae L.B.Sm. & Ayensu"
"59","Vellozia tillandsioides Mello-Silva"
"60","Vellozia glauca Pohl"
"61","Vellozia hirsuta Goethart & Henrard"
"62","Vellozia candida J.C.Mikan"
"63","Vellozia froesii L.B.Sm."
"64","Vellozia seubertiana Goethart & Henrard"
"65","Vellozia furcata L.B.Sm. & Ayensu"
"66","Vellozia dasypus Seub."
"67","Vellozia Vand."
"68","Vellozia armata Mello-Silva"
"69","Vellozia luteola Mello-Silva & N.L.Menezes"
"70","Vellozia exilis Goethart & Henrard"
"71","Vellozia goiasensis L.B.Sm."
"72","Vellozia maxillarioides L.B.Sm."
"73","Vellozia nivea L.B.Sm. & Ayensu"
"74","Vellozia sessilis L.B.Sm. ex Mello-Silva"
"75","Vellozia tubiflora (A.Rich.) Kunth"
"76","Vellozia andina Ibisch, R.Vásquez & Nowicki"
"77","Vellozia plicata Mart."
"78","Barbaceniopsis castillonii (Hauman) Ibisch"
"79","Barbaceniopsis humahuaquensis Noher"
"80","Barbaceniopsis boliviensis (Baker) L.B.Sm."
"81","Barbaceniopsis vargasiana (L.B.Sm.) L.B.Sm."
"82","Xerophyta Juss."
"83","Xerophyta villosa (Baker) L.B.Sm. & Ayensu"
"84","Xerophyta Juss."
