"","species_name"
"1","Vriesea fenestralis Linden & André"
"2","Vriesea gigantea Gaudich."
"3","Vriesea tijucana E.Pereira"
"4","Vriesea crassa Mez"
"5","Vriesea sazimae Leme"
"6","character(0)"
"7","Vriesea bituminosa Wawra"
"8","Vriesea Lindl."
"9","Vriesea atra Mez"
"10","Vriesea pabstii McWill. & L.B.Sm."
"11","Vriesea cacuminis L.B.Sm."
"12","Vriesea longistaminea C.C.Paula & Leme"
"13","Vriesea fosteriana L.B.Sm."
"14","Vriesea grandiflora Leme"
"15","Vriesea Lindl."
"16","Vriesea sanfranciscana Versieux & Wand."
"17","Vriesea lubbersii (Baker) E.Morren"
"18","Vriesea flammea L.B.Sm."
"19","Vriesea Lindl."
"20","Vriesea Lindl."
"21","Vriesea neoglutinosa Mez"
"22","Vriesea rodigasiana É.Morren"
"23","Vriesea sincorana Mez"
"24","Vriesea gracilior (L.B.Sm.) Leme"
"25","Vriesea interrogatoria L.B.Sm."
"26","Vriesea paraibica Wawra"
"27","Vriesea carinata var. mangaratibensis Leme & And.Costa"
"28","Vriesea capixabae Leme"
"29","Vriesea carinata var. flavominiata Leme"
"30","Vriesea flava And.Costa, H.Luther & Wand."
"31","Vriesea maxoniana (L.B.Sm.) L.B.Sm."
"32","Vriesea eltoniana E.Pereira & Ivo"
"33","Vriesea rosea É.Morren ex Mez"
"34","Vriesea unilateralis (Baker) Mez"
"35","Vriesea hydrophora Ule"
"36","Vriesea procera (Mart. ex Schult. & Schult.f.) Wittm."
"37","Vriesea longicaulis (Baker) Mez"
"38","Vriesea saundersii (Carrière) É.Morren"
"39","Vriesea guttata Linden & André"
"40","Vriesea gradata var. bicolor E.Pereira & I.A.Penna"
"41","Vriesea gradata (Baker) Mez"
"42","Vriesea sucrei L.B.Sm. & Read"
"43","Vriesea ensiformis var. bicolor L.B.Sm."
"44","Vriesea ensiformis (Vell.) Beer"
"45","Vriesea incurvata Gaudich."
"46","Vriesea amethystina É.Morren"
"47","Vriesea psittacina (Hook.) Lindl."
"48","Vriesea carinata Wawra"
"49","Vriesea Lindl."
"50","Vriesea duvaliana É.Morren"
"51","Vriesea modesta Mez"
"52","Vriesea rubyae E.Pereira"
"53","Vriesea scalaris É.Morren"
"54","Vriesea scalaris var. viridis Mez"
"55","Vriesea breviscapa (E.Pereira & I.A.Penna) Leme"
"56","Vriesea agostiniana E.Pereira"
"57","Vriesea taritubensis E.Pereira & I.A.Penna"
"58","Vriesea Lindl."
"59","Vriesea erythrodactylon (É.Morren) É.Morren ex Mez"
"60","Vriesea inflata (Wawra) Wawra"
"61","Vriesea heterostachys (Baker) L.B.Sm."
"62","Vriesea Lindl."
"63","Vriesea simplex (Vell.) Beer"
"64","Vriesea seideliana W.Weber"
"65","Vriesea Lindl."
"66","Vriesea teresopolitana Leme"
"67","Vriesea recurvata Gaudich."
"68","Vriesea repandostachys Leme"
"69","Vriesea limae L.B.Sm."
"70","Vriesea oligantha (Baker) Mez"
"71","Vriesea zonata Leme & J.A.Siqueira"
"72","Stigmatodon rosulatulus (Leme) Leme, G.K.Br. & Barfuss"
"73","Vriesea andaraiensis Leme"
"74","Vriesea Lindl."
"75","Stigmatodon gastinianus (Leme & G.K.Br.) Leme, G.K.Br. & Barfuss"
"76","Stigmatodon sanctateresensis (Leme & L.Kollmann) Leme, G.K.Br. & Barfuss"
"77","Stigmatodon Leme, G.K.Br. & Barfuss"
"78","Stigmatodon belloi (Leme) Leme, G.K.Br. & Barfuss"
"79","Stigmatodon plurifolius (Leme) Leme, G.K.Br. & Barfuss"
"80","Stigmatodon harrylutheri (Leme & G.K.Br.) Leme, G.K.Br. & Barfuss"
"81","Stigmatodon euclidianus (Leme & G.K.Br.) Leme, G.K.Br. & Barfuss"
"82","Stigmatodon bifidus (Leme & L.Kollmann) Leme, G.K.Br. & Barfuss"
"83","Stigmatodon apparicianus (E.Pereira & Reitz) Leme, G.K.Br. & Barfuss"
"84","Stigmatodon funebris (L.B.Sm.) Leme, G.K.Br. & Barfuss"
"85","Stigmatodon amadoi (Leme) Leme, G.K.Br. & Barfuss"
"86","Stigmatodon multifoliatus (Leme & G.K.Br.) Leme, G.K.Br. & Barfuss"
"87","Stigmatodon croceanus (Leme & G.K.Br.) Leme, G.K.Br. & Barfuss"
"88","Stigmatodon Leme, G.K.Br. & Barfuss"
"89","Stigmatodon brassicoides (Baker) Leme, G.K.Br. & Barfuss"
"90","Stigmatodon Leme, G.K.Br. & Barfuss"
"91","Stigmatodon costae (B.R.Silva & Leme) Leme, G.K.Br. & Barfuss"
"92","Stigmatodon goniorachis (Baker) Leme, G.K.Br. & Barfuss"
"93","Waltillia hatschbachii (L.B.Sm. & Read) Leme, Barfuss & Halbritt."
"94","Alcantarea regina (Vell.) Harms"
"95","Alcantarea geniculata (Wawra) J.R.Grant"
"96","Alcantarea imperialis (Carrière) Harms"
"97","Alcantarea glaziouana (Lem.) Leme"
"98","Alcantarea recurvifolia Leme"
"99","Alcantarea compacta Leme & O.B.C.Ribeiro"
"100","Alcantarea duarteana (L.B.Sm.) J.R.Grant"
"101","Alcantarea farneyi (Martinelli & And.Costa) J.R.Grant"
"102","Alcantarea vasconcelosiana Leme"
"103","Alcantarea (É.Morren ex Mez) Harms"
