"species_name"
"Leucopogon concinnus Benth."
"Leucopogon nutans E.Pritz."
"Leucopogon ovalifolius Sond."
"Leucopogon strictus Benth."
"Error in curl::curl_fetch_memory(x$url$url, handle = x$url$handle) : 
  LibreSSL SSL_read: error:06FFF064:digital envelope routines:CRYPTO_internal:bad decrypt, errno 0
"
"Leucopogon pendulus R.Br."
"Leucopogon obtectus Benth."
"Leucopogon glaucifolius W.Fitzg."
"Leucopogon cordifolius Lindl."
"Leucopogon racemulosus DC."
"Leucopogon allittii F.Muell."
"Leucopogon oxycedrus (Labill.) Sond."
"Coleanthera myrtoides Stschegl."
"Leucopogon rotundifolius R.Br."
"Styphelia hainesii F.Muell."
"Styphelia tenuifolia Lindl."
"Leucopogon juniperinus (G.Forst.) R.Br."
"Leucopogon setiger R.Br."
"Leucopogon fraseri A.Cunn."
"Astroloma microdonta F.Muell. ex Benth."
"Astroloma pallidum R.Br."
"Astroloma serratifolium (DC.) Druce"
"Astroloma ciliatum (Lindl.) Druce"
"Astroloma epacridis (DC.) Druce"
"Astroloma R.Br."
"Astroloma prostratum R.Br."
"Astroloma humifusum (Cav.) R.Br."
"Styphelia viridis Andr."
"Styphelia adscendens R.Br."
"Styphelia exarrhena (F.Muell.) F.Muell."
"Styphelia tubiflora Sm."
"Astroloma glaucescens Sond."
"Leucopogon esquamatus R.Br."
"Acrothamnus spathaceus (Pedley) Quinn"
"Leucopogon cymbiformis A.Cunn. ex DC."
"Leucopogon pogonocalyx F.Muell. ex Benth."
"Leucopogon appressus Sieber ex Benth."
"Agiortia pleiosperma (F.Muell.) Quinn"
"Leucopogon crassifolius Sond."
"Leucopogon corynocarpus Sond."
"Leucopogon ruscifolius R.Br."
"Leucopogon melaleucoides A.Cunn. ex DC."
"Leucopogon leptospermoides R.Br."
"Leucopogon muticus R.Br."
"Leucopogon ericoides (Sm.) R.Br."
"Leucopogon crassiflorus F.Muell."
"Leucopogon conostephioides DC."
"Leucopogon hispidus E.Pritz."
"Leucopogon pubescens S.Moore"
"Astroloma xerophyllum (DC.) Sond."
"Styphelia longifolia R.Br."
"Leucopogon blepharolepis F.Muell."
"Croninia kingiana (F.Muell.) J.M.Powell"
"Acrotriche rigida Paterson"
"Acrotriche divaricata R.Br."
"Acrotriche parviflora (Stschegl.) Hislop"
"Cyathodes straminea R.Br."
"Cyathodes glauca Labill."
"Lissanthe brevistyla A.R.Bean"
"Lissanthe rubicunda (F.Muell.) J.M.Powell, Crayn & E.A.Br."
"Leucopogon pluriloculatus F.Muell."
"Lissanthe strigosa Sieber ex DC."
"Lissanthe sapida R.Br."
"Acrothamnus suaveolens (Hook.fil.) Quinn"
"Styphelia laeta R.Br."
"Acrothamnus hookeri (Sond.) Quinn"
"Acrothamnus maccraei (F.Muell.) Quinn"
"Leucopogon parviflorus (Andrews) Lindl."
"Agiortia pedicellata (C.T.White) Quinn"
"Leptecophylla abietina (Labill.) C.M.Weiller"
"Leptecophylla juniperina subsp. oxycedrus (Labill.) C.M.Weiller"
"Leptecophylla divaricata (Hook.fil.) C.M.Weiller"
"Leptecophylla tameiameiae (Cham. & Schltdl.) C.M.Weiller"
"Leucopogon lanceolatus Sieber ex DC."
"Leucopogon margarodes R.Br."
"Leucopogon microphyllus (Cav.) R.Br."
"Leucopogon distans R.Br."
"Leucopogon bossiaea F.Muell."
"Leucopogon virgatus (Labill.) R.Br."
"Leucopogon apiculatus Sond."
"Leucopogon cordatus Sond."
"Leucopogon australis Sieber ex DC."
"Leucopogon alternifolius R.Br."
"Leucopogon plumuliflorus F.Muell."
"Leucopogon assimilis Benth."
"Leucopogon amplexicaulis (Rudge) R.Br."
"Monotoca elliptica (Sm.) R.Br."
"Monotoca ledifolia A.Cunn. ex DC."
"Monotoca scoparia (Sm.) R.Br."
"Monotoca rotundifolia J.H.Willis"
"Monotoca empetrifolia R.Br."
"Montitega dealbata (R.Br.) C.M.Weiller"
"Androstoma verticillata (Hook.fil.) Quinn"
"Androstoma empetrifolia Hook.fil."
"Acrotriche serrulata (Labill.) R.Br."
"Trochocarpa laurina (Rudge) R.Br."
"Trochocarpa gunnii (Hook.fil.) Benth."
"Planocarpa nitida (Jarman) C.M.Weiller"
"Planocarpa petiolaris (DC.) C.M.Weiller"
"Conostephium preissii Sond."
"Conostephium pendulum Benth."
"Astroloma pinifolium (R.Br.) Benth."
"Astroloma conostephioides (Sond.) F.Muell. ex Benth."
"Astroloma baxteri A.Cunn. ex DC."
"Styphelia pancheri (Brongn. & Gris) F.Muell."
"Brachyloma daphnoides (Sm.) Benth."
"Brachyloma saxicola J.T.Hunter"
"Brachyloma concolor F.Muell."
"Brachyloma mogin Cranfield"
"Brachyloma preissii Sond."
"Styphelia cymbulae (Labill.) Spreng."
"Brachyloma scortechinii F.Muell."
"Melichrus procumbens (Cav.) Druce"
"Melichrus urceolatus R.Br."
"Monotoca aristata A.R.Chapm."
"Acrotriche affinis DC."
"Pentachondra involucrata R.Br."
"Pentachondra pumila (J.R. & G.Forst.) R.Br."
"Budawangia gnidioides (Summerh.) I.Telford"
"Epacris impressa Labill."
"Rupicola sprengelioides Maiden"
"Epacris lanuginosa Labill."
"Woollsia pungens (Cav.) F.Muell."
"Lysinema ciliatum R.Br."
"Cosmelia rubra R.Br."
"Sprengelia incarnata Sm."
"Andersonia sprengelioides R.Br."
"Dracophyllum kirkii Berggr."
"Dracophyllum ophioliticum S.Venter"
"Dracophyllum patens W.R.B.Oliv."
"Dracophyllum acerosum Berggr."
"Dracophyllum trimorphum W.R.B.Oliv."
"Dracophyllum rosmarinifolium Hook.fil."
"Dracophyllum densum W.R.B.Oliv."
"Dracophyllum filifolium Hook.fil."
"Dracophyllum scoparium Hook.fil."
"Dracophyllum longifolium Sweet, 1826"
"Dracophyllum muscoides Hook.fil."
"Dracophyllum arboreum Cockayne"
"Dracophyllum pronum W.R.B.Oliv."
"Dracophyllum strictum Hook.fil."
"Dracophyllum townsonii Cheeseman"
"Dracophyllum latifolium A.Cunn."
"Dracophyllum fiordense W.R.B.Oliv."
"Dracophyllum menziesii Hook.fil."
"Dracophyllum traversii Hook.fil."
"Dracophyllum balansae Virot"
"Dracophyllum alticola Däniker"
"Dracophyllum ramosum Pancher ex Brongn. & Gris"
"Dracophyllum mackeeanum S.Venter"
"Dracophyllum cosmelioides W.R.B.Oliv."
"Dracophyllum verticillatum Labill."
"Dracophyllum involucratum Brongn. & Gris"
"Dracophyllum thiebautii Brongn. & Gris"
"Dracophyllum ouaiemense Virot"
"Richea procera (F.Muell.) F.Muell."
"Richea milliganii (Hook.fil.) F.Muell."
"Richea acerosa (Lindl.) F.Muell."
"Richea sprengelioides (R.Br.) F.Muell."
"Dracophyllum oceanicum E.A.Br. & N.Streiber"
"Dracophyllum secundum R.Br."
"Dracophyllum macranthum E.A.Br. & N.Streiber"
"Dracophyllum fitzgeraldii F.Muell."
"Richea pandanifolia Hook.fil."
"Richea continentis B.L.Burtt"
"Richea alpina Menadue"
"Richea scoparia Hook.fil."
"Richea gunnii Hook.fil."
"Richea victoriana Menadue"
"Dracophyllum minimum F.Muell."
"Dracophyllum sayeri F.Muell."
"Sphenotoma gracilis (R.Br.) Sweet"
"Sphenotoma drummondii (Benth.) F.Muell."
"Sphenotoma dracophylloides Sond."
"Sphenotoma capitatum (R.Br.) Lindl."
"Dracophyllum milliganii Hook."
"Monotoca leucantha Pritz."
"Dielsiodoxa tamariscina (F.Muell.) Albr."
"Oligarrhena micrantha R.Br."
"Needhamiella pumilio (R.Br.) L.Watson"
"Archeria comberi Melville"
"Archeria hirtella (Hook.fil.) Hook.fil."
"Lebetanthus myrsinites (Lam.) Dusén"
"Prionotes cerinthoides (Labill.) R.Br."
"Ceratostema lanigera (Sleumer) Luteyn"
"Ceratostema silvicola A.C.Sm."
"Ceratostema megabracteatum Luteyn"
"Ceratostema rauhii Luteyn"
"Siphonandra elliptica (Ruiz & Pav.) Klotzsch"
"Psammisia sclerantha A.C.Sm."
"Psammisia ulbrichiana Hoerold"
"Macleania rupestris (Kunth) A.C.Sm."
"Macleania insignis Mart. & Galeotti"
"Macleania cordifolia Benth."
"Sphyrospermum buxifolium Poepp. & Endl."
"Sphyrospermum cordifolium Benth."
"Plutarchia ecuadorensis Luteyn"
"Oreanthes glanduliferus A.C.Sm."
"Disterigma ovatum (Rusby) Blake"
"Disterigma alaternoides (Kunth) Nied."
"Polyclita turbinata (Kuntze) A.C.Sm."
"Semiramisia speciosa (Benth.) Klotzsch"
"Demosthenesia mandonii (Britton) A.C.Sm."
"Demosthenesia spectabilis (Rusby) A.C.Sm."
"Demosthenesia pearcei (Britton) A.C.Sm."
"Diogenesia boliviana (Britton) Sleumer"
"Themistoclesia costaricensis Luteyn & Wilbur"
"Themistoclesia epiphytica A.C.Sm."
"Diogenesia alstoniana Sleumer"
"Anthopterus wardii Ball"
"Anthopterus revolutus (Wilbur & Luteyn) Luteyn"
"Thibaudia litensis Luteyn"
"Thibaudia floribunda Kunth"
"Cavendishia bracteata (Ruiz & Pav. ex A.St.-Hil.) Hoerold"
"Cavendishia martii (Meisn.) A.C.Sm."
"Satyria warszewiczii Klotzsch"
"Satyria ventricosa Luteyn"
"Gonocalyx costaricensis Luteyn"
"Gonocalyx megabracteolatus (Wilbur & Luteyn) Luteyn"
"Vaccinium poasanum J.D.Sm."
"Costera endertii J.J.Sm."
"Utleya costaricensis Wilbur & Luteyn"
"Symphysia racemosa (Vahl) Stearn"
"Vaccinium uliginosum L."
"Vaccinium reticulatum Sm."
"Vaccinium calycinum Sm."
"Vaccinium myrtillus L."
"Vaccinium corymbosum L."
"Vaccinium meridionale Sw."
"Vaccinium consanguineum Klotzsch"
"Vaccinium macrocarpum Aiton"
"Vaccinium vitis"
"Vaccinium microcarpum Miyabe & T.Miyake"
"Vaccinium oxycoccos L."
"Gaylussacia dumosa (Andr.) A.Gray"
"Agapetes serpens (Wight) Sleumer"
"Agapetes buxifolia Nutt."
"Agapetes hosseana Diels"
"Vaccinium bracteatum Thunb."
"Dimorphanthera keysseri (Schltr. ex Diels) P.F.Stevens"
"Paphia stenantha Schltr."
"Paphia meiniana (F.Muell.) Schltr."
"Dimorphanthera kempteriana Schltr."
"Dimorphanthera dekockii J.J.Sm."
"Orthaea venamensis Maguire, Steyerm. & Luteyn"
"Orthaea apophysata (Griseb.) A.C.Sm."
"Notopora schomburgkii Hook.fil."
"Andromeda polifolia L."
"Zenobia pulverulenta (Bartram ex Willd.) Pollard"
"Gaultheria fragrantissima Wall."
"Gaultheria trigonoclada R.C.Fang"
"Gaultheria wardii C.Marquand & Airy Shaw"
"Gaultheria brevistipes (C.Y.Wu & T.Z.Hsu) R.C.Fang"
"Gaultheria Kalm ex L."
"Gaultheria hookeri C.B.Clarke"
"Gaultheria tetramera W.W.Sm."
"Gaultheria notabilis J.Anthony"
"Gaultheria discolor Nutt. ex Hook."
"Gaultheria longibracteolata R.C.Fang"
"Gaultheria straminea R.C.Fang"
"Gaultheria praticola C.Y.Wu"
"Gaultheria heteromera R.C.Fang"
"Gaultheria nummularioides D.Don"
"Gaultheria pyrolifolia Hook.fil. ex C.B.Clarke"
"Gaultheria dumicola W.W.Sm."
"Gaultheria pseudonotabilis H.Li"
"Gaultheria codonantha Airy Shaw"
"Gaultheria griffithiana Wight"
"Gaultheria jingdongensis R.C.Fang"
"Gaultheria sinensis J.Anthony"
"Gaultheria eciliata (Rae & D.G.Long) P.W.Fritsch & L.H.Zhou"
"Gaultheria trichophylla Royle"
"Gaultheria hypochlora Airy Shaw"
"Gaultheria cardiosepala Hand.-Mazz."
"Gaultheria thymifolia Stapf ex Airy Shaw"
"Gaultheria dolichopoda Airy Shaw"
"Gaultheria tasmanica (Hook.fil.) D.J.Middleton"
"Gaultheria antipoda G.Forst."
"Pernettya prostrata (Cav.) DC."
